id,乐器布阵图,乐谱名称,乐谱名称,乐谱描述,演奏BGM,布阵魔女位置,布阵魔女旋转角度
id,MuiscalPos,Name,Name2,Des,MusicalBGM,MusicalDetailPos,MusicalDetailRot
number,array_&,number,string,number,string,array_&_|,array_&_|
6001001,2&4&3,10290001,Burst Witch Main Theme I,20290001,event:/GameBgm/MusicBook-Burst Witch Main Theme,3.5&1.59&-22.58|-1.21&1.59&-23.72|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-31.652&0|0&0&0|0&22.92&0|0&37.808&0
6001002,2&4&3,10290002,Burst Witch Main Theme -Violin ver- I,20290002,event:/GameBgm/MusicBook-Burst Witch Main Theme -Violin ver-,3.5&1.59&-22.58|-1.21&1.59&-23.72|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-31.652&0|0&0&0|0&22.92&0|0&37.808&0
6001003,105&102&2&4&3,10290003,Revenge of the Witch I,20290003,event:/GameBgm/MusicBook-Revenge of the Witch,2.4&1.578&-22.26|0&1.59&-25.13|-2.82&1.578&-22.91|5.574&2.966&-23.981|2.69&4.02&-25.52|-2.85&4.04&-25.43,0&-56.923&0|0&-90&0|0&-203&0|0&-23.16&0|0&-1.758&0|0&20.446&0
6001004,2&105&4&3&8,10290004,Waltz for the deep dark forest I,20290004,event:/GameBgm/MusicBook-Waltz for the deep dark forest,-1.33&1.499&-23|1.99&1.578&-23.16|5.752&3.181&-24.389|4.79&2.02&-21.5|-5.12&2.44&-22.15|-5.62&3.66&-25.38|2.291&3.99&-26.025|-2.765&4.03&-25.025,0&-27.125&0|0&-38.738&0|0&-22.518&0|0&-86.04601&0|0&103.129&0|0&25.97&0|0&-22.894&0|0&-5.216&0
6001005,2&3,10290005,Memory I,20290005,event:/GameBgm/MusicBook-Memory,3.34&1.499&-23.1|-0.24&1.59&-23.97|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-37.854&0|0&33.046&0|0&22.92&0|0&37.808&0
6001006,2&104&4,10290006,Requiem for Gods I,20290006,event:/GameBgm/MusicBook-Requiem for Gods,3.6&1.568&-23.88|0.11&1.57&-21.16|-1.58&1.57&-23.12|0.73&1.62&-21.95,0&12.89&0|0&0&0|0&0&0
6001007,102&105&3&103&101,10290007,Eternal Night I,20290007,event:/GameBgm/MusicBook-Eternal Night,0&1.59&-25.13|-2.99&1.58&-23.78|3.09&1.59&-22.92|1.85&1.59&-23.27|0.79&1.552&-20.97|-0.73&1.552&-20.96,0&-90&0|0&19.62&0|0&-6&0|0&-6&0|0&0&0|0&0&0
6001008,2&4&3,10290008,Burst Witch Main Theme II,20290008,event:/GameBgm/MusicBook-Burst Witch Main Theme,3.5&1.59&-22.58|-1.21&1.59&-23.72|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-31.652&0|0&0&0|0&22.92&0|0&37.808&0
