id,组,等级,需要经验,乐谱基础奖励,基础观众数,音符币转换系数,公演完毕额外奖励系数
id,Group,Level,Exp,PriShowAwardPart,BaseViewerNum,Music_coin_rate,ExPubShow_rate
number,number,number,number,number,number,number,number
1,6001001,1,1000,6001001,1000,0.1,0.2
2,6001001,2,2000,6001001,1000,0.1,0.2
3,6001001,3,4000,6001001,1000,0.1,0.2
4,6001001,4,6000,6001001,1000,0.1,0.2
5,6001001,5,8000,6001001,1000,0.1,0.2
6,6001001,6,0,6001001,1000,0.1,0.2
7,6001002,1,1000,6001002,1000,0.1,0.2
8,6001002,2,2000,6001002,1000,0.1,0.2
9,6001002,3,4000,6001002,1000,0.1,0.2
10,6001002,4,6000,6001002,1000,0.1,0.2
11,6001002,5,8000,6001002,1000,0.1,0.2
12,6001002,6,0,6001002,1000,0.1,0.2
13,6001003,1,1000,6001003,1000,0.1,0.2
14,6001003,2,2000,6001003,1000,0.1,0.2
15,6001003,3,4000,6001003,1000,0.1,0.2
16,6001003,4,6000,6001003,1000,0.1,0.2
17,6001003,5,8000,6001003,1000,0.1,0.2
18,6001003,6,0,6001003,1000,0.1,0.2
19,6001004,1,1000,6001004,1000,0.1,0.2
20,6001004,2,2000,6001004,1000,0.1,0.2
21,6001004,3,4000,6001004,1000,0.1,0.2
22,6001004,4,6000,6001004,1000,0.1,0.2
23,6001004,5,8000,6001004,1000,0.1,0.2
24,6001004,6,0,6001004,1000,0.1,0.2
25,6001005,1,1000,6001005,1000,0.1,0.2
26,6001005,2,2000,6001005,1000,0.1,0.2
27,6001005,3,4000,6001005,1000,0.1,0.2
28,6001005,4,6000,6001005,1000,0.1,0.2
29,6001005,5,8000,6001005,1000,0.1,0.2
30,6001005,6,0,6001005,1000,0.1,0.2
31,6001006,1,1000,6001006,1000,0.1,0.2
32,6001006,2,2000,6001006,1000,0.1,0.2
33,6001006,3,4000,6001006,1000,0.1,0.2
34,6001006,4,6000,6001006,1000,0.1,0.2
35,6001006,5,8000,6001006,1000,0.1,0.2
36,6001006,6,0,6001006,1000,0.1,0.2
37,6001007,1,1000,6001007,1000,0.1,0.2
38,6001007,2,2000,6001007,1000,0.1,0.2
39,6001007,3,4000,6001007,1000,0.1,0.2
40,6001007,4,6000,6001007,1000,0.1,0.2
41,6001007,5,8000,6001007,1000,0.1,0.2
42,6001007,6,0,6001007,1000,0.1,0.2
43,6001008,1,1000,6001008,1000,0.1,0.2
44,6001008,2,2000,6001008,1000,0.1,0.2
45,6001008,3,4000,6001008,1000,0.1,0.2
46,6001008,4,6000,6001008,1000,0.1,0.2
47,6001008,5,8000,6001008,1000,0.1,0.2
48,6001008,6,0,6001008,1000,0.1,0.2
49,6001009,1,1000,6001009,1000,0.1,0.2
50,6001009,2,2000,6001009,1000,0.1,0.2
51,6001009,3,4000,6001009,1000,0.1,0.2
52,6001009,4,6000,6001009,1000,0.1,0.2
53,6001009,5,8000,6001009,1000,0.1,0.2
54,6001009,6,0,6001009,1000,0.1,0.2
55,6001010,1,1000,6001010,1000,0.1,0.2
56,6001010,2,2000,6001010,1000,0.1,0.2
57,6001010,3,4000,6001010,1000,0.1,0.2
58,6001010,4,6000,6001010,1000,0.1,0.2
59,6001010,5,8000,6001010,1000,0.1,0.2
60,6001010,6,0,6001010,1000,0.1,0.2
61,6001011,1,1000,6001011,1000,0.1,0.2
62,6001011,2,2000,6001011,1000,0.1,0.2
63,6001011,3,4000,6001011,1000,0.1,0.2
64,6001011,4,6000,6001011,1000,0.1,0.2
65,6001011,5,8000,6001011,1000,0.1,0.2
66,6001011,6,0,6001011,1000,0.1,0.2
67,6001012,1,1000,6001012,1000,0.1,0.2
68,6001012,2,2000,6001012,1000,0.1,0.2
69,6001012,3,4000,6001012,1000,0.1,0.2
70,6001012,4,6000,6001012,1000,0.1,0.2
71,6001012,5,8000,6001012,1000,0.1,0.2
72,6001012,6,0,6001012,1000,0.1,0.2
73,6001013,1,1000,6001013,1000,0.1,0.2
74,6001013,2,2000,6001013,1000,0.1,0.2
75,6001013,3,4000,6001013,1000,0.1,0.2
76,6001013,4,6000,6001013,1000,0.1,0.2
77,6001013,5,8000,6001013,1000,0.1,0.2
78,6001013,6,0,6001013,1000,0.1,0.2
79,6001014,1,1000,6001014,1000,0.1,0.2
80,6001014,2,2000,6001014,1000,0.1,0.2
81,6001014,3,4000,6001014,1000,0.1,0.2
82,6001014,4,6000,6001014,1000,0.1,0.2
83,6001014,5,8000,6001014,1000,0.1,0.2
84,6001014,6,0,6001014,1000,0.1,0.2
85,6001015,1,1000,6001015,1000,0.1,0.2
86,6001015,2,2000,6001015,1000,0.1,0.2
87,6001015,3,4000,6001015,1000,0.1,0.2
88,6001015,4,6000,6001015,1000,0.1,0.2
89,6001015,5,8000,6001015,1000,0.1,0.2
90,6001015,6,0,6001015,1000,0.1,0.2
91,6001016,1,1000,6001016,1000,0.1,0.2
92,6001016,2,2000,6001016,1000,0.1,0.2
93,6001016,3,4000,6001016,1000,0.1,0.2
94,6001016,4,6000,6001016,1000,0.1,0.2
95,6001016,5,8000,6001016,1000,0.1,0.2
96,6001016,6,0,6001016,1000,0.1,0.2
97,6001017,1,1000,6001017,1000,0.1,0.2
98,6001017,2,2000,6001017,1000,0.1,0.2
99,6001017,3,4000,6001017,1000,0.1,0.2
100,6001017,4,6000,6001017,1000,0.1,0.2
101,6001017,5,8000,6001017,1000,0.1,0.2
102,6001017,6,0,6001017,1000,0.1,0.2
103,6001018,1,1000,6001018,1000,0.1,0.2
104,6001018,2,2000,6001018,1000,0.1,0.2
105,6001018,3,4000,6001018,1000,0.1,0.2
106,6001018,4,6000,6001018,1000,0.1,0.2
107,6001018,5,8000,6001018,1000,0.1,0.2
