id,演奏厅,契合度起始值,契合度奖励(秒),契合度奖励(秒)概率获得,精力消耗(秒),成长加成(万分比减少产出时间)
id,hall_id,fit_start,fit_award,fit_award_rand,vigour_cost,growth_plus
number,number,number,array_&_|,array_&,number,array_&
1,1,0,-1,-1,0,-1
2,1,125,1000001&15&60,5000&1&3600,1,5&2
3,1,375,1000001&30&60,6000&1&3600,1,5&3
4,1,620,1000001&58&60,5000&1&3600,2,5&4
5,1,870,1000001&88&60,5000&1&3600,2,5&5
6,1,1120,1000001&146&60,5000&1&3600,2,5&6
8,2,0,-1,-1,0,-1
9,2,125,4200001&1&900|1000099&10&60,5000&1&3600,1,5&2
10,2,375,4200001&2&900|1000099&10&60,6000&1&3600,1,5&3
11,2,620,4200002&1&900|1000099&10&60,5000&1&3600,2,5&4
12,2,870,4200001&2&900|4200002&1&900,5000&1&3600,2,5&5
13,2,1120,4200001&2&900|4200002&2&900,5000&1&3600,2,5&6
15,3,0,-1,-1,0,-1
16,3,125,4600001&0.183969907407407&900|4600001&0.16724537037037&900|4600001&0.0668981481481482&900,5000&1&3600,1,5&2
17,3,375,4600001&0.367939814814815&900|4600001&0.334490740740741&900|4600001&0.133796296296296&900,6000&1&3600,1,5&3
18,3,620,4600001&1.08217592592593&900|4600001&0.983796296296296&900|4600001&0.393518518518519&900,5000&1&3600,2,5&4
19,3,870,4600001&1.09299768518519&900|4600001&0.993634259259259&900|4600001&0.397453703703704&900,5000&1&3600,2,5&5
20,3,1120,4600001&1.81805555555556&900|4600001&1.65277777777778&900|4600001&0.661111111111111&900,5000&1&3600,2,5&6
22,4,0,-1,-1,0,-1
23,4,125,1000001&1&60|1000099&10&60|4500001&1&300,5000&1&3600,1,5&2
24,4,375,1000001&2&60|1000099&15&60|4500001&1&300,6000&1&3600,1,5&3
25,4,620,1000001&2&60|1000099&15&60|4500001&1&300,5000&1&3600,2,5&4
26,4,870,1000001&3&60|1000099&20&60|4500001&1&300,5000&1&3600,2,5&5
27,4,1120,1000001&3&60|1000099&20&60|4500001&1&300,5000&1&3600,2,5&6
