id,乐谱名称,乐谱名称,乐谱描述,乐谱品质,乐谱系数,单次演奏的经验值,等级组,乐谱普通时长（小时）,乐器布阵图,布阵魔女位置,布阵魔女旋转角度,场景,演奏BGM
id,Name,Name2,Des,Quality,music_rate_MB,MB_exp_add,LevelGroup,PriShowTime,MuiscalPos,MusicalDetailPos,MusicalDetailRot,MusicalScene,MusicalBGM
number,number,string,number,number,number,number,number,number,array_&_|,array_&_|,array_&_|,number,string
6001001,10290001,Burst Witch Main Theme I,20290001,3,0.015,50,6001001,4,3&2|5&4|9&3|10&3,3.5&1.59&-22.58|-1.21&1.59&-23.72|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-31.652&0|0&0&0|0&22.92&0|0&37.808&0,-1,event:/GameBgm/MusicBook-Burst Witch Main Theme
6001002,10290002,Burst Witch Main Theme -Violin ver- I,20290002,3,0.015,50,6001002,4,3&2|5&4|9&3|10&3,3.5&1.59&-22.58|-1.21&1.59&-23.72|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-31.652&0|0&0&0|0&22.92&0|0&37.808&0,-1,event:/GameBgm/MusicBook-Burst Witch Main Theme -Violin ver-
6001003,10290003,Revenge of the Witch I,20290003,3,0.015,50,6001003,4,1&105|3&102|4&2|5&4|8&3|9&3,2.4&1.578&-22.26|0&1.59&-25.13|-2.82&1.578&-22.91|5.574&2.966&-23.981|2.69&4.02&-25.52|-2.85&4.04&-25.43,0&-56.923&0|0&-90&0|0&-203&0|0&-23.16&0|0&-1.758&0|0&20.446&0,-1,event:/GameBgm/MusicBook-Revenge of the Witch
6001004,10290004,Waltz for the deep dark forest I,20290004,4,0.015,50,6001004,6,1&2|4&105|5&4|6&3|7&3|8&4|9&8|10&5,-1.33&1.499&-23|1.99&1.578&-23.16|5.752&3.181&-24.389|4.79&2.02&-21.5|-5.12&2.44&-22.15|-5.62&3.66&-25.38|2.291&3.99&-26.025|-2.765&4.03&-25.025,0&-27.125&0|0&-38.738&0|0&-22.518&0|0&-86.04601&0|0&103.129&0|0&25.97&0|0&-22.894&0|0&-5.216&0,-1,event:/GameBgm/MusicBook-Waltz for the deep dark forest
6001005,10290005,Memory I,20290005,2,0.015,50,6001005,2,1&2|6&3,3.34&1.499&-23.1|-0.24&1.59&-23.97,0&-37.854&0|0&33.046&0,-1,event:/GameBgm/MusicBook-Memory
6001006,10290006,Requiem for Gods I,20290006,2,0.015,50,6001006,2,3&2|5&104|6&4,3.6&1.568&-23.88|0.11&1.57&-21.16|-1.58&1.57&-23.12,0&12.89&0|0&0&0|0&0&0,-1,event:/GameBgm/MusicBook-Requiem for Gods
6001007,10290007,Eternal Night I,20290007,4,0.015,50,6001007,6,2&102|4&105|7&3|8&3|9&103|10&101,0&1.59&-25.13|-2.99&1.58&-23.78|3.09&1.59&-22.92|1.85&1.59&-23.27|0.79&1.552&-20.97|-0.73&1.552&-20.96,0&-90&0|0&19.62&0|0&-6&0|0&-6&0|0&0&0|0&0&0,-1,event:/GameBgm/MusicBook-Eternal Night
6001008,10290008,Burst Witch Main Theme II,20290008,4,0.015,50,6001008,6,3&2|5&4|9&3|10&3,3.5&1.59&-22.58|-1.21&1.59&-23.72|-2.73&1.57&-22.11|0.73&1.62&-21.95,0&-31.652&0|0&0&0|0&22.92&0|0&37.808&0,-1,event:/GameBgm/MusicBook-Burst Witch Main Theme
