id,组,等级,需要经验,乐谱基础奖励,乐谱碎片概率
id,Group,Level,Exp,PriShowAwardPart,PatchRate
number,number,number,number,number,array_&_|
1,6001001,1,1000,6001001,2&5000&1&1|3&2000&1&1|4&1000&1&1
2,6001001,2,2000,6001001,2&5000&1&1|3&2000&1&1|4&1000&1&1
3,6001001,3,4000,6001001,2&5000&1&1|3&2000&1&1|4&1000&1&1
4,6001001,4,6000,6001001,2&5000&1&1|3&2000&1&1|4&1000&1&1
5,6001001,5,8000,6001001,2&5000&1&1|3&2000&1&1|4&1000&1&1
6,6001001,6,0,6001001,2&5000&1&1|3&2000&1&1|4&1000&1&1
7,6001002,1,1000,6001002,2&5000&1&1|3&2000&1&1|4&1000&1&1
8,6001002,2,2000,6001002,2&5000&1&1|3&2000&1&1|4&1000&1&1
9,6001002,3,4000,6001002,2&5000&1&1|3&2000&1&1|4&1000&1&1
10,6001002,4,6000,6001002,2&5000&1&1|3&2000&1&1|4&1000&1&1
11,6001002,5,8000,6001002,2&5000&1&1|3&2000&1&1|4&1000&1&1
12,6001002,6,0,6001002,2&5000&1&1|3&2000&1&1|4&1000&1&1
13,6001003,1,1000,6001003,2&5000&1&1|3&2000&1&1|4&1000&1&1
14,6001003,2,2000,6001003,2&5000&1&1|3&2000&1&1|4&1000&1&1
15,6001003,3,4000,6001003,2&5000&1&1|3&2000&1&1|4&1000&1&1
16,6001003,4,6000,6001003,2&5000&1&1|3&2000&1&1|4&1000&1&1
17,6001003,5,8000,6001003,2&5000&1&1|3&2000&1&1|4&1000&1&1
18,6001003,6,0,6001003,2&5000&1&1|3&2000&1&1|4&1000&1&1
19,6001004,1,1000,6001004,2&5000&1&1|3&2000&1&1|4&1000&1&1
20,6001004,2,2000,6001004,2&5000&1&1|3&2000&1&1|4&1000&1&1
21,6001004,3,4000,6001004,2&5000&1&1|3&2000&1&1|4&1000&1&1
22,6001004,4,6000,6001004,2&5000&1&1|3&2000&1&1|4&1000&1&1
23,6001004,5,8000,6001004,2&5000&1&1|3&2000&1&1|4&1000&1&1
24,6001004,6,0,6001004,2&5000&1&1|3&2000&1&1|4&1000&1&1
25,6001005,1,1000,6001005,2&5000&1&1|3&2000&1&1|4&1000&1&1
26,6001005,2,2000,6001005,2&5000&1&1|3&2000&1&1|4&1000&1&1
27,6001005,3,4000,6001005,2&5000&1&1|3&2000&1&1|4&1000&1&1
28,6001005,4,6000,6001005,2&5000&1&1|3&2000&1&1|4&1000&1&1
29,6001005,5,8000,6001005,2&5000&1&1|3&2000&1&1|4&1000&1&1
30,6001005,6,0,6001005,2&5000&1&1|3&2000&1&1|4&1000&1&1
31,6001006,1,1000,6001006,2&5000&1&1|3&2000&1&1|4&1000&1&1
32,6001006,2,2000,6001006,2&5000&1&1|3&2000&1&1|4&1000&1&1
33,6001006,3,4000,6001006,2&5000&1&1|3&2000&1&1|4&1000&1&1
34,6001006,4,6000,6001006,2&5000&1&1|3&2000&1&1|4&1000&1&1
35,6001006,5,8000,6001006,2&5000&1&1|3&2000&1&1|4&1000&1&1
36,6001006,6,0,6001006,2&5000&1&1|3&2000&1&1|4&1000&1&1
