遗物id,遗物等级,词缀名称,英文名称,图标,作用目标,描述,关卡buff
id,Level,Name,EnglishName,Picture,Target,Desc,LevelBuffID
int,int,int,string,string,int_array_&,int,int_array_|
1001,1,10300001,CEKI HARCI,source_icon/rift/yiwu/1001,0.0,20300001,450001.0
1002,2,10300002,CHIN NIK,source_icon/rift/yiwu/1002,0.0,20300002,450002.0
1003,3,10300003,HARCI RI MENSA,source_icon/rift/yiwu/1003,0.0,20300003,450003.0
1004,1,10300004,TUCAF NIK,source_icon/rift/yiwu/1004,0.0,20300004,450004.0
1005,2,10300005,TUCAF NIK,source_icon/rift/yiwu/1005,0.0,20300005,450005.0
1006,3,10300006,CEKI HARCI,source_icon/rift/yiwu/1006,0.0,20300006,450006.0
1007,1,10300007,CHIN NIK,source_icon/rift/yiwu/1007,1&1,20300007,450007.0
1008,1,10300008,HARCI RI MENSA,source_icon/rift/yiwu/1008,1&2,20300008,450008.0
1009,1,10300009,TUCAF NIK,source_icon/rift/yiwu/1009,1&3,20300009,450009.0
1010,2,10300010,TUCAF NIK,source_icon/rift/yiwu/1010,1&1,20300010,450010.0
1011,2,10300011,CEKI HARCI,source_icon/rift/yiwu/1011,1&2,20300011,450011.0
1012,2,10300012,CHIN NIK,source_icon/rift/yiwu/1012,1&3,20300012,450012.0
1013,3,10300013,HARCI RI MENSA,source_icon/rift/yiwu/1013,1&1,20300013,450013.0
1014,3,10300014,TUCAF NIK,source_icon/rift/yiwu/1014,1&2,20300014,450014.0
1015,3,10300015,CEKI HARCI,source_icon/rift/yiwu/1015,1&3,20300015,450015.0
1016,1,10300016,CHIN NIK,source_icon/rift/yiwu/1016,4.0,20300016,450016.0
1017,2,10300017,HARCI RI MENSA,source_icon/rift/yiwu/1017,4.0,20300017,450017.0
1018,3,10300018,TUCAF NIK,source_icon/rift/yiwu/1018,4.0,20300018,450018.0
1019,1,10300019,TUCAF NIK,source_icon/rift/yiwu/1019,2&1,20300019,450019.0
1020,1,10300020,CEKI HARCI,source_icon/rift/yiwu/1020,2&3,20300020,450020.0
