id,乐谱品质,乐谱排序,音乐,乐谱唱片图标,乐谱合成,演奏时长,体力消耗,正确上阵时魔女奖励,结算单位时间魔女经验增加,单位时间结算奖励,完成结算奖励,乐器演奏需求,乐谱重复转化,评分,难度
id,Quality,Sort,Music,Icon,Compose,Duration,Spirit,WitchDropId,WitchExp,BaseDropId,EndDropId,MusicalPos,ItemChange,Score,Difficulty
number,number,number,string,string,array_&_|,number,number,array_&,number,number,number,array_&,array_&,array_&_|,number
6001001,2,10,event:/GameBgm/musicBook-Blood Way,yyt_changpian_2,-1,7200,2,-1,4,700001,790004,2&3&4&104,1000002&200,1&0&50|2&571&65|3&714&80|4&840&100,2
6001002,2,11,event:/GameBgm/MusicBook-Memory,yyt_changpian_19,-1,7200,2,-1,4,700002,790004,2&3&4&0,1000002&200,1&0&50|2&428&65|3&535&80|4&630&100,2
6001003,3,5,event:/GameBgm/musicBook-Burst Witch Main Theme -Violin ver-,yyt_changpian_8,-1,14400,4,-1,7,700003,790005,2&3&4&0,1000002&200,1&0&50|2&448&65|3&561&80|4&660&100,3
6001004,2,12,event:/GameBgm/MusicBook-God's Anger,yyt_changpian_15,6020004&5|6030010&7|6030003&7|6030004&7|6030005&7,7200,2,-1,4,700004,790004,102&3&4&5,1000002&200,1&0&50|2&571&65|3&714&80|4&840&100,2
6001005,2,13,event:/GameBgm/MusicBook-Revenge of the Witch,yyt_changpian_25,6020005&5|6030003&7|6030009&7|6030004&7|6030001&7,14400,4,-1,4,700005,790005,3&101&4&1,1000002&200,1&0&50|2&571&65|3&714&80|4&840&100,2
6001006,2,14,event:/GameBgm/MusicBook-Requiem for Gods,yyt_changpian_23,6020006&5|6030002&7|6030004&7,28800,8,-1,4,700006,790006,2&4&0&0,1000002&200,1&0&50|2&285&65|3&357&80|4&420&100,2
6001007,3,6,event:/GameBgm/MusicBook-Nightingale Castle,yyt_changpian_21,6020007&5|6030001&10|6030003&10|6030004&10|6030007&10,7200,2,-1,7,700007,790004,1&3&4&7,1000002&200,1&0&50|2&598&65|3&748&80|4&880&100,3
6001008,3,7,event:/GameBgm/musicBook-Caiaphas,yyt_changpian_10,6020008&5|6030010&10|6030003&10|6030004&10|6030005&10,14400,4,-1,7,700008,790005,102&3&4&5,1000002&200,1&0&50|2&598&65|3&748&80|4&880&100,3
6001009,3,8,event:/GameBgm/musicBook-Burst Witch Main Theme,yyt_changpian_9,6020009&1,28800,8,-1,7,700009,790006,2&3&4&101,1000002&200,1&0&50|2&652&65|3&816&80|4&960&100,3
6001010,4,2,event:/GameBgm/musicBook-MagicalGirl,yyt_changpian_20,6020010&1,28800,8,-1,10,700010,790003,103&101&104&3,1000002&200,1&0&50|2&652&65|3&816&80|4&960&100,4
6001011,4,3,event:/GameBgm/MusicBook-Requiem,yyt_changpian_24,6020011&5|6030002&10|6030003&10|6030004&10|6030009&10,7200,2,-1,10,700011,790001,2&3&4&101,1000002&200,1&0&50|2&652&65|3&816&80|4&960&100,4
6001012,2,15,event:/GameBgm/MusicBook-Talk to Nazar,yyt_changpian_28,6020012&5|6030002&7|6030005&7,28800,8,-1,4,700012,790006,2&5&0&0,1000002&200,1&0&50|2&285&65|3&357&80|4&420&100,2
6001013,4,4,event:/GameBgm/musicBook-Beholder,yyt_changpian_14,6020013&5|6030002&20|6030005&20|6030006&20|6030008&20,14400,4,-1,10,700013,790002,2&5&6&8,1000002&200,1&0&50|2&652&65|3&816&80|4&960&100,4
6001014,3,9,event:/GameBgm/MusicBook-Armed Angel,yyt_changpian_4,6020014&5|6030013&10|6030003&10|6030004&10|6030005&10,28800,8,-1,7,700014,790006,105&3&4&5,1000002&200,1&0&50|2&598&65|3&748&80|4&880&100,3
6001033,4,1,event:/GameBgm/dlBgm,yyt_changpian_35,6020033&1,28800,8,-1,10,700015,790007,2&3&4&101,1000002&200,1&0&50|2&652&65|3&816&80|4&960&100,4
