id,关联道具类别及加成比,魔女形象,魔女形象奖励,道具类别
id,RelevanceItemId,Appearance,AppearanceGift,ItemType
number,array_&,array_&,array_&,number
6900001,2&4600001&30,1&2&4&9,1&5,2
6900002,2&4600001&55,1&6&7,1&15,2
6900003,2&4600002&50,1&6,1&10,2
6900004,-1,4,2&750001,1
6900005,-1,2,2&750002,1
6900006,2&8800028&30,1&4,1&10,2
6900007,2&8800026&30,1&9,1&10,4
6900008,2&8800027&30,1&3,1&10,4
6900009,-1,6,2&750003,1
6900010,-1,9,2&750004,1
6900011,2&4100001&30,1&2,1&10,3
6900012,2&4100002&30,1&2,1&10,3
6900013,2&4100003&30,1&7,1&5,3
6900014,2&4100004&30,1&9,1&5,3
6900015,-1,1,2&750005,1
6900016,2&8800023&30,1&2,1&10,2
6900017,2&8800024&30,1&2,1&10,2
6900018,2&8800025&30,1&2,1&10,2
6900019,-1,1,2&750006,1
