ID,附带效果类型,概率,BUFF,DEBUFF,领域相关,改变技能相关,目标对象
id,EffectType,randomRate,upattarInfo,debuffInfo,fieldInfo,changeBarrage,targetType
number,number,number,array_&_|,array_&_|,array_|,array_|,number
1001,1001,100,2&1&100&4&5&1001&-1,-1,-1,-1,1
1002,1002,100,2&1&100&1&1&1001&-1,-1,1|5,-1,1
1003,1003,100,-1,1&30&1&5&5&1001,-1,-1,7
1004,1003,100,-1,2&100&1&5&15&1001&5&5&1022,-1,-1,7
1005,1004,100,-1,-1,-1,4|10|3001010203|1001,-1
1001010101,-1,-1,-1,-1,-1,-1,-1
1001010200,1001,100,2&2&5&1&3&30110010102&-1,-1,-1,-1,3
1001010201,1001,100,2&2&6&1&3&30110010102&-1,-1,-1,-1,3
1001010202,1001,100,2&2&7&1&3&30110010102&-1,-1,-1,-1,3
1001010203,1001,100,2&2&8&1&3&30110010102&-1,-1,-1,-1,3
1001010204,1001,100,2&2&9&1&3&30110010102&-1,-1,-1,-1,3
1001010205,1001,100,2&2&10&1&3&30110010102&-1,-1,-1,-1,3
1001010300,1001,100,2&2&5&1&3&30110010102&-1,-1,-1,-1,3
1001010301,1001,100,2&2&6&1&3&30110010102&-1,-1,-1,-1,3
1001010302,1001,100,2&2&7&1&3&30110010102&-1,-1,-1,-1,3
1001010303,1001,100,2&2&8&1&3&30110010102&-1,-1,-1,-1,3
1001010304,1001,100,2&2&9&1&3&30110010102&-1,-1,-1,-1,3
1001010305,1001,100,2&2&10&1&3&30110010102&-1,-1,-1,-1,3
1001010306,1001,100,2&2&11&1&3&30110010102&-1,-1,-1,-1,3
1001010307,1001,100,2&2&12&1&3&30110010102&-1,-1,-1,-1,3
1001010308,1001,100,2&2&13&1&3&30110010102&-1,-1,-1,-1,3
1001010309,1001,100,2&2&14&1&3&30110010102&-1,-1,-1,-1,3
1001010310,1001,100,2&2&15&1&3&30110010102&-1,-1,-1,-1,3
1001020101,-1,-1,-1,-1,-1,-1,-1
1001020200,1001,100,5&2&5&1&3&30110010202&-1,-1,-1,-1,6
1001020201,1001,100,5&2&6&1&3&30110010202&-1,-1,-1,-1,6
1001020202,1001,100,5&2&7&1&3&30110010202&-1,-1,-1,-1,6
1001020203,1001,100,5&2&8&1&3&30110010202&-1,-1,-1,-1,6
1001020204,1001,100,5&2&9&1&3&30110010202&-1,-1,-1,-1,6
1001020205,1001,100,5&2&10&1&3&30110010202&-1,-1,-1,-1,6
1001020300,1001,100,5&2&5&1&3&30110010202&-1,-1,-1,-1,6
1001020301,1001,100,5&2&6&1&3&30110010202&-1,-1,-1,-1,6
1001020302,1001,100,5&2&7&1&3&30110010202&-1,-1,-1,-1,6
1001020303,1001,100,5&2&8&1&3&30110010202&-1,-1,-1,-1,6
1001020304,1001,100,5&2&9&1&3&30110010202&-1,-1,-1,-1,6
1001020305,1001,100,5&2&10&1&3&30110010202&-1,-1,-1,-1,6
1001020306,1001,100,5&2&11&1&3&30110010202&-1,-1,-1,-1,6
1001020307,1001,100,5&2&12&1&3&30110010202&-1,-1,-1,-1,6
1001020308,1001,100,5&2&13&1&3&30110010202&-1,-1,-1,-1,6
