ID,弹幕文件,子弹出屏裁剪,附带效果id,技能击中克制效果,技能击中效果,Leser类型控制
id,Barrage,IsClip,AttachEffect,HitRestraintEffect,HitEffect,LesrAttackInfo
number,number,number,array_|,number,array_|,array_|
10010101,3001010101,-1,2|1002,1021,1014,-1
10010102,100101,-1,-1,1021,1014,-1
10010103,3001010102,-1,-1,-1,-1,-1
10010104,100101,-1,1|1004,1021,1014,-1
10010105,100101,-1,2|1005,1021,1014,-1
10010106,101703,-1,-1,1021,1014,-1
1001020101,1001020101,-1,-1,1001020101,1001020102,-1
1001020200,1001020201,-1,1|1001020200,1001020101,1001020102,-1
1001020201,1001020201,-1,1|1001020201,1001020101,1001020102,-1
1001020202,1001020201,-1,1|1001020202,1001020101,1001020102,-1
1001020203,1001020201,-1,1|1001020203,1001020101,1001020102,-1
1001020204,1001020201,-1,1|1001020204,1001020101,1001020102,-1
1001020205,1001020201,-1,1|1001020205,1001020101,1001020102,-1
1001020300,1001020301,-1,1|1001020300,1001020101,1001020102,-1
1001020301,1001020301,-1,1|1001020301,1001020101,1001020102,-1
1001020302,1001020301,-1,1|1001020302,1001020101,1001020102,-1
1001020303,1001020301,-1,1|1001020303,1001020101,1001020102,-1
1001020304,1001020301,-1,1|1001020304,1001020101,1001020102,-1
1001020305,1001020301,-1,1|1001020305,1001020101,1001020102,-1
1001020306,1001020301,-1,1|1001020306,1001020101,1001020102,-1
1001020307,1001020301,-1,1|1001020307,1001020101,1001020102,-1
1001020308,1001020301,-1,1|1001020308,1001020101,1001020102,-1
1001020309,1001020301,-1,1|1001020309,1001020101,1001020102,-1
1001020310,1001020301,-1,1|1001020310,1001020101,1001020102,-1
1001030101,1001030101,-1,-1,1001030101,1001030102,-1
1001030200,1001030201,-1,1|1001030200,1001030101,1001030102,-1
1001030201,1001030201,-1,1|1001030201,1001030101,1001030102,-1
1001030202,1001030201,-1,1|1001030202,1001030101,1001030102,-1
1001030203,1001030201,-1,1|1001030203,1001030101,1001030102,-1
1001030204,1001030201,-1,1|1001030204,1001030101,1001030102,-1
1001030205,1001030201,-1,1|1001030205,1001030101,1001030102,-1
1001030300,1001030301,-1,1|1001030300,1001030101,1001030102,-1
1001030301,1001030301,-1,1|1001030301,1001030101,1001030102,-1
1001030302,1001030301,-1,1|1001030302,1001030101,1001030102,-1
1001030303,1001030301,-1,1|1001030303,1001030101,1001030102,-1
1001030304,1001030301,-1,1|1001030304,1001030101,1001030102,-1
1001030305,1001030301,-1,1|1001030305,1001030101,1001030102,-1
1001030306,1001030301,-1,1|1001030306,1001030101,1001030102,-1
1001030307,1001030301,-1,1|1001030307,1001030101,1001030102,-1
1001030308,1001030301,-1,1|1001030308,1001030101,1001030102,-1
1001030309,1001030301,-1,1|1001030309,1001030101,1001030102,-1
1001030310,1001030301,-1,1|1001030310,1001030101,1001030102,-1
2001010101,2001010101,-1,-1,2001010101,2001010102,-1
2001010200,2001010201,-1,2|2001010200,2001010101,2001010102,-1
2001010201,2001010201,-1,2|2001010201,2001010101,2001010102,-1
