唯一ID,组Id,技能等级,属性
id,GroupID,level,attrib_add
number,number,number,array_&_|
111000,111,0,-1
111001,111,1,1&1&5
111002,111,2,1&1&15
111003,111,3,1&1&25
111004,111,4,1&1&35
111005,111,5,1&1&45
112000,112,0,-1
112001,112,1,2&1&4
112002,112,2,2&1&12
112003,112,3,2&1&20
112004,112,4,2&1&28
112005,112,5,2&1&36
113000,113,0,-1
113001,113,1,5&1&2
113002,113,2,5&1&6
113003,113,3,5&1&10
113004,113,4,5&1&14
113005,113,5,5&1&18
114000,114,0,-1
114001,114,1,1&2&10
114002,114,2,1&2&20
114003,114,3,1&2&30
114004,114,4,1&2&40
114005,114,5,1&2&50
115000,115,0,-1
115001,115,1,2&2&5
115002,115,2,2&2&25
115003,115,3,2&2&45
115004,115,4,2&2&65
115005,115,5,2&2&85
116000,116,0,-1
116001,116,1,5&2&10
116002,116,2,5&2&20
116003,116,3,5&2&30
116004,116,4,5&2&40
116005,116,5,5&2&50
121000,121,0,-1
121001,121,1,1&1&10
121002,121,2,1&1&20
121003,121,3,1&1&30
121004,121,4,1&1&40
121005,121,5,1&1&50
121006,121,6,1&1&60
121007,121,7,1&1&70
121008,121,8,1&1&80
121009,121,9,1&1&90
121010,121,10,1&1&100
122000,122,0,-1
122001,122,1,2&1&6
122002,122,2,2&1&16
122003,122,3,2&1&26
122004,122,4,2&1&36
122005,122,5,2&1&46
122006,122,6,2&1&56
122007,122,7,2&1&66
122008,122,8,2&1&76
122009,122,9,2&1&86
122010,122,10,2&1&96
123000,123,0,-1
123001,123,1,5&1&3
123002,123,2,5&1&8
123003,123,3,5&1&13
123004,123,4,5&1&18
123005,123,5,5&1&23
123006,123,6,5&1&28
123007,123,7,5&1&33
123008,123,8,5&1&38
123009,123,9,5&1&43
123010,123,10,5&1&48
124000,124,0,-1
124001,124,1,1&2&10
124002,124,2,1&2&30
124003,124,3,1&2&50
124004,124,4,1&2&70
124005,124,5,1&2&90
124006,124,6,1&2&110
124007,124,7,1&2&130
124008,124,8,1&2&150
124009,124,9,1&2&170
124010,124,10,1&2&250
125000,125,0,-1
125001,125,1,2&2&10
125002,125,2,2&2&30
125003,125,3,2&2&50
125004,125,4,2&2&70
125005,125,5,2&2&90
