ID,附带效果id,技能击中克制效果,技能击中效果非克制,攻击规则,移动规则,攻击信息,弹幕释放规则
id,AttachEffect,HitRestraintEffect,HitEffect,attack_type,move_type,attack_info,barrage_info
number,array_|,number,array_|,number,number,array_|,array_|
1001,1|1003,1021,1014,1,1,1|0.1|2,-1
1002,-1,1021,1014,4,3,3|1|15|5|5|100|50,-1
1003,-1,1021,1014,1,1,1|0.1|2,-1
1004,-1,1021,1014,1,4,-1,10010106|2|0.1
1001010101,-1,1001010101,1001010102,3,2,1|0.4|2,-1
1001010200,1|1001010200,1001010101,1001010102,3,2,1|0.4|2,-1
1001010201,1|1001010201,1001010101,1001010102,3,2,1|0.4|2,-1
1001010202,1|1001010202,1001010101,1001010102,3,2,1|0.4|2,-1
1001010203,1|1001010203,1001010101,1001010102,3,2,1|0.4|2,-1
1001010204,1|1001010204,1001010101,1001010102,3,2,1|0.4|2,-1
1001010205,1|1001010205,1001010101,1001010102,3,2,1|0.4|2,-1
1001010300,1|1001010300,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010301,1|1001010301,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010302,1|1001010302,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010303,1|1001010303,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010304,1|1001010304,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010305,1|1001010305,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010306,1|1001010306,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010307,1|1001010307,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010308,1|1001010308,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010309,1|1001010309,1001010101,1001010102,3,2,1|0.1|0.7,-1
1001010310,1|1001010310,1001010101,1001010102,3,2,1|0.1|0.7,-1
2001030101,-1,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030200,1|2001030200,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030201,1|2001030201,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030202,1|2001030202,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030203,1|2001030203,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030204,1|2001030204,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030205,1|2001030205,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030300,1|2001030300,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030301,1|2001030301,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030302,1|2001030302,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030303,1|2001030303,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030304,1|2001030304,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030305,1|2001030305,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030306,1|2001030306,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030307,1|2001030307,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030308,1|2001030308,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030309,1|2001030309,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
2001030310,1|2001030310,2001030101,2001030102,4,3,3|2|30|3|8|0|0,-1
3001030101,-1,3001030101,3001030102,1,1,1|0.4|2,-1
3001030200,1|3001030200,3001030101,3001030102,1,1,1|0.4|2,-1
3001030201,1|3001030201,3001030101,3001030102,1,1,1|0.4|2,-1
3001030202,1|3001030202,3001030101,3001030102,1,1,1|0.4|2,-1
3001030203,1|3001030203,3001030101,3001030102,1,1,1|0.4|2,-1
3001030204,1|3001030204,3001030101,3001030102,1,1,1|0.4|2,-1
3001030205,1|3001030205,3001030101,3001030102,1,1,1|0.4|2,-1
3001030300,1|3001030300,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030301,1|3001030301,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030302,1|3001030302,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030303,1|3001030303,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030304,1|3001030304,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030305,1|3001030305,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030306,1|3001030306,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030307,1|3001030307,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030308,1|3001030308,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030309,1|3001030309,3001030101,3001030102,1,1,1|0.1|0.5,-1
3001030310,1|3001030310,3001030101,3001030102,1,1,1|0.1|0.5,-1
