升级消耗id,组id,等级,消耗货币,材料1&数量,材料2&数量,材料3&数量,策划专用（货币系数）
id,group_id,level,Cost,LevelUpCost_1,LevelUpCost_2,LevelUpCost_3,CeHuaZhuanYong
number,number,number,array_&,array_&,array_&,array_&,number
11051101,110511,1,1000001&4000,4000101&6,0,0,5
11051102,110511,2,1000001&8000,4000101&8,4000104&4,0,5
11051103,110511,3,1000001&12000,4000101&10,4000104&5,0,5
11051104,110511,4,1000001&16000,4000201&8,4000104&6,0,5
11051105,110511,5,1000001&20000,4000201&10,4000104&7,4000105&4,5
11051201,110512,1,1000001&4000,4000101&6,0,0,5
11051202,110512,2,1000001&8000,4000101&8,4000104&4,0,5
11051203,110512,3,1000001&12000,4000101&10,4000104&5,0,5
11051204,110512,4,1000001&16000,4000201&8,4000104&6,0,5
11051205,110512,5,1000001&20000,4000201&10,4000104&7,4000105&4,5
11051501,110515,1,1000001&4000,4000101&6,0,0,5
11051502,110515,2,1000001&8000,4000101&8,4000104&4,0,5
11051503,110515,3,1000001&12000,4000101&10,4000104&5,0,5
11051504,110515,4,1000001&16000,4000201&8,4000104&6,0,5
11051505,110515,5,1000001&20000,4000201&10,4000104&7,4000105&4,5
11052101,110521,1,1000001&4000,4000201&6,0,0,5
11052102,110521,2,1000001&8000,4000201&8,4000104&4,0,5
11052103,110521,3,1000001&12000,4000201&10,4000104&5,0,5
11052104,110521,4,1000001&16000,4000301&8,4000204&4,0,5
11052105,110521,5,1000001&20000,4000301&10,4000204&5,4000206&3,5
11052201,110522,1,1000001&4000,4000201&6,0,0,5
11052202,110522,2,1000001&8000,4000201&8,4000104&4,0,5
11052203,110522,3,1000001&12000,4000201&10,4000104&5,0,5
11052204,110522,4,1000001&16000,4000301&8,4000204&4,0,5
11052205,110522,5,1000001&20000,4000301&10,4000204&5,4000206&3,5
11052501,110525,1,1000001&4000,4000201&6,0,0,5
11052502,110525,2,1000001&8000,4000201&8,4000104&4,0,5
11052503,110525,3,1000001&12000,4000201&10,4000104&5,0,5
11052504,110525,4,1000001&16000,4000301&8,4000204&4,0,5
11052505,110525,5,1000001&20000,4000301&10,4000204&5,4000206&3,5
12101101,121011,1,1000001&8000,4000101&6,0,0,10
12101102,121011,2,1000001&16000,4000101&10,4000104&5,0,10
12101103,121011,3,1000001&24000,4000201&6,4000104&6,4000105&3,10
12101104,121011,4,1000001&32000,4000201&10,4000204&5,0,10
12101105,121011,5,1000001&40000,4000201&14,4000204&7,0,10
12101106,121011,6,1000001&48000,4000301&10,4000204&9,4000205&5,10
12101107,121011,7,1000001&56000,4000301&14,4000204&11,4000205&6,10
12101108,121011,8,1000001&64000,4000301&18,4000304&9,0,10
12101109,121011,9,1000001&72000,4000301&22,4000304&11,0,10
12101110,121011,10,1000001&80000,4000301&26,4000304&13,4000305&7,10
12101201,121012,1,1000001&8000,4000101&6,0,0,10
12101202,121012,2,1000001&16000,4000101&10,4000104&5,0,10
12101203,121012,3,1000001&24000,4000201&6,4000104&6,4000105&3,10
12101204,121012,4,1000001&32000,4000201&10,4000204&5,0,10
12101205,121012,5,1000001&40000,4000201&14,4000204&7,0,10
12101206,121012,6,1000001&48000,4000301&10,4000204&9,4000205&5,10
12101207,121012,7,1000001&56000,4000301&14,4000204&11,4000205&6,10
12101208,121012,8,1000001&64000,4000301&18,4000304&9,0,10
12101209,121012,9,1000001&72000,4000301&22,4000304&11,0,10
12101210,121012,10,1000001&80000,4000301&26,4000304&13,4000305&7,10
12101501,121015,1,1000001&8000,4000101&6,0,0,10
12101502,121015,2,1000001&16000,4000101&10,4000104&5,0,10
12101503,121015,3,1000001&24000,4000201&6,4000104&6,4000105&3,10
12101504,121015,4,1000001&32000,4000201&10,4000204&5,0,10
12101505,121015,5,1000001&40000,4000201&14,4000204&7,0,10
12101506,121015,6,1000001&48000,4000301&10,4000204&9,4000205&5,10
12101507,121015,7,1000001&56000,4000301&14,4000204&11,4000205&6,10
12101508,121015,8,1000001&64000,4000301&18,4000304&9,0,10
12101509,121015,9,1000001&72000,4000301&22,4000304&11,0,10
