组id,所属秘所,所属小训练场,位置,后连接位,对应icon,对应spain,训练项目类型,训练最高等级,解锁条件（项目）,解锁条件（场等级）,升级消耗id,升级获得秘所经验
id,secret_place,belong_place,position,behind_pos,icon_id,spain_address,train_type,max_level,lock1,lock2,levelup_id,exp
number,number,number,array_&,array_|,string,number,number,number,array_&_|,array_&,number,number
111,1,1105,2&2,114|113,source_icon/train/11,-1,1,5,112&3,-1,110511,10
112,1,1105,1&1,115,source_icon/train/12,-1,1,5,-1,-1,110512,10
113,1,1105,3&3,116,source_icon/train/15,-1,1,5,111&3,-1,110515,10
114,1,1105,3&2,-1,source_icon/train/21,-1,1,5,111&3,-1,110521,10
115,1,1105,3&1,10010102,source_icon/train/22,-1,1,5,112&3,-1,110522,10
116,1,1105,4&3,-1,source_icon/train/25,-1,1,5,113&3,-1,110525,10
121,1,1210,1&2,122|124|123,source_icon/train/11,-1,1,10,-1,1&5,121011,10
122,1,1210,2&1,125,source_icon/train/12,-1,1,10,121&5,1&5,121012,10
123,1,1210,2&3,126,source_icon/train/15,-1,1,10,121&5,1&5,121015,10
124,1,1210,3&2,10010202,source_icon/train/21,-1,1,10,121&5,1&5,121021,10
125,1,1210,3&1,10010202,source_icon/train/22,-1,1,10,122&5,1&5,121022,10
126,1,1210,4&3,-1,source_icon/train/25,-1,1,10,123&5,1&5,121025,10
131,1,1315,1&1,134|133,source_icon/train/11,-1,1,15,-1,1&10,131511,10
132,1,1315,1&3,135,source_icon/train/12,-1,1,15,-1,1&10,131512,10
133,1,1315,2&2,136,source_icon/train/15,-1,1,15,131&5,1&10,131515,10
134,1,1315,2&1,10010302,source_icon/train/21,-1,1,15,131&5,1&10,131521,10
135,1,1315,2&3,137,source_icon/train/22,-1,1,15,132&5,1&10,131522,10
136,1,1315,3&2,-1,source_icon/train/25,-1,1,15,133&5,1&10,131525,10
137,1,1315,3&3,138,source_icon/train/131527,-1,1,5,135&5,1&15,131527,10
138,1,1315,4&3,-1,source_icon/train/131528,-1,1,5,137&5,1&15,131528,10
211,2,2105,3&1,214,source_icon/train/11,-1,1,5,213&3,-1,210511,10
212,2,2105,1&2,213|215,source_icon/train/12,-1,1,5,-1,-1,210512,10
213,2,2105,2&2,211|216,source_icon/train/15,-1,1,5,212&3,-1,210515,10
214,2,2105,4&1,-1,source_icon/train/21,-1,1,5,211&3,-1,210521,10
215,2,2105,2&3,20010102,source_icon/train/22,-1,1,5,212&3,-1,210522,10
216,2,2105,3&2,-1,source_icon/train/25,-1,1,5,213&3,-1,210525,10
221,2,2210,2&3,224,source_icon/train/11,-1,1,10,223&5,2&5,221011,10
222,2,2210,1&1,225,source_icon/train/12,-1,1,10,-1,2&5,221012,10
223,2,2210,1&2,226|221,source_icon/train/15,-1,1,10,-1,2&5,221015,10
