ID,组id,技能等级,下一级技能(0为不能升级),最大等级,释放类型,技能基础伤害百分比,施法音效,受击音效
id,groupID,Skilllevel,NextSkill,MaxLevel,playType,HurtRate,PlaySound,HitSound
number,number,number,number,number,array_|,number,string,string
1,1,1,200101,10,1|10010105,1.2,-1,-1
2,1,1,200101,10,1|10010101,1.2,-1,-1
3,1,1,200101,10,1|10010106,1.2,-1,-1
4,1,1,200101,10,2|1002,1.2,-1,-1
5,1,1,200101,10,2|1003,1.2,-1,-1
1001010101,10010101,0,0,1,2|1001010101,1.15,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010200,10010102,0,1001010201,5,2|1001010200,1.2,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010201,10010102,1,1001010202,5,2|1001010201,1.22,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010202,10010102,2,1001010203,5,2|1001010202,1.24,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010203,10010102,3,1001010204,5,2|1001010203,1.26,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010204,10010102,4,1001010205,5,2|1001010204,1.28,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010205,10010102,5,0,5,2|1001010205,1.3,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010300,10010103,0,1001010301,10,2|1001010300,1.02,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010301,10010103,1,1001010302,10,2|1001010301,1.05,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010302,10010103,2,1001010303,10,2|1001010302,1.08,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010303,10010103,3,1001010304,10,2|1001010303,1.11,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010304,10010103,4,1001010305,10,2|1001010304,1.1400000000000001,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010305,10010103,5,1001010306,10,2|1001010305,1.1700000000000002,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010306,10010103,6,1001010307,10,2|1001010306,1.2000000000000002,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010307,10010103,7,1001010308,10,2|1001010307,1.2300000000000002,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010308,10010103,8,1001010309,10,2|1001010308,1.2600000000000002,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010309,10010103,9,1001010310,10,2|1001010309,1.2900000000000003,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
1001010310,10010103,10,0,10,2|1001010310,1.3200000000000003,event:/FightEffect/PetSkills-1001010101-PlaySound,event:/FightEffect/PetSkills-1001010101-HitSound
