id,功能id,名字,解锁方式,触发引导方式,触发引导数值,引导方式1退出按钮指向,引导表ID,是否显示,是否跳转,跳转指向,是否隐藏
id,Play_LevelUp_id,Name,unlock_type,unlock_guide,unlock_number,unlock_type1_goto,guide_id,IsShow,IsGo,GuideTo,IsHide
number,number,number,array_&,number,number,number,number,number,number,number,number
1,101,10320001,-1,0,0,0,0,0,0,0,0
2,10101,10320002,-1,0,0,0,0,0,0,0,0
3,10102,10320003,-1,0,0,0,0,0,0,0,0
5,10104,10320005,-1,0,0,0,0,1,0,0,0
6,102,10320006,1&100202,0,0,1,0,0,0,0,1
7,10201,10320009,1&100502,1,100502,1,701,1,0,0,0
9,10203,10320007,1&100207,1,100207,1,703,1,0,0,0
10,10204,10320010,1&100202,1,100202,1,704,1,0,0,0
11,10205,10320011,1&100603,1,100603,1,705,1,0,0,0
12,103,10320012,1&100208,0,0,1,0,0,0,0,1
14,10302,10320014,1&100408,1,100408,1,2301,1,0,0,0
16,201,10320016,1&100105,1,100105,1,501,1,0,0,0
17,202,10320017,1&100602,1,100602,1,301,1,0,0,0
23,205,10320023,1&100208,1,100208,1,1301,1,0,0,0
24,206,10320024,-1,0,0,0,0,1,0,0,0
26,401,10320026,1&100101,1,0,1,0,1,0,0,0
29,1001,10320029,-1,0,0,1,0,1,0,0,0
30,1002,10320030,-1,0,0,0,0,1,0,0,1
31,1003,10320031,1&100102,1,100102,1,201,1,0,0,0
32,1004,10320032,-1,0,0,1,0,1,0,0,0
33,1005,10320033,-1,0,0,0,0,1,0,0,0
34,1006,10320034,-1,0,0,0,0,0,0,0,0
35,1007,10320035,-1,0,0,0,0,0,0,0,0
36,1008,10320036,-1,0,0,1,0,0,0,0,0
37,1024,10320037,1&100307,1,100307,1,4101,1,0,0,0
39,1011,10320039,-1,0,0,1,0,0,0,0,0
41,1013,10320041,1&100206,3,0,1,801,1,0,0,1
42,1014,10320042,-1,0,0,0,0,0,0,0,0
43,1015,10320043,3,0,0,0,0,0,0,0,1
44,1016,10320044,1&100607,1,100607,1,2401,1,0,0,0
45,1017,10320045,-1,0,0,1,0,0,0,0,0
46,1018,10320046,-1,0,0,0,0,0,0,0,1
47,207,10320047,1&100208,0,0,0,0,0,0,0,0
52,888003,10320052,-1,0,0,1,0,1,0,0,0
53,888004,10320053,-1,0,0,0,0,1,0,0,0
54,888005,10320054,-1,0,0,0,0,1,0,0,0
55,1012,10320070,1&100303,1,100303,1,3001,0,0,0,0
56,1019,10320040,1&100405,1,100405,0,3002,0,0,0,0
57,1021,10320026,1&100105,0,0,0,0,0,0,0,0
58,1022,10320026,1&100104,1,100104,1,1022,0,0,0,0
59,1023,10320026,1&100108,1,100108,1,1023,0,0,0,0
60,8001,10320001,1&100103,1,100103,2,8001,0,0,0,0
61,8002,10320001,1&100106,1,100106,2,8002,0,0,0,0
62,8003,10320001,1&100308,1,100308,2,8003,0,0,0,0
63,8004,10320024,1&110108,1,110108,1,1701,0,0,0,0
64,50002,10010007,2&20,0,0,0,0,0,0,0,0
65,50004,10010009,2&20,0,0,0,0,0,0,0,0
