玩家等级,升级经验,体力,升级体力恢复
id,cost_exp,defult_spirit,defult_spirit_get
number,number,number,number
1,20,120,0
2,20,120,0
3,20,120,0
4,20,120,0
5,20,120,0
6,20,120,0
7,20,120,0
8,20,120,0
9,20,120,0
10,20,120,0
11,20,120,0
12,20,120,0
13,20,120,0
14,20,120,0
15,20,120,0
16,20,120,0
17,30,120,0
18,30,120,0
19,43,120,0
20,57,120,0
21,72,120,0
22,88,120,0
23,105,120,0
24,123,120,0
25,142,120,0
26,162,120,0
27,183,120,0
28,205,120,0
29,228,120,0
30,252,120,0
31,277,120,0
32,303,120,0
33,330,120,0
34,358,120,0
35,387,120,0
36,417,120,0
37,448,120,0
38,480,120,0
39,513,120,0
40,547,120,0
41,582,120,0
42,618,120,0
43,655,120,0
44,693,120,0
45,732,120,0
46,772,120,0
47,813,120,0
48,855,120,0
49,898,120,0
50,942,120,0
51,987,120,0
52,1033,120,0
53,1080,120,0
54,1128,120,0
55,1177,120,0
56,1227,120,0
57,1278,120,0
58,1330,120,0
59,1383,120,0
60,1437,120,0
61,1492,120,0
62,1548,120,0
63,1605,120,0
64,1663,120,0
65,1722,120,0
66,1782,120,0
67,1843,120,0
68,1905,120,0
69,1968,120,0
70,2032,120,0
71,2097,120,0
72,2163,120,0
73,2230,120,0
74,2298,120,0
75,2367,120,0
76,2437,120,0
77,2508,120,0
78,2580,120,0
79,2653,120,0
80,2727,120,0
