id,任务分类,任务子类,下一个任务,任务序列,任务名称,任务名称,任务描述,神秘任务描述,神秘任务描述,任务完成次数,统计任务id,比较方式,比对值,开放条件,触发的value值,显示掉落,巡查活跃值增长,活跃值增长,积分增长,任务跳转,首页按钮显示顺序,奖励显示的任务简介,任务类型
id,Quest_class,Quest_child_class,Next_id,Quest_list,Quest_name,Quest_name2,Quest_des,Quset_secret_des,Quset_secret_des2,Quest_completion_times,Statistics_quest_id,Type_cmp,Count_cmp,Open_condition,Touch_value,Reward,ActivePiece_point,Active_point,Activity_points,Is_jump,Bannershow,Banner_Show_Str,Quest_type
number,number,number,number,number,number,string,number,number,string,number,number,number,number,array_&,array_&,array_&_|,number,number,array_&,array_|,number,array_&,number
100101,1,101,0,0,-1,0.0,20330001,-1,0,1,1100201,2,1,1&1,-1,4&1000099&20|4&4200003&2,0,20,-1,0&0,0,0,0
100201,1,101,0,0,-1,0.0,20330002,-1,0,1,1501101,2,160,1&1,-1,4&1000099&40|4&1000001&10000,0,40,-1,3&1,0,0,0
100301,1,101,0,0,-1,0.0,20330003,-1,0,1,1100701,2,1,1&1,-1,4&1000099&30|4&1000001&10000,0,30,-1,15&0,0,0,0
100401,1,101,0,0,-1,0.0,20330004,-1,0,1,1501301,2,1,1&1,-1,4&1000099&20|4&1000001&10000,0,20,-1,12&0&1,0,0,0
100501,1,101,0,0,-1,0.0,20330005,-1,0,1,1203101,2,1,1&1,-1,4&1000099&20|4&1000008&20,0,20,-1,12&0&2,0,0,0
100601,1,101,0,0,-1,0.0,20330006,-1,0,1,1410101,2,1,3&100307,-1,4&1000099&20|4&8800030&6,0,20,-1,7&0,0,0,0
100701,1,101,0,0,-1,0.0,20330007,-1,0,1,1300105,2,2,1&1,-1,4&1000099&30|4&1000001&10000,0,30,-1,3&2,0,0,0
100801,1,101,0,0,-1,0.0,20330008,-1,0,1,1301107,2,3,1&1,-1,4&1000099&30|4&8999994&5,0,30,-1,3&1,0,0,0
100901,1,101,0,0,-1,0.0,20330009,-1,0,1,1205401,2,2,3&100208,-1,4&1000099&20|4&1000001&10000,0,20,-1,24&0,0,0,0
101001,1,101,0,0,-1,0.0,20330010,-1,0,1,1110109,2,1,3&100408,-1,4&1000099&15|4&1000001&10000,0,15,-1,6&1,0,0,0
101101,1,101,0,0,-1,0.0,20330011,-1,0,1,1250201,2,1,3&100602,-1,4&1000099&15|4&1000001&10000,0,15,-1,23&0,0,0,0
101201,1,101,0,0,-1,0.0,20330012,-1,0,1,1100901,2,7,1&1,-1,4&1000099&45|4&1000001&20000,0,45,-1,0&0,0,0,0
101901,1,101,0,0,-1,0.0,20330014,-1,0,1,100102,1,1,1&1,-1,4&1000098&90,0,0,-1,0&0,0,0,0
101902,1,101,0,0,-1,0.0,20330015,-1,0,1,100103,1,1,1&1,-1,4&1000098&90,0,0,-1,0&0,0,0,0
101903,1,101,0,0,-1,0.0,20330016,-1,0,1,100104,1,1,1&999,-1,4&1000098&1,0,0,-1,0&0,0,0,0
102001,1,102,0,0,-1,0.0,20331001,-1,0,1,1100202,2,3,1&1,-1,4&1000097&680|4&1000001&10000,0,0,-1,0&0,0,0,0
102002,1,102,0,0,-1,0.0,20331002,-1,0,1,1100202,2,5,1&1,-1,4&1000097&680|4&1000002&50,0,0,-1,0&0,0,0,0
102003,1,102,0,0,-1,0.0,20331003,-1,0,1,1501107,2,1200,1&1,-1,4&1000097&680|4&7000005&2,0,0,-1,3&1,0,0,0
102004,1,102,0,0,-1,0.0,20331004,-1,0,1,1110105,2,2,1&1,-1,4&1000097&680|4&3000000&1,0,0,-1,5&1,0,0,0
102005,1,102,0,0,-1,0.0,20331005,-1,0,1,1110105,2,3,1&1,-1,4&1000097&680|4&3000000&1,0,0,-1,5&1,0,0,0
