层数,通关奖励,通关遗物奖励,周结算奖励,词缀使用
id,Award,Buff,Week_award,EmyBuff
number,number,array_&_|,number,array_|
1,995001,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&20|1027&20,996001,-1
2,995002,-1,996002,-1
3,995003,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&20|1027&20,996003,-1
4,995004,-1,996004,-1
5,995005,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1012&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1021&20|1022&20|1023&20|1024&20|1025&20|1026&20|1027&20|1028&25|1029&25|1030&25|1031&25|1032&25|1033&25|1034&25|1035&25|1036&25|1037&25|1038&25|1039&25|1040&25|1041&25|1042&25|1043&25|1044&25|1045&25|1046&25|1047&25|1048&25|1049&25|1050&25|1051&25|1052&25|1053&25|1054&25|1055&25|1056&25|1057&25,996005,1
6,995006,-1,996006,1
7,995007,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&20|1027&20,996007,1
8,995008,-1,996008,1
9,995009,1001&20|1002&20|1003&20|1004&20|1005&20|1006&20|1007&20|1008&20|1009&20|1010&20|1011&20|1013&20|1014&20|1015&20|1016&20|1017&20|1018&20|1019&20|1020&20|1024&20|1025&20|1026&20|1027&20,996009,1
10,995010,-1,996010,1
11,995011,1028&20|1029&20|1030&20|1031&20|1032&20|1033&20|1034&20|1035&20|1036&20|1037&20|1038&20|1039&20|1040&20|1041&20|1042&20|1043&20|1044&20|1045&20|1046&20|1047&20|1048&20|1049&20|1050&20|1051&20|1052&20|1053&20|1054&20|1055&20|1056&20|1057&20,996011,1|2
12,995012,-1,996012,1|2
