id,开服时间,登录服ip_端口,游戏服ip_端口
id,start_time,loginIP,gameIP
number,string,string,array_&
1,2018/12/14 00:00:00,192.168.22.25:8081,192.168.21.209:29000&192.168.21.209:29001
2,2018/12/14 00:00:00,129.211.129.127:8081,129.211.129.127:29000&129.211.129.127:29001
3,2018/12/14 00:00:00,192.168.22.25:8081,192.168.22.25:29000&192.168.22.25:29001
4,2018/12/14 00:00:00,192.168.22.25:8081,192.168.21.210:29000&192.168.21.210:29001
5,2018/12/14 00:00:00,192.168.22.25:8081,192.168.21.212:29000&192.168.21.212:29001
6,2018/12/14 00:00:00,192.168.21.213:31500,192.168.21.213:29000&192.168.21.213:29001
7,2018/12/14 00:00:00,192.168.22.25:8081,192.168.21.214:29000&192.168.21.214:29001
8,2018/12/14 00:00:00,192.168.22.25:8081,192.168.21.215:29000&192.168.21.215:29001
9,2018/12/14 00:00:00,192.168.22.25:8081,192.168.21.216:29000&192.168.21.216:29001
10,2018/12/14 00:00:00,129.211.129.127:8081,129.211.129.127:49000&129.211.129.127:49001&129.211.129.127:49002&129.211.129.127:49003
11,2018/12/14 00:00:00,192.168.21.217:31500,192.168.21.217:29000&192.168.21.217:29001
