索引id,商品描述,商品类型,商品掉落id,商品总价,商店种类,商品位置排序,限购类型,限购次数,基本折扣,首次双倍,解锁方式,锁定方式,单次购买次数,随机折扣,是否是深夜大奖
id,des,ShopItem_type,ShopItem,price,Shop_Type,Order,Buytype,Buytimes,Discount,Double,UnlockData,LockData,BuyMore,RangeDiscount,MidnightShow
number,number,number,array_&_|,array_&,number,number,number,number,number,number,array_&,array_&,number,array_&_|,number
1001,10350001,1,1&20&9100001|21&40&9100002|41&60&9100003|61&80&9100004,-1,1,1,0,1,1,-1,-1,-1,1,3500&8|2500&7|2500&6|1500&5,0
1002,10350002,1,1&20&9100001|21&40&9100002|41&60&9100003|61&80&9100004,-1,1,2,0,1,1,-1,-1,-1,1,3500&8|2500&7|2500&6|1500&5,0
1003,10350003,1,1&20&9100101|21&40&9100102|41&60&9100103|61&80&9100104,-1,1,3,0,1,1,-1,-1,-1,1,3500&6|3300&5|2500&4|500&3|200&2,0
1004,10350004,1,1&10&9100201|11&20&9100202|21&30&9100203|31&49&9100204|50&69&9100205|70&80&9100206,-1,1,4,0,1,1,-1,-1,-1,1,3500&8|2500&7|2500&6|1500&5,0
1005,10350005,1,1&10&9100201|11&20&9100202|21&30&9100203|31&49&9100204|50&69&9100205|70&80&9100206,-1,1,5,0,1,1,-1,-1,-1,1,3500&8|2500&7|2500&6|1500&5,0
1006,10350006,1,1&80&9100301,-1,1,6,0,1,1,-1,-1,-1,1,3500&6|3300&5|2500&4|500&3|200&2,0
1007,10350007,1,1&80&9100401,-1,1,7,0,1,1,-1,-1,-1,1,3500&8|2500&7|2500&6|1500&5,0
1008,10350008,1,1&80&9100501,-1,1,8,0,1,1,-1,-1,-1,1,3500&6|3300&5|2500&4|500&3|200&2,0
1009,10350009,1,1&80&9100501,-1,1,9,0,1,1,-1,-1,-1,1,3500&6|3300&5|2500&4|500&3|200&2,0
2001,10350010,2,4&7000006&1,1000003&100,2,1,0,0,1,-1,-1,-1,99,-1,0
2002,10350011,2,4&7000007&1,1000003&600,2,2,2,1,1,-1,-1,-1,1,-1,0
2003,10350012,2,4&4100002&1,1000003&30,2,3,0,0,1,-1,-1,-1,99,-1,0
2004,10350013,2,4&4100003&1,1000003&50,2,4,0,0,1,-1,-1,-1,99,-1,0
2005,10350014,2,4&4200003&1,1000003&30,2,5,0,0,1,-1,-1,-1,99,-1,0
2006,10350015,2,4&4200004&1,1000003&50,2,6,0,0,1,-1,-1,-1,99,-1,0
