ID,附带效果类型,UIIcon,Buff特效,吸血百分比,概率,叠加次数上限,效果持续时间,DOT伤害比系数,数字颜色,持续伤害击中特效,附带效果ICON,DOT伤害时间,时间变速,恢复生命百分比,增伤系数（倍率）,储备相关信息,分身相关信息,降低防御百分比,降低属性百分比,回能速度相关,攻击速度相关,强化普攻相关,属性增伤系数,基础攻击增加,减伤相关,增加防御,概率释放多次,增加属性攻击,主动技能强化1,全属性增伤,全属性抗性增加,增加属性抗性,吸魂相关配置
id,EffectType,EffectIcon,BuffEffect,recoverHP,randomRate,dotCount,dotCD,dotRate,numberColor,hitEffect,effectIcon,dotHurtTimes,TimesChange,RecorverHpRate,igniteRate,SaveInfo,SeparateInfo,SubDefRate,SubLetRate,MpRecorverInfo,AtkSpeedInfo,damageInfo,letAtkAddRate,AtkAddRate,ReduceHurt,DefAddRate,PlayAgainInfo,AddAtkBuffRate,PlusSkill1,AddAtriRate,AddBuffDefRate,AddDefBuffRate,SoulInfo
number,number,string,string,number,number,number,number,number,array_|,number,number,number,array_|,number,number,array_|,array_|,number,number,array_|,array_|,array_|,number,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|
1001,1,source_uiComframeWork/frame_buff/Img_Buff_1,-1,10,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1002,2,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,100,3,3,1.5,1|0|0|1,1004,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1003,5,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1004,8,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,100,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1005,10,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,100,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1006,14,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,100,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1007,17,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1|3,-1,-1,-1,-1,-1,-1,-1
1008,20,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1009,22,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010,24,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2001,3,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10|0.25|0.3|0.3|2|2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2002,4,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,0|1|0|1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,6,source_uiComframeWork/frame_buff/Img_Buff_1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1|1|5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
