ID,技能（框）类型,魔女等级,等级,消耗材料
id,skill_type,Hero_level,level,Materials
number,number,number,number,array_&_|
1,1,1,1,4600001&1|1000001&1000
2,1,1,2,4600001&1|1000001&1050
3,1,6,3,4600001&2|1000001&1150
4,1,9,4,4600001&3|1000001&1250
5,1,12,5,4600001&3|1000001&1450
6,1,15,6,4600001&3|1000001&1650
7,1,18,7,4600001&3|1000001&1950
8,1,21,8,4600001&3|1000001&2250
9,1,24,9,4600001&4|1000001&2650
10,1,27,10,4600001&5|1000001&3050
11,1,30,11,4600001&6|4600002&3|1000001&3550
12,1,33,12,4600001&7|4600002&4|1000001&4050
13,1,38,13,4600001&9|4600002&6|1000001&4650
14,1,42,14,4600001&11|4600002&8|1000001&5250
15,1,46,15,4600001&14|4600002&11|1000001&5950
16,1,49,16,4600001&17|4600002&14|4600003&3|1000001&6650
17,1,52,17,4600001&22|4600002&19|4600003&8|1000001&7450
18,1,55,18,4600001&27|4600002&24|4600003&13|1000001&8250
19,1,60,19,4600001&32|4600002&30|4600003&18|1000001&9150
20,1,60,20,-1
21,3,1,1,4600001&2|1000001&2000
22,3,1,2,4600001&2|1000001&2100
23,3,6,3,4600001&4|1000001&2300
24,3,9,4,4600001&6|1000001&2500
25,3,12,5,4600001&6|1000001&2900
26,3,15,6,4600001&6|1000001&3300
27,3,18,7,4600001&6|1000001&3900
28,3,21,8,4600001&6|1000001&4500
29,3,24,9,4600001&8|1000001&5300
30,3,27,10,4600001&10|1000001&6100
31,3,30,11,4600001&12|4600002&6|1000001&7100
32,3,33,12,4600001&14|4600002&8|1000001&8100
33,3,38,13,4600001&18|4600002&12|1000001&9300
34,3,42,14,4600001&22|4600002&16|1000001&10500
35,3,46,15,4600001&28|4600002&22|1000001&11900
36,3,49,16,4600001&34|4600002&28|4600003&6|1000001&13300
37,3,52,17,4600001&44|4600002&38|4600003&16|1000001&14900
38,3,55,18,4600001&54|4600002&48|4600003&26|1000001&16500
39,3,60,19,4600001&64|4600002&60|4600003&36|1000001&18300
40,3,60,20,-1
41,2,1,1,4600001&3|1000001&3000
42,2,1,2,4600001&3|1000001&3150
43,2,6,3,4600001&6|1000001&3450
44,2,9,4,4600001&9|1000001&3750
45,2,12,5,4600001&9|1000001&4350
46,2,15,6,4600001&9|1000001&4950
47,2,18,7,4600001&9|1000001&5850
48,2,21,8,4600001&9|1000001&6750
49,2,24,9,4600001&12|1000001&7950
50,2,27,10,4600001&15|1000001&9150
51,2,30,11,4600001&18|4600002&9|1000001&10650
52,2,33,12,4600001&21|4600002&12|1000001&12150
53,2,38,13,4600001&27|4600002&18|1000001&13950
54,2,42,14,4600001&33|4600002&24|1000001&15750
55,2,46,15,4600001&42|4600002&33|1000001&17850
56,2,49,16,4600001&51|4600002&42|4600003&9|1000001&19950
57,2,52,17,4600001&66|4600002&57|4600003&24|1000001&22350
58,2,55,18,4600001&81|4600002&72|4600003&39|1000001&24750
59,2,60,19,4600001&96|4600002&90|4600003&54|1000001&27450
60,2,60,20,-1
