id,皮肤名称,皮肤英文,皮肤描述,购买途径,来源描述,皮肤技能数据,皮肤表现,皮肤构筑,普通爆炸特效ID,是否拥有显示,专属渠道,看板娘是否显示,所属魔女,预览按钮,蓄力技动作偏移,皮肤品质标签,皮肤主题标签
id,name,nameEN,des,buyType,buyDes,skinSkills,skin_show,skinBuildIds,explosionEffectID,skin_noshow,plat,kanban_noshow,heroid,previewbutton,xuliaction,SkinRare,SkinTheme
int,int,string,int,int,int,int_array_|,int_array_|,array_|,int,int,int_array_|,int,int,int,number,number,string
10010001,10380001,Anna,20380001,-1,-1,100101|100103|100102,100101|100103|100102,1|35|41|50|56|101,140001,-1,-1,1,1001,1,0,0,-1
10010002,10380002,Frisia fik,20380002,2,30380002,100101|100103|100102,10010101|10010301|10010201,1|35|41|50|56|101,140006,-1,-1,1,1001,1,0,1,-1
10010003,10380003,Fusi ron Anna ,20380003,2,30380002,100101|100103|100102,100101|100103|100102,1|35|41|50|56|101,140001,1,-1,-1,1001,-1,0,2,-1
10020001,10380004,Sinsia,20380004,-1,-1,100201|100203|100202,100201|100203|100202,4|35|41|50|56|101,140003,-1,-1,1,1002,1,0.9,0,-1
10030001,10380005,Sibel,20380005,-1,-1,100301|100303|100302,100301|100303|100302,31|36|42|76|59|102,140006,-1,-1,1,1003,1,1,0,-1
10030002,10380006,Chuhosine ron tiwa,20380006,2,30380001,100301|100303|100302,10030101|10030301|10030201,31|36|42|76|59|102,140006,-1,-1,1,1003,1,0.7,1,-1
10030003,10380007,Um wahane,20380007,2,30380002,100301|100303|100302,10030102|10030302|10030202,31|36|42|76|59|102,140004,1,-1,1,1003,-1,1,5,-1
10030004,10380008,Sine ron tiwihua,20380008,2,30380005,100301|100303|100302,10030103|10030303|10030203,31|36|42|76|59|102,140006,-1,-1,1,1003,1,0.85,2,-1
10040001,10380009,Celeste,20380009,-1,-1,100401|100403|100402,100401|100403|100402,19|38|44|75|51|777,140003,-1,-1,1,1004,1,0.532,0,-1
10050001,10380010,Karolin,20380010,-1,-1,100501|100503|100502,100501|100503|100502,7|36|42|55|76|59|102,-1,-1,-1,1,1005,1,0.936,0,-1
10060001,10380011,Sabrina,20380011,-1,-1,100601|100603|100602,100601|100603|100602,29|40|46|53|106,140002,-1,-1,1,1006,1,0.85,0,-1
10060002,10380012,Kibofubone,20380012,2,30380002,100601|100603|100602,10060101|10060301|10060201,29|40|46|53|106,140004,-1,-1,1,1006,1,0.85,5,-1
10070001,10380013,Shana,20380013,-1,-1,100701|100703|100702,100701|100703|100702,22|38|44|75|51|777,140005,-1,-1,1,1007,1,1.1,0,-1
10080001,10380014,Lisa,20380014,-1,-1,100801|100803|100802,100801|100803|100802,13|37|43|65|60|103,-1,-1,-1,1,1008,1,1,0,-1
10080002,10380015,Hesiciahufe ecik,20380015,2,-1,100801|100803|100802,100801|100803|100802,13|37|43|65|60|103,-1,-1,-1,-1,1008,-1,1,2,-1
10090001,10380016,Mari,20380016,-1,-1,100901|100903|100902,100901|100903|100902,2|35|41|50|56|101,140001,-1,-1,1,1009,1,0,0,-1
10090002,10380017,Fardi ron huesa,20380017,1,-1,100901|100903|100902,10090101|10090301|10090201,2|35|41|50|56|101,140001,-1,-1,1,1009,1,0,2,-1
10090003,10380018,Fardi rochek,20380018,2,-1,100901|100903|100902,100901|100903|100902,2|35|41|50|56|101,140001,1,-1,-1,1009,1,0,2,-1
10100001,10380019,Elisabesi,20380019,-1,-1,101001|101003|101002,101001|101003|101002,14|37|43|66|60|103,-1,-1,-1,1,1010,1,0.65,0,-1
10100002,10380020,Umi ron Ocosutue,20380020,1,30380002,101001|101003|101002,101001|101003|101002,14|37|43|66|60|103,-1,-1,-1,-1,1010,-1,0.95,3,-1
10100003,10380021,Huse ron obestoa,20380021,2,30380002,10100101|10100301|10100201,10100101|10100301|10100201,14|37|43|66|60|103,-1,1,-1,-1,1010,-1,0.65,2,-1
10110001,10380022,Natalia,20380022,-1,-1,101101|101103|101102,101101|101103|101102,30|40|46|53|106,140001,-1,-1,1,1011,1,0.65,0,-1
10110002,10380023,Shune tifanik,20380023,2,30380002,101101|101103|101102,101101|101103|101102,30|40|46|53|106,140006,-1,-1,-1,1011,1,0.65,2,-1
10120001,10380024,Hersa,20380024,-1,-1,101201|101203|101202,101201|101203|101202,5|35|41|50|56|101,140005,-1,-1,1,1012,1,0.55,0,-1
10130001,10380025,Sharon,20380025,-1,-1,101301|101303|101302,101301|101303|101302,34|40|46|53|106,140001,-1,-1,1,1013,1,0.85,0,-1
10130002,10380026,Cesi ron Venas,20380026,1,30380002,101301|101303|101302,991301|991303|991302,34|40|46|53|106,140006,-1,-1,1,1013,1,0.85,2,-1
10130003,10380027,Marchue en tifahufa,20380027,2,30380002,101301|101303|101302,101301|101303|101302,34|40|46|53|106,140001,-1,-1,-1,1013,1,0.85,2,-1
10140001,10380028,Shatina,20380028,-1,-1,101401|101403|101402,101401|101403|101402,23|38|44|75|51|777,140001,-1,-1,1,1014,1,0.5,0,-1
10150001,10380029,Daisi,20380029,-1,-1,101501|101503|101502,101501|101503|101502,17|37|43|67|60|103,-1,-1,-1,1,1015,1,1,0,-1
10160001,10380030,Istres,20380030,-1,-1,101601|101603|101602,101601|101603|101602,18|38|44|75|51|777,140003,-1,-1,1,1016,1,0.2,0,-1
10170001,10380031,Iohan Iars,20380031,-1,-1,101701|101703|101702,101701|101703|101702,11|36|42|55|76|59|102,-1,-1,-1,1,1017,1,0.1,0,-1
10180001,10380032,Wilma,20380032,-1,-1,101801|101803|101802,101801|101803|101802,9|36|42|55|76|59|102,-1,-1,-1,1,1018,1,1.2,0,-1
10190001,10380033,Kalina,20380033,-1,-1,101901|101903|101902,101901|101903|101902,26|39|45|47|70|73,-1,-1,-1,1,1019,1,0.85,0,-1
10200001,10380034,Rachi,20380034,-1,-1,102001|102003|102002,102001|102003|102002,27|39|45|47|71|74,-1,-1,-1,1,1020,1,0.968,0,-1
10210001,10380035,Sikrid,20380035,-1,-1,102101|102103|102102,102101|102103|102102,10|36|42|55|76|59|102,-1,-1,-1,1,1021,1,0.7,0,-1
10210002,10380036,Shune ron Cronos,20380036,2,30380005,102101|102103|102102,10210101|10210301|10210201,10|36|42|55|76|59|102,-1,-1,-1,1,1021,1,0.9,2,-1
10220001,10380037,Nicholas,20380037,-1,-1,102201|102203|102202,102201|102203|102202,12|36|42|55|76|59|102,-1,-1,-1,1,1022,1,0.55,0,-1
10220002,10380038,Price ron Tanatos,20380038,2,30380002,102201|102203|102202,992201|992203|992202,12|36|42|55|76|59|102,-1,1,-1,-1,1022,1,0.75,2,-1
10220003,10380039,Marchue ri donfousa,20380039,1,30380002,102201|102203|102202,982201|982203|982202,12|36|42|55|76|59|102,-1,-1,-1,1,1022,1,0.85,3,-1
10230001,10380040,Loferier,20380040,-1,-1,102301|102303|102302,102301|102303|102302,20|38|44|75|51|777,140004,-1,-1,1,1023,1,0.68,0,-1
10230002,10380041,Wheni ron hafalani,20380041,2,30380002,102301|102303|102302,102301|102303|102302,20|38|44|75|51|777,-1,-1,-1,-1,1023,1,0.68,0,-1
10230003,10380042,Prehusi ron mioa,20380042,2,30380002,102301|102303|102302,102301|102303|102302,20|38|44|75|51|777,-1,-1,-1,-1,1023,1,0.68,0,-1
10240001,10380043,Mitra,20380043,-1,-1,102401|102403|102402,102401|102403|102402,25|39|45|47|63|64,-1,-1,-1,1,1024,1,1.032,0,-1
10240002,10380044,Hue ron,20380044,2,30380002,102401|102403|102402,10240102|10240302|10240202,25|39|45|47|63|64,-1,-1,-1,1,1024,1,1.032,2,-1
10240003,10380045,Fardi ron miohusa,20380045,2,30380002,102401|102403|102402,102401|102403|102402,25|39|45|47|63|64,-1,-1,-1,-1,1024,1,1.032,0,-1
10250001,10380046,Teresa,20380046,-1,-1,102501|102503|102502,102501|102503|102502,28|39|45|47|62|72,-1,-1,-1,1,1025,1,0.3,0,-1
