id,类型,播放方式,资源路径和名称,fmod路径
id,Sound_type,Sound_playmode,Sound_source,fmodpath
number,number,number,string,string
101000,1,2,source_sound/FightBgm/OP,FightBgm/OP
101001,1,2,source_sound/FightBgm/Fight_0,FightBgm/Fight_0
101002,1,2,source_sound/FightBgm/Fight_1,FightBgm/Fight_1
101003,1,2,source_sound/FightBgm/Fight_0_4,FightBgm/Fight_0_4
101098,1,2,source_sound/FightBgm/Fight_Boss_shenting,FightBgm/Fight_Boss_shenting
101099,1,2,source_sound/FightBgm/Fight_Boss_xuezu,FightBgm/Fight_Boss_xuezu
101100,1,2,source_sound/FightBgm/Fight_bloodyway,FightBgm/Fight_bloodyway
201001,2,2,source_sound/FightEffect/BkEffect1,FightEffect/BkEffect1
201002,2,1,source_sound/FightEffect/bossDead,FightEffect/bossDead
201003,2,1,source_sound/FightEffect/attack_hit_1,FightEffect/attack_hit_1
201004,2,1,source_sound/FightEffect/attack_1,FightEffect/attack_1
201005,2,1,source_sound/FightEffect/shoot_enemey,FightEffect/shoot_enemey
201006,2,1,source_sound/FightEffect/dead_soldier,FightEffect/dead_soldier
201007,2,1,source_sound/FightEffect/dead_BOSS,FightEffect/dead_BOSS
201008,2,1,source_sound/FightEffect/dead_ect,FightEffect/dead_ect
201009,2,1,source_sound/FightEffect/eye_getin,FightEffect/eye_getin
201010,2,1,source_sound/FightEffect/eye_getout,FightEffect/eye_getout
201011,2,1,source_sound/FightEffect/bullet_score,FightEffect/bullet_score
201012,2,1,source_sound/FightEffect/shoot_player,FightEffect/shoot_player
201013,2,1,source_sound/FightEffect/take_score,FightEffect/take_score
201014,2,1,source_sound/FightEffect/dead_player,FightEffect/dead_player
201015,2,1,source_sound/FightEffect/hit_player,FightEffect/hit_player
201016,2,1,source_sound/FightEffect/hit_enemy,FightEffect/hit_enemy
201017,2,1,source_sound/FightEffect/skill_ready,FightEffect/skill_ready
201018,2,1,source_sound/FightEffect/player_getin,FightEffect/player_getin
201019,2,1,source_sound/FightEffect/common_dot,FightEffect/common_dot
201020,2,1,source_sound/FightEffect/door_open,FightEffect/door_open
20000001,2,1,source_sound/GameEffect/UIEffect/gamestart,GameEffect/UIEffect/gamestart
20000002,2,1,source_sound/GameEffect/UIEffect/submit,GameEffect/UIEffect/submit
20000003,2,1,source_sound/GameEffect/UIEffect/window_open,GameEffect/UIEffect/window_open
20000004,2,1,source_sound/GameEffect/UIEffect/page_switch,GameEffect/UIEffect/page_switch
20000005,2,1,source_sound/GameEffect/UIEffect/common_button_large,GameEffect/UIEffect/common_button_large
