id,任务类型,时间id,任务重置周期,任务条件一,条件二
id,Type,TimeId,ResetType,Cond_1,Cond_2
number,number,number,number,number,number
100101,1001,0,0,-2,-2
100102,1001,101401,1,-2,-2
100103,1001,101501,1,-2,-2
100104,1001,101601,1,-2,-2
100301,1003,0,0,-2,-2
100401,1004,0,0,-2,-2
100601,1006,0,0,-2,-2
200201,2002,0,0,10,-2
200202,2002,0,0,20,-2
200203,2002,0,0,30,-2
200204,2002,0,0,40,-2
200205,2002,0,0,50,-2
201101,2011,0,0,4,-2
201102,2011,0,0,3,-2
201103,2011,0,0,2,-2
202401,2024,0,0,6,-2
202402,2024,0,0,5,-2
202403,2024,0,0,4,-2
202404,2024,0,0,3,-2
203201,2032,0,0,8,-2
203202,2032,0,0,10,-2
203203,2032,0,0,12,-2
203204,2032,0,0,5,-2
209901,2099,0,0,-2,-2
210301,2103,0,0,-2,-2
210401,2104,0,0,2,-2
210402,2104,0,0,1,-2
210403,2104,0,0,6,-2
210404,2104,0,0,5,-2
210405,2104,0,0,4,-2
210406,2104,0,0,3,-2
210601,2106,0,0,-2,-2
303101,3031,0,0,-2,-2
314101,3141,0,0,1,-2
1350201,13502,0,0,-2,-2
350301,3503,0,0,370001,-2
350302,3503,0,0,370002,-2
350303,3503,0,0,370003,-2
350304,3503,0,0,370004,-2
350501,3505,0,2,10104,-2
350502,3505,0,2,10102,-2
1100201,11002,0,1,-2,-2
1100202,11002,0,2,-2,-2
1100203,11002,0,0,-2,-2
1100501,11005,0,1,1,-2
1100502,11005,12345,1,1,-2
1100503,11005,0,0,4,-2
1100701,11007,0,1,-2,-2
1100702,11007,0,0,-2,-2
1100703,11007,90001,0,-2,-2
1109801,11098,0,2,-2,-2
1109901,11099,0,0,-2,-2
1110101,11101,0,1,1,-2
1110102,11101,0,0,1,-2
1110103,11101,12345,1,1,-2
1110105,11101,0,2,1,-2
1110106,11101,0,2,4,-2
1110107,11101,0,0,2,-2
1110108,11101,101,0,1,-2
1110109,11101,0,1,4,-2
1110110,11101,90001,0,1,-2
1110201,11102,101,0,10,-2
1110202,11102,37003,0,1001,-2
1110301,11103,0,0,4,-2
1110302,11103,0,0,3,-2
1110303,11103,0,0,2,-2
1200101,12001,0,2,-2,-2
1200102,12001,101,0,-2,-2
1200103,12001,90001,0,-2,-2
1200401,12004,101,0,1044,-2
1202101,12021,0,2,-2,-2
1202102,12021,0,0,-2,-2
1203101,12031,0,1,-2,-2
1203102,12031,0,0,-2,-2
1203103,12031,101,0,-2,-2
1203301,12033,101,0,1044,-2
1204101,12041,0,0,-2,-2
1205101,12051,0,2,-2,-2
