升阶id,魔女id,当前阶数,等级限制,材料1&数量,材料2&数量,材料3&数量,材料4&数量
id,Card_id,StepNum,Level,StepUpCost_1,StepUpCost_2,StepUpCost_3,StepUpCost_4
number,number,number,number,array_&,array_&,array_&,array_&
100101,1001,1,1,9000301&10,-1,-1,-1
100102,1001,2,10,9000301&20,-1,-1,-1
100103,1001,3,20,9000302&40,-1,-1,-1
100104,1001,4,30,9000302&60,-1,-1,-1
100105,1001,5,40,9000303&90,-1,-1,-1
100106,1001,6,50,9000303&120,-1,-1,-1
100107,1001,7,60,9000304&160,-1,-1,-1
100108,1001,8,70,9000305&200,-1,-1,-1
100109,1001,9,80,-1,-1,-1,-1
100201,1002,1,1,9000101&10,-1,-1,-1
100202,1002,2,10,9000101&20,-1,-1,-1
100203,1002,3,20,9000102&40,-1,-1,-1
100204,1002,4,30,9000102&60,-1,-1,-1
100205,1002,5,40,9000103&90,-1,-1,-1
100206,1002,6,50,9000103&120,-1,-1,-1
100207,1002,7,60,9000104&160,-1,-1,-1
100208,1002,8,70,9000105&200,-1,-1,-1
100209,1002,9,80,-1,-1,-1,-1
100301,1003,1,1,9000101&10,-1,-1,-1
100302,1003,2,10,9000101&20,-1,-1,-1
100303,1003,3,20,9000102&40,-1,-1,-1
100304,1003,4,30,9000102&60,-1,-1,-1
100305,1003,5,40,9000103&90,-1,-1,-1
100306,1003,6,50,9000103&120,-1,-1,-1
100307,1003,7,60,9000104&160,-1,-1,-1
100308,1003,8,70,9000105&200,-1,-1,-1
100309,1003,9,80,-1,-1,-1,-1
100401,1004,1,1,9000101&10,-1,-1,-1
100402,1004,2,10,9000101&20,-1,-1,-1
100403,1004,3,20,9000102&40,-1,-1,-1
100404,1004,4,30,9000102&60,-1,-1,-1
100405,1004,5,40,9000103&90,-1,-1,-1
100406,1004,6,50,9000103&120,-1,-1,-1
100407,1004,7,60,9000104&160,-1,-1,-1
100408,1004,8,70,9000105&200,-1,-1,-1
100409,1004,9,80,-1,-1,-1,-1
100501,1005,1,1,9000301&10,-1,-1,-1
100502,1005,2,10,9000301&20,-1,-1,-1
100503,1005,3,20,9000302&40,-1,-1,-1
100504,1005,4,30,9000302&60,-1,-1,-1
100505,1005,5,40,9000303&90,-1,-1,-1
100506,1005,6,50,9000303&120,-1,-1,-1
100507,1005,7,60,9000304&160,-1,-1,-1
100508,1005,8,70,9000305&200,-1,-1,-1
100509,1005,9,80,-1,-1,-1,-1
100601,1006,1,1,9000301&10,-1,-1,-1
100602,1006,2,10,9000301&20,-1,-1,-1
100603,1006,3,20,9000302&40,-1,-1,-1
100604,1006,4,30,9000302&60,-1,-1,-1
100605,1006,5,40,9000303&90,-1,-1,-1
100606,1006,6,50,9000303&120,-1,-1,-1
100607,1006,7,60,9000304&160,-1,-1,-1
100608,1006,8,70,9000305&200,-1,-1,-1
100609,1006,9,80,-1,-1,-1,-1
100701,1007,1,1,9000201&10,-1,-1,-1
100702,1007,2,10,9000201&20,-1,-1,-1
100703,1007,3,20,9000202&40,-1,-1,-1
100704,1007,4,30,9000202&60,-1,-1,-1
100705,1007,5,40,9000203&90,-1,-1,-1
100706,1007,6,50,9000203&120,-1,-1,-1
100707,1007,7,60,9000204&160,-1,-1,-1
100708,1007,8,70,9000205&200,-1,-1,-1
100709,1007,9,80,-1,-1,-1,-1
100801,1008,1,1,9000201&10,-1,-1,-1
100802,1008,2,10,9000201&20,-1,-1,-1
100803,1008,3,20,9000202&40,-1,-1,-1
100804,1008,4,30,9000202&60,-1,-1,-1
100805,1008,5,40,9000203&90,-1,-1,-1
100806,1008,6,50,9000203&120,-1,-1,-1
100807,1008,7,60,9000204&160,-1,-1,-1
100808,1008,8,70,9000205&200,-1,-1,-1
100809,1008,9,80,-1,-1,-1,-1
100901,1009,1,1,9000301&10,-1,-1,-1
100902,1009,2,10,9000301&20,-1,-1,-1
100903,1009,3,20,9000302&40,-1,-1,-1
100904,1009,4,30,9000302&60,-1,-1,-1
100905,1009,5,40,9000303&90,-1,-1,-1
100906,1009,6,50,9000303&120,-1,-1,-1
100907,1009,7,60,9000304&160,-1,-1,-1
100908,1009,8,70,9000305&200,-1,-1,-1
100909,1009,9,80,-1,-1,-1,-1
101001,1010,1,1,9000201&10,-1,-1,-1
101002,1010,2,10,9000201&20,-1,-1,-1
101003,1010,3,20,9000202&40,-1,-1,-1
101004,1010,4,30,9000202&60,-1,-1,-1
101005,1010,5,40,9000203&90,-1,-1,-1
101006,1010,6,50,9000203&120,-1,-1,-1
101007,1010,7,60,9000204&160,-1,-1,-1
101008,1010,8,70,9000205&200,-1,-1,-1
101009,1010,9,80,-1,-1,-1,-1
101101,1011,1,1,9000301&10,-1,-1,-1
101102,1011,2,10,9000301&20,-1,-1,-1
101103,1011,3,20,9000302&40,-1,-1,-1
101104,1011,4,30,9000302&60,-1,-1,-1
101105,1011,5,40,9000303&90,-1,-1,-1
101106,1011,6,50,9000303&120,-1,-1,-1
101107,1011,7,60,9000304&160,-1,-1,-1
101108,1011,8,70,9000305&200,-1,-1,-1
101109,1011,9,80,-1,-1,-1,-1
101201,1012,1,1,9000201&10,-1,-1,-1
101202,1012,2,10,9000201&20,-1,-1,-1
101203,1012,3,20,9000202&40,-1,-1,-1
101204,1012,4,30,9000202&60,-1,-1,-1
101205,1012,5,40,9000203&90,-1,-1,-1
101206,1012,6,50,9000203&120,-1,-1,-1
101207,1012,7,60,9000204&160,-1,-1,-1
101208,1012,8,70,9000205&200,-1,-1,-1
101209,1012,9,80,-1,-1,-1,-1
101301,1013,1,1,9000201&10,-1,-1,-1
101302,1013,2,10,9000201&20,-1,-1,-1
101303,1013,3,20,9000202&40,-1,-1,-1
101304,1013,4,30,9000202&60,-1,-1,-1
101305,1013,5,40,9000203&90,-1,-1,-1
101306,1013,6,50,9000203&120,-1,-1,-1
101307,1013,7,60,9000204&160,-1,-1,-1
101308,1013,8,70,9000205&200,-1,-1,-1
101309,1013,9,80,-1,-1,-1,-1
101401,1014,1,1,9000101&10,-1,-1,-1
101402,1014,2,10,9000101&20,-1,-1,-1
101403,1014,3,20,9000102&40,-1,-1,-1
101404,1014,4,30,9000102&60,-1,-1,-1
101405,1014,5,40,9000103&90,-1,-1,-1
101406,1014,6,50,9000103&120,-1,-1,-1
101407,1014,7,60,9000104&160,-1,-1,-1
101408,1014,8,70,9000105&200,-1,-1,-1
101409,1014,9,80,-1,-1,-1,-1
101501,1015,1,1,9000101&10,-1,-1,-1
101502,1015,2,10,9000101&20,-1,-1,-1
101503,1015,3,20,9000102&40,-1,-1,-1
101504,1015,4,30,9000102&60,-1,-1,-1
101505,1015,5,40,9000103&90,-1,-1,-1
101506,1015,6,50,9000103&120,-1,-1,-1
101507,1015,7,60,9000104&160,-1,-1,-1
101508,1015,8,70,9000105&200,-1,-1,-1
101509,1015,9,80,-1,-1,-1,-1
101601,1016,1,1,9000301&10,-1,-1,-1
101602,1016,2,10,9000301&20,-1,-1,-1
101603,1016,3,20,9000302&40,-1,-1,-1
101604,1016,4,30,9000302&60,-1,-1,-1
101605,1016,5,40,9000303&90,-1,-1,-1
101606,1016,6,50,9000303&120,-1,-1,-1
101607,1016,7,60,9000304&160,-1,-1,-1
101608,1016,8,70,9000305&200,-1,-1,-1
101609,1016,9,80,-1,-1,-1,-1
101701,1017,1,1,9000201&10,-1,-1,-1
101702,1017,2,10,9000201&20,-1,-1,-1
101703,1017,3,20,9000202&40,-1,-1,-1
101704,1017,4,30,9000202&60,-1,-1,-1
101705,1017,5,40,9000203&90,-1,-1,-1
101706,1017,6,50,9000203&120,-1,-1,-1
101707,1017,7,60,9000204&160,-1,-1,-1
101708,1017,8,70,9000205&200,-1,-1,-1
101709,1017,9,80,-1,-1,-1,-1
101801,1018,1,1,9000101&10,-1,-1,-1
101802,1018,2,10,9000101&20,-1,-1,-1
101803,1018,3,20,9000102&40,-1,-1,-1
101804,1018,4,30,9000102&60,-1,-1,-1
101805,1018,5,40,9000103&90,-1,-1,-1
101806,1018,6,50,9000103&120,-1,-1,-1
101807,1018,7,60,9000104&160,-1,-1,-1
101808,1018,8,70,9000105&200,-1,-1,-1
101809,1018,9,80,-1,-1,-1,-1
101901,1019,1,1,9000101&10,-1,-1,-1
101902,1019,2,10,9000101&20,-1,-1,-1
101903,1019,3,20,9000102&40,-1,-1,-1
101904,1019,4,30,9000102&60,-1,-1,-1
101905,1019,5,40,9000103&90,-1,-1,-1
101906,1019,6,50,9000103&120,-1,-1,-1
101907,1019,7,60,9000104&160,-1,-1,-1
101908,1019,8,70,9000105&200,-1,-1,-1
101909,1019,9,80,-1,-1,-1,-1
102001,1020,1,1,9000101&10,-1,-1,-1
102002,1020,2,10,9000101&20,-1,-1,-1
102003,1020,3,20,9000102&40,-1,-1,-1
102004,1020,4,30,9000102&60,-1,-1,-1
102005,1020,5,40,9000103&90,-1,-1,-1
102006,1020,6,50,9000103&120,-1,-1,-1
102007,1020,7,60,9000104&160,-1,-1,-1
102008,1020,8,70,9000105&200,-1,-1,-1
102009,1020,9,80,-1,-1,-1,-1
102101,1021,1,1,9000101&10,-1,-1,-1
102102,1021,2,10,9000101&20,-1,-1,-1
102103,1021,3,20,9000102&40,-1,-1,-1
102104,1021,4,30,9000102&60,-1,-1,-1
102105,1021,5,40,9000103&90,-1,-1,-1
102106,1021,6,50,9000103&120,-1,-1,-1
102107,1021,7,60,9000104&160,-1,-1,-1
102108,1021,8,70,9000105&200,-1,-1,-1
102109,1021,9,80,-1,-1,-1,-1
102201,1022,1,1,9000201&10,-1,-1,-1
102202,1022,2,10,9000201&20,-1,-1,-1
102203,1022,3,20,9000202&40,-1,-1,-1
