天赋id,魔女ID,对应星级,天赋名称,天赋ICON,天赋数值id,技能描述ID
id,heroid,Star,Talent_Name,Talent_ICON,DeSkill_id,desc
number,number,number,number,number,array_|,number
100103,1001,2,10420001,100106,0|0,20420001
100104,1001,3,10420002,100104,0|0,20420002
100105,1001,5,10420003,100105,0|0,20420003
100106,1001,6,10420004,100001,1|200002,20420004
100203,1002,3,10420005,100004,0|0,20420005
100204,1002,4,10420006,100204,0|0,20420006
100205,1002,5,10420007,100001,1|200002,20420007
100206,1002,6,10420008,100206,0|0,20420008
100303,1003,3,10420009,100304,0|0,20420009
100304,1003,4,10420010,100306,0|0,20420010
100305,1003,5,10420011,100001,1|200002,20420011
100306,1003,6,10420012,100305,0|0,20420012
100403,1004,2,10420013,100405,0|0,20420013
100404,1004,3,10420014,100404,0|0,20420014
100405,1004,5,10420015,100406,0|0,20420015
100406,1004,6,10420016,100005,1|100403,20420016
100503,1005,2,10420017,100504,0|0,20420017
100504,1005,3,10420018,100505,0|0,20420018
100505,1005,5,10420019,100001,1|200002,20420019
100506,1005,6,10420020,100506,0|0,20420020
100603,1006,3,10420021,100606,0|0,20420021
100604,1006,4,10420022,100106,0|0,20420022
100605,1006,5,10420023,100003,1|100603,20420023
100606,1006,6,10420024,100605,0|0,20420024
100703,1007,2,10420025,100005,0|0,20420025
100704,1007,3,10420026,100704,0|0,20420026
100705,1007,5,10420027,100706,0|0,20420027
100706,1007,6,10420028,100005,1|100703,20420028
100803,1008,3,10420029,100804,0|0,20420029
100804,1008,4,10420030,100805,0|0,20420030
100805,1008,5,10420031,100806,0|0,20420031
100806,1008,6,10420032,100002,1|100803,20420032
100903,1009,3,10420033,100905,0|0,20420033
100904,1009,4,10420034,100906,0|0,20420034
100905,1009,5,10420035,100904,0|0,20420035
100906,1009,6,10420036,100001,1|200002,20420036
101003,1010,3,10420037,101006,0|0,20420037
101004,1010,4,10420038,101005,0|0,20420038
101005,1010,5,10420039,101004,0|0,20420039
101006,1010,6,10420040,100001,1|101003,20420040
101103,1011,3,10420041,101104,0|0,20420041
101104,1011,4,10420042,101106,0|0,20420042
101105,1011,5,10420043,100001,1|101103,20420043
101106,1011,6,10420044,101105,0|0,20420044
101203,1012,2,10420045,101204,0|0,20420045
101204,1012,3,10420046,100106,0|0,20420046
101205,1012,5,10420047,101205,0|0,20420047
101206,1012,6,10420048,100005,1|101203,20420048
101303,1013,3,10420049,101304,0|0,20420049
101304,1013,4,10420050,101306,0|0,20420050
101305,1013,5,10420051,101305,0|0,20420051
101306,1013,6,10420052,100004,1|101303,20420052
101403,1014,2,10420053,101405,0|0,20420053
101404,1014,3,10420054,101404,0|0,20420054
101405,1014,5,10420055,100004,1|200002,20420055
101406,1014,6,10420056,101406,0|0,20420056
101503,1015,2,10420057,101504,0|0,20420057
101504,1015,3,10420058,101505,0|0,20420058
101505,1015,5,10420059,101506,0|0,20420059
101506,1015,6,10420060,100003,1|101503,20420060
101603,1016,3,10420061,101605,0|0,20420061
101604,1016,4,10420062,101604,0|0,20420062
101605,1016,5,10420063,100002,1|200001,20420063
101606,1016,6,10420064,101606,0|0,20420064
101703,1017,2,10420065,101706,0|0,20420065
101704,1017,3,10420066,101704,0|0,20420066
101705,1017,5,10420067,101705,0|0,20420067
101706,1017,6,10420068,100003,1|101703,20420068
101803,1018,2,10420069,101805,0|0,20420069
101804,1018,3,10420070,101804,0|0,20420070
101805,1018,5,10420071,101806,0|0,20420071
101806,1018,6,10420072,100001,1|200002,20420072
101903,1019,3,10420073,101906,0|0,20420073
101904,1019,4,10420074,101905,0|0,20420074
101905,1019,5,10420075,100001,1|200001,20420075
101906,1019,6,10420076,101904,0|0,20420076
102003,1020,2,10420077,102005,0|0,20420077
102004,1020,3,10420078,102004,0|0,20420078
102005,1020,5,10420079,102006,0|0,20420079
102006,1020,6,10420080,100001,1|200001,20420080
102103,1021,3,10420081,102104,0|0,20420081
102104,1021,4,10420082,102105,0|0,20420082
102105,1021,5,10420083,102106,0|0,20420083
102106,1021,6,10420084,100001,1|200002,20420084
102203,1022,3,10420085,102205,0|0,20420085
102204,1022,4,10420086,102204,0|0,20420086
102205,1022,5,10420087,102206,0|0,20420087
102206,1022,6,10420088,100001,1|200002,20420088
102303,1023,3,10420089,102304,0|0,20420089
102304,1023,4,10420090,102306,0|0,20420090
102305,1023,5,10420091,102305,0|0,20420091
102306,1023,6,10420092,100001,1|200001,20420092
102403,1024,3,10420093,102405,0|0,20420093
102404,1024,4,10420094,102404,0|0,20420094
102405,1024,5,10420095,102406,0|0,20420095
102406,1024,6,10420096,100002,1|200001,20420096
102503,1025,3,10420097,102504,0|0,20420097
102504,1025,4,10420098,102505,0|0,20420098
102505,1025,5,10420099,102505,0|0,20420099
102506,1025,6,10420100,100002,1|200001,20420100
102803,1028,3,10420101,102805,0|0,20420101
102804,1028,4,10420102,102804,0|0,20420102
102805,1028,5,10420103,100005,1|102803,20420103
102806,1028,6,10420104,102806,0|0,20420104
103003,1030,2,10420105,103004,0|0,20420105
103004,1030,3,10420106,103005,0|0,20420106
103005,1030,5,10420107,103006,1|103003,20420108
103006,1030,6,10420108,100001,0|0,20420107
103503,1035,3,10420109,103504,0|0,20420109
103504,1035,4,10420110,103505,0|0,20420110
103505,1035,5,10420111,103506,0|0,20420111
103506,1035,6,10420112,100005,1|103503,20420112
103603,1036,3,10420113,103606,0|0,20420113
103604,1036,4,10420114,103604,0|0,20420114
103605,1036,5,10420115,103605,0|0,20420115
103606,1036,6,10420116,100003,1|200002,20420116
103803,1038,3,10420117,103806,0|0,20420117
103804,1038,4,10420118,103804,0|0,20420118
103805,1038,5,10420119,100001,1|200002,20420119
103806,1038,6,10420120,103805,0|0,20420120
103903,1039,2,10420121,103905,0|0,20420121
103904,1039,3,10420122,103904,0|0,20420122
103905,1039,5,10420123,103906,0|0,20420123
103906,1039,6,10420124,100003,1|103903,20420124
104203,1042,3,10420125,104205,0|0,20420125
104204,1042,4,10420126,104204,0|0,20420126
104205,1042,5,10420127,100005,1|104203,20420127
104206,1042,6,10420128,104206,0|0,20420128
104403,1044,3,10420129,104406,0|0,20420129
104404,1044,4,10420130,104405,0|0,20420130
104405,1044,5,10420131,104404,0|0,20420131
104406,1044,6,10420132,100001,1|104403,20420132
104503,1045,3,10420133,104504,0|0,20420133
104504,1045,4,10420134,104506,0|0,20420134
104505,1045,5,10420135,100001,1|104503,20420135
104506,1045,6,10420136,104505,0|0,20420136
103103,1031,3,10420137,104603,0|0,20420137
103104,1031,4,10420138,104604,0|0,20420138
103105,1031,5,10420139,104605,1|103003,20420139
103106,1031,6,10420140,104606,0|0,20420140
105003,1050,3,10420141,105004,0|0,20420141
105004,1050,4,10420142,105005,0|0,20420142
105005,1050,5,10420143,100003,1|100603,20420143
105006,1050,6,10420144,105006,0|0,20420144
102603,1026,3,10420145,102604,0|0,20420145
102604,1026,4,10420146,102605,0|0,20420146
102605,1026,5,10420147,102606,0|0,20420147
102606,1026,6,10420148,100003,1|100603,20420148
