id,周几,开放日开始,开放日结束,隔多少秒开启一次|持续多少秒结束,活动掉落物品ID,掉落范围ID
id,week_date,open_date_begin,open_date_end,returntimes,Drop_id,Drop_round
number,array_|,string,string,array_|,number,array_|
330004,1|4|7,2018/12/3 05:00:00,2025/12/31 00:00:00,-1,-1,-1
330005,2|5|7,2018/12/3 05:00:00,2025/12/31 00:00:00,-1,-1,-1
330006,3|6|7,2018/12/3 05:00:00,2025/12/31 00:00:00,-1,-1,-1
101401,-1,2018/11/20 12:00:00,2025/12/31 00:00:00,79200|7200,-1,-1
101501,-1,2018/11/20 18:00:00,2025/12/31 00:00:00,79200|7200,-1,-1
101601,-1,2018/11/20 21:00:00,2025/12/31 00:00:00,79200|7200,-1,-1
101,-1,2019/1/31 10:00:00,2019/2/16 10:00:00,-1,-1,-1
10001,-1,2021/10/15 00:00:00,2021/10/22 05:00:00,-1,-1,-1
10002,-1,2021/10/17 05:00:00,2021/10/24 05:00:00,-1,-1,-1
10003,-1,2018/12/14 00:00:00,2019/12/31 00:00:00,-1,-1,-1
10004,-1,2018/12/14 00:00:00,2019/12/31 00:00:00,-1,-1,-1
200001,-1,2019/1/21 05:00:00,2035/12/31 00:00:00,-1,-1,-1
200002,-1,2019/1/21 05:00:00,2035/12/31 00:00:00,-1,-1,-1
200101,6|7,2019/1/21 00:00:01,2025/12/31 00:00:00,-1,-1,-1
200003,-1,2019/1/21 05:00:00,2035/12/31 00:00:00,-1,-1,-1
500001,-1,2018/11/20 18:00:00,2025/12/1 00:00:00,72000|14400,-1,-1
12345,-1,2019/9/15 00:00:01,2025/12/31 00:00:00,-1,-1,-1
12346,-1,2019/1/15 00:00:01,2025/12/31 00:00:00,-1,-1,-1
360001,-1,2021/7/1 05:00:00,2021/8/8 04:59:00,-1,-1,-1
360002,-1,2021/8/8 05:00:00,2021/11/29 04:59:00,-1,-1,-1
888888,-1,2020/4/1 05:00:00,2020/12/15 00:00:00,-1,-1,-1
500002,-1,2020/4/1 05:00:00,2035/12/31 00:00:00,1|3888000,-1,-1
37001,-1,2021/10/18 05:00:00,2021/10/22 05:00:00,-1,-1,-1
37002,-1,2021/10/22 05:00:00,2021/11/5 05:00:00,-1,-1,-1
37003,-1,2021/10/22 05:00:00,2021/11/7 05:00:00,-1,-1,-1
37004,-1,2021/10/23 05:00:00,2021/11/5 05:00:00,-1,-1,-1
37005,-1,2021/10/24 05:00:00,2021/11/5 05:00:00,-1,-1,-1
37006,-1,2021/10/25 05:00:00,2021/11/5 05:00:00,-1,-1,-1
43001,-1,2020/9/17 05:00:00,2035/12/31 00:00:00,86400|86400,-1,-1
43002,-1,2020/9/18 05:00:00,2035/12/31 00:00:00,86400|86400,-1,-1
60001,1,2018/12/3 05:00:00,2035/12/31 00:00:00,-1,-1,-1
60002,2,2018/12/3 05:00:00,2035/12/31 00:00:00,-1,-1,-1
60003,3,2018/12/3 05:00:00,2035/12/31 00:00:00,-1,-1,-1
60004,4,2018/12/3 05:00:00,2035/12/31 00:00:00,-1,-1,-1
60005,5,2018/12/3 05:00:00,2035/12/31 00:00:00,-1,-1,-1
60006,6,2018/12/3 05:00:00,2035/12/31 00:00:00,-1,-1,-1
60007,7,2018/12/3 05:00:00,2035/12/31 00:00:00,-1,-1,-1
60008,-1,2021/4/1 05:00:00,2021/6/1 05:00:00,-1,-1,-1
70001,-1,2021/10/27 05:00:00,2021/11/8 05:00:00,-1,-1,-1
