id,排行榜类型,排行榜排名,排行奖励
id,type,rank,dropitemID_1
number,number,number,number
1,1,1,35000001
2,1,2,35000002
3,1,3,35000003
4,1,4,35000004
5,1,5,35000005
6,1,10,35000010
7,1,20,35000020
8,1,50,35000050
9,1,100,35000100
10,1,200,35000200
11,1,500,35000500
12,1,1000,35001000
13,1,2000,35002000
14,2,1,35000001
15,2,2,35000002
16,2,3,35000003
17,2,4,35000004
18,2,5,35000005
19,2,10,35000010
20,2,20,35000020
21,2,50,35000050
22,2,100,35000100
23,2,200,35000200
24,2,500,35000500
25,2,1000,35001000
26,2,2000,35002000
