id,积分,奖励物品1,奖励物品2,奖励物品3
id,grade,award1,award2,award3
number,number,array_&_|,array_&_|,array_&_|
1,100,4&1000001&20000,-1,-1
2,200,4&1000001&20000,4&99103&100,-1
3,300,4&1000001&20000,4&99203&20,-1
4,400,4&1000001&20000,4&7000007&3,-1
5,500,4&1000001&20000,4&1000009&3,-1
6,600,4&1000001&80000,-1,-1
7,700,4&1000001&20000,4&99103&100,-1
8,800,4&1000001&20000,4&99203&20,-1
9,900,4&1000001&20000,4&7000007&3,-1
10,1000,4&1000001&20000,4&1000009&3,-1
11,1100,4&1000001&120000,-1,-1
12,1200,4&1000001&20000,4&99103&100,-1
13,1300,4&1000001&20000,4&99203&20,-1
14,1400,4&1000001&20000,4&7000007&3,-1
15,1500,4&1000001&20000,4&1000009&3,-1
16,1600,4&1000001&180000,-1,-1
17,1700,4&1000001&20000,4&99103&100,-1
18,1800,4&1000001&20000,4&99203&20,-1
19,1900,4&1000001&20000,4&7000007&3,-1
20,2000,4&1000001&20000,4&3004107&1,4&3004207&1
21,2100,4&1000001&20000,4&1000009&3,-1
22,2200,4&1000001&20000,4&99103&100,-1
23,2300,4&1000001&20000,4&99203&20,-1
24,2400,4&1000001&20000,4&7000007&3,-1
25,2500,4&1000001&20000,4&3004307&1,4&3004407&1
26,2600,4&1000001&20000,4&1000009&3,-1
27,2700,4&1000001&20000,4&99103&100,-1
28,2800,4&1000001&20000,4&99203&20,-1
29,2900,4&1000001&20000,4&7000007&3,-1
30,3000,4&1000001&20000,4&3004507&1,4&3004607&1
31,3100,4&1000001&20000,4&1000009&3,-1
32,3200,4&1000001&20000,4&99103&100,-1
33,3300,4&1000001&20000,4&99203&20,-1
34,3400,4&1000001&20000,4&7000007&3,-1
35,3500,4&1000001&20000,4&4004107&1,4&4004207&1
36,3600,4&1000001&20000,4&1000009&3,-1
37,3700,4&1000001&20000,4&4306001&1,-1
38,3800,4&1000001&20000,4&4004307&1,4&4004407&1
39,3900,4&1000001&20000,4&7000007&3,-1
40,4000,4&1000001&20000,4&4306001&2,-1
41,4100,4&1000001&20000,4&1000009&3,-1
42,4200,4&1000001&200000,-1,-1
43,4300,4&1000001&20000,4&4004507&1,4&4004607&1
44,4400,4&1000001&20000,4&7000007&6,-1
45,4500,4&1000001&20000,4&4306001&3,-1
46,4600,4&1000001&20000,4&1000009&6,-1
47,4700,4&1000001&20000,4&99103&100,-1
48,4800,4&1000001&20000,4&99203&20,-1
49,4900,4&1000001&20000,4&7000007&6,-1
50,5000,4&1000001&20000,4&4306001&4,-1
