id,属性名称,属性描述,百分比/非百分比(用于界面显示）,对应属性
id,name,desc,num_type,symmetry
number,number,number,number,number
1,10040001,20040001,1,39
2,10040002,20040002,1,40
3,10040003,20040003,1,0
4,10040004,20040004,1,0
5,10040005,20040005,1,41
6,10040006,20040006,1,0
7,10040007,20040007,2,0
8,10040008,20040008,2,0
9,10040009,20040009,2,0
10,10040010,20040010,2,0
11,10040011,20040011,2,0
12,10040012,20040012,2,0
15,10040015,20040015,2,0
16,10040016,20040016,1,0
18,10040018,20040018,2,0
20,10040020,20040020,1,42
21,10040021,20040021,1,43
22,10040022,20040022,1,0
23,10040023,20040023,1,0
24,10040024,20040024,2,0
25,10040025,20040025,2,0
26,10040026,20040026,2,0
39,10040039,20040039,2,0
40,10040040,20040040,2,0
41,10040041,20040041,2,0
42,10040042,20040042,2,0
43,10040043,20040043,2,0
