id,enemyid,skillid,combo,触发减速,减速持续时间,减速恢复时长,combo视野ID
id,enemyid,skillid,combo,slow_rate,slow_time,recover_time,viewid
int,int,int,int,int,int,int,int
210001,10303002,21000001,30,50,4,2,210001101
210002,10303002,21000002,30,50,4,2,210001101
210003,10303002,21000003,40,40,4,2,210001101
210004,10303002,21000004,40,40,4,2,210001101
210005,10303002,21000005,50,35,4,2,210001101
210006,10303002,21000006,50,35,4,2,210001101
210007,10303002,21000007,60,30,4,2,210001101
210008,10303002,21000008,60,30,4,2,210001101
