id,描述,特效,生效特效,音效,掉落类型,参数,参数,碰撞
id,desid,Effect,takeEffect ,sound,drop_type,param1,param2,collider
int,int,string,string,string,int,int,int,string
20001,50040001,prefab_fightEffect/randomdrops/YS_Shiqu_02,-1,event:/FightEffect/Battle_Drop_GF,1,20001,0,1_0_0_360_0
20002,50040002,prefab_fightEffect/randomdrops/YS_Shiqu_01,-1,event:/FightEffect/Battle_Drop_CD,1,20002,0,1_0_0_360_0
20003,50040003,prefab_fightEffect/randomdrops/YS_Shiqu_03,-1,event:/FightEffect/Battle_Drop_HP,1,20003,0,1_0_0_80_0
20004,50040004,prefab_fightEffect/randomdrops/YS_Shiqu_dun,-1,event:/FightEffect/Battle_Drop_BUFF,1,0,0,1_0_0_80_0
20005,50040005,prefab_fightEffect/randomdrops/YS_Shiqu_02_max,-1,event:/FightEffect/Battle_Drop_BUFF,1,20005,0,1_0_0_360_0
20006,50040006,prefab_fightEffect/randomdrops/YS_Shiqu_01_max,-1,event:/FightEffect/Battle_Drop_BUFF,1,20006,0,1_0_0_80_0
20007,50040007,prefab_fightEffect/randomdrops/YS_Shiqu_03_max,-1,event:/FightEffect/Battle_Drop_BUFF,1,20007,0,1_0_0_80_0
20008,50040008,prefab_fightEffect/randomdrops/YS_Shiqu_05,-1,event:/FightEffect/Battle_Drop_BUFF,1,0,0,1_0_0_80_0
20009,50040009,prefab_fightEffect/randomdrops/YS_Shiqu_07,-1,event:/FightEffect/Battle_Drop_BUFF,1,0,0,1_0_0_80_0
20010,50040010,prefab_fightEffect/randomdrops/YS_Shiqu_08,-1,event:/FightEffect/Battle_Drop_BUFF,1,0,0,1_0_0_80_0
20011,50040011,prefab_fightEffect/randomdrops/YS_Shiqu_09,-1,event:/FightEffect/Battle_Drop_BUFF,1,0,0,1_0_0_80_0
21001,50040012,prefab_fightEffect/randomdrops/RC_zhong,-1,event:/FightEffect/Battle_Drop_BUFF,105,50,4,1_0_0_80_0
21002,50040013,prefab_fightEffect/randomdrops/RC_huimie,-1,event:/FightEffect/Battle_Drop_BUFF,101,0,0,1_0_0_80_0
21003,50040014,prefab_fightEffect/randomdrops/RC_congz,-1,event:/FightEffect/Battle_Drop_BUFF,102,0,0,1_0_0_80_0
21004,50040015,prefab_fightEffect/randomdrops/RC_nl,-1,event:/FightEffect/Battle_Drop_BUFF,103,2,0,1_0_0_80_0
22005,50040016,prefab_fightEffect/randomdrops/RC_nl,-1,event:/FightEffect/Battle_Drop_BUFF,1,0,0,1_0_0_80_0
22006,50040017,prefab_fightEffect/randomdrops/RC_nl,-1,event:/FightEffect/Battle_Drop_BUFF,104,0,0,1_0_0_80_0
21007,50040018,prefab_fightEffect/randomdrops/RC_nl,-1,event:/FightEffect/Battle_Drop_BUFF,1,0,0,1_0_0_80_0
102513,-1,prefab_barrage/playerBarrage_1025/suger_1,-1,event:/FightEffect/Battle_Drop_CD,1,102513,0,1_0_0_80_0
102523,-1,prefab_barrage/playerBarrage_1025/suger_2,-1,event:/FightEffect/Battle_Drop_CD,1,102523,0,1_0_0_80_0
102533,-1,prefab_barrage/playerBarrage_1025/suger_3,-1,event:/FightEffect/Battle_Drop_CD,1,102533,0,1_0_0_80_0
140101,-1,prefab_fightEffect/randomdrops/drop_coin,-1,event:/FightEffect/Battle_Drop_SCORE,1,0,0,1_0_0_360_0
140102,-1,prefab_fightEffect/randomdrops/drop_coin,-1,event:/FightEffect/Battle_Drop_SCORE,106,10000,0,1_0_0_200_0
140103,-1,prefab_fightEffect/randomdrops/drop_coin,-1,event:/FightEffect/Battle_Drop_SCORE,106,10000,0,1_0_0_360_0
140104,-1,prefab_fightEffect/randomdrops/M2_jinbi_01,-1,event:/FightEffect/Battle_Drop_SCORE,106,10000,0,1_0_0_300_0
