唯一ID,特效路径,特效挂载路径
id,file,path
number,int_array_|,sarray_|
1,-1,-1
2,-1,-1
3,8034|8034,model/Bip001 L UpperArm|model/Bip001 R UpperArm
4,-1,-1
5,8034|8034,model/Bip001 L UpperArm|model/Bip001 R UpperArm
6,-1,-1
7,8034.0,model/Bip001
8,8034.0,model/Bip001
10040101,10040101.0,model/Bip001
10060101,10060101.0,model/Bip001
10060102,10060102|10060103,model/Bip001 L UpperArm|model/Bip001 R UpperArm
10060103,10060104.0,model/Bip001
10070201,10070201.0,model/Bip001
10100101,10100101.0,model/Bip001
10010101,10010101.0,model/Bip001
10010102,10010102.0,model/Bip001
