id,时间线,入场背景资源,Npc资源
id,TimeLimePrefab,TimeLimeLandPrefab,TimeLineNpcPrefab
number,string,string,sarray_|
1,prefab_timeline/M2_Gaiyafa_enter01_Timeline,prefab_land/ruchangheimu_cloud,-1
2,prefab_timeline/M2_kaichang_new_final,prefab_land/M2_LoginScene_Scene,-1
3,prefab_timeline/M2_yanmo_enter01_Timeline,prefab_land/ruchangheimu_cloud,-1
4,prefab_timeline/M2_tibilue_enter01_Timeline,prefab_land/ruchangheimu_cloud,-1
5,prefab_timeline/M2_siren_enter01_Timeline,prefab_land/ruchangheimu_cloud,-1
6,prefab_timeline/M2_siren_enter02_Timeline,prefab_land/ruchangheimu_cloud,-1
7,prefab_timeline/M2_Luodelige_enter01_Timeline,prefab_land/ruchangheimu_cloud,-1
8,prefab_timeline/M2_Haiyinlixi_enter01_Timeline,prefab_land/ruchangheimu_cloud,-1
9,prefab_timeline/M2_Kalinna_enter01_Timeline,prefab_land/ruchangheimu_cloud,-1
10,prefab_timeline/M2_Duerlahan_enter01_Timeline,prefab_land/ruchangheimu_cloud01,-1
11,prefab_timeline/M2_Minuosi_enter01_Timeline,prefab_land/ruchangheimu_cloud,-1
12,prefab_timeline/M2_Dantalin_enter_Timeline,prefab_land/ruchangheimu_cloud,-1
13,prefab_timeline/M2_Xueyue_enter_Timeline,prefab_land/ruchangheimu_cloud02,-1
