唯一ID,元素ID,特效作用,特效路径,特效挂载路径
id,bossid,name,file,path
number,number,string,string,string
1,10102030,change,prefab_barrage/Boss_Skill/HaiYinLiXi/Haiyinlixi_Yihua_model,-1
2,10102030,call,prefab_enemeyModel/M2_Haiyinlixi_dun,-1
3,10103020,3,prefab_fightEffect/boss_effect/kalinna/Kalinna_step3_LUpperArm|prefab_fightEffect/boss_effect/kalinna/Kalinna_step3_RUpperArm,model/Bip001 L UpperArm|model/Bip001 R UpperArm
4,10104020,step01,prefab_barrage/Boss_Skill/CommonSkill/Duerlahan_step01_point1,-1
5,10401200,2,prefab_fightEffect/boss_effect/kalinna/Kalinna_step3_LUpperArm|prefab_fightEffect/boss_effect/kalinna/Kalinna_step3_RUpperArm,model/Bip001 L UpperArm|model/Bip001 R UpperArm
6,10401120,step01,prefab_barrage/Boss_Skill/CommonSkill/Duerlahan_step01_point1,-1
7,10105020,3,prefab_fightEffect/boss_effect/minuosi/Minuosi_step3_Bip001,model/Bip001
8,10401130,3,prefab_fightEffect/boss_effect/minuosi/Minuosi_step3_Bip001,model/Bip001
9,10103020,change,prefab_barrage/Boss_Skill/Kalina/Kalinna_Yihua_model,-1
10,10103030,change,prefab_barrage/Boss_Skill/LuoDeLiGe/LuoDeLiGe_Yihua,-1
11,10401210,change,prefab_barrage/Boss_Skill/HaiYinLiXi/Haiyinlixi_Yihua_model,-1
12,10401210,call,prefab_enemeyModel/M2_Haiyinlixi_dun,-1
13,10103020,enter,prefab_barrage/Boss_Skill/LuoDeLiGe/LuoDeLiGe_Yihua,-1
