祝福ID,buff组,是否带入战斗,进战斗扣除次数,同种BUFF堆叠上限,BUFF效果种类,BUFF效果,BUFF持续时间（秒）
id,buff_org,buff_battle,buff_sub,countbuff,buffeffect,buffRate,buffCD
number,number,number,number,number,array_&,array_&,number
101,1,1,1,1,1,200,0
201,1,1,1,1,2,200,0
301,1,1,1,1,3,200,0
401,1,1,1,1,4,200,0
501,1,1,1,1,5,200,0
102,1,1,1,1,1,500,0
202,1,1,1,1,2,500,0
302,1,1,1,1,3,500,0
402,1,1,1,1,4,500,0
502,1,1,1,1,5,500,0
103,1,1,1,1,1,800,0
203,1,1,1,1,2,800,0
303,1,1,1,1,3,800,0
403,1,1,1,1,4,800,0
503,1,1,1,1,5,800,0
601,1,1,1,1,6,500,0
701,1,1,1,1,7,500,0
801,1,1,1,1,8,500,0
901,1,1,1,1,9,500,0
1001,1,1,1,1,10,500,0
1101,1,1,1,1,11,500,0
1201,1,1,1,1,12,200,0
1301,1,1,1,1,13,200,0
1213,1,1,1,1,12&13,200&200,0
9901,4,0,0,1,99,8800,86400
