效果id,等级,归类,类型,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,参数9,参数10,参数11,参数12,参数13,参数14,参数15,参数16,参数17,参数18,参数19,参数20,参数21,参数22,参数23,参数24,参数25,参数26,参数27,参数28,参数29,参数30
id,level,catalog,type,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,param11,param12,param13,param14,param15,param16,param17,param18,param19,param20,param21,param22,param23,param24,param25,param26,param27,param28,param29,param30
number,number,array_|,string,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|
100104,4,1,debuff_infos,2,2,1,8,3,5,1,-1,0.1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100105,5,1,mark,5,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100106,6,1,mark,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100204,4,1,dot_infos,2,1,15,0.6,1,1005,1,19,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100205,5,2,buff_infos,15,2,0.2,999999999,1,4,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100206,6,2,sub_skill,2,0.8,100253,6,0.1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100301,1,2,add_on_barrage,witch/must/1003010301,0.17,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100304,4,1,mark,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100305,5,1,dot_infos,2,0.2,10,0.1,1,1004,5,22,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
