ID,被动类型,类型,被动技能描述,星级,品质,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,参数9,参数10,参数11,参数12,参数13,参数14,参数15,参数16,参数17,参数18,参数19,参数20,参数21,参数22,参数23,参数24,参数25,参数26,参数27,参数28,参数29,参数30,是否效果唯一
id,pass_type,type,desc,desc1,desc2,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,param11,param12,param13,param14,param15,param16,param17,param18,param19,param20,param21,param22,param23,param24,param25,param26,param27,param28,param29,param30,only
number,array_|,string,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,array_|,number
4050301,1,buff_infos,10360676,-1,-1,303,2,1,999999999,1,1,-1,1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4060301,1,buff_infos,10360677,-1,-1,2,1,0.35,10,1,4,-1,9,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
4070301,1,buff_infos,10360678,-1,-1,24,2,0.1,999999999,1,3,-1,1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4080201,1,buff_infos,10360679,-1,-1,20,1,0.25,999999999,1,4,-1,1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
4090301,1,buff_infos,10360680,-1,-1,2,1,0.15,999999999,1,4,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
4100301,12,other_damage_up,10360681,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4110301,1,buff_infos,10360682,-1,-1,6,2,10,2,1,4,-1,13,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
4120301,1,buff_infos,10360683,-1,-1,21,1,0.015,30,10,3,-1,11,-1,7,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4130301,4,recorver_hp_infos,10360684,-1,-1,1,0.3,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4140301,11,nohurt_infos2,10360685,-1,-1,2,1,1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
4150301,1,buff_infos,10360686,-1,-1,2,1,0.35,999999999,1,3,-1,3,-1,1,-1,1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4160301,10,fast_damage_up,10360687,-1,-1,1,0.5,1,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4170301,1,buff_infos,10360688,-1,-1,15,2,0.3,999999999,1,3,-1,1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4180301,7,sub_gf_skill,10360689,-1,-1,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4190301,15,def_buffer,10360690,-1,-1,2,2000,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4500001,1,buff_infos,10361084,-1,-1,21,1,50,999999999,1,1,-1,1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4500002,1,buff_infos,10361085,-1,-1,303,2,1,999999999,1,1,-1,1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001001,1,buff_infos,10361000,-1,-1,2,1,0.05,999999999,1,4,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001002,1,buff_infos,10361001,-1,-1,2,1,0.1,999999999,1,8,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001003,1,buff_infos,10361002,-1,-1,2,1,0.1,999999999,1,9,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001004,1,buff_infos,10361003,-1,-1,2,1,0.1,999999999,1,10,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001005,1,buff_infos,10361004,-1,-1,5,1,0.1,999999999,1,4,-1,1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001006,1,buff_infos,10361005,-1,-1,1,1,0.1,999999999,1,4,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001007,1,buff_infos,10361006,-1,-1,4,1,0.15,999999999,1,4,-1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80001008,1,buff_infos,10361007,-1,-1,20,1,0.03,999999999,1,4,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.05,999999999,1,4,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001009,1,buff_infos,10361008,-1,-1,20,1,0.05,999999999,1,8,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.07,999999999,1,8,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001010,1,buff_infos,10361009,-1,-1,20,1,0.05,999999999,1,9,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.07,999999999,1,9,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001011,1,buff_infos,10361010,-1,-1,20,1,0.05,999999999,1,10,-1,1,-1,6,-1,-1,-1,-1,-1,21,1,0.07,999999999,1,10,-1,1,-1,7,-1,-1,-1,-1,-1,-1
80001012,1,buff_infos,10361011,-1,-1,6,2,0.5,999999999,1,4,-1,13,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
