序号,关卡ID,次数,概率,延时出现
id,levelid,index,rate,delays
number,number,number,array_&_|,array_&
1,200001,1,0&5000|1&4000|2&1000,0.1&0.8&1.7
2,200001,2,0&5000|1&4000|2&1000,0.1&0.8
3,200001,3,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6
4,200001,4,0&5000|1&4000|2&1000,0.1&0.1&0.1
5,200001,5,0&5000|1&4000|2&1000,0.1&0.8&1.7
6,200001,6,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6
7,200001,7,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6
8,200001,8,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6
9,200001,9,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6
10,200001,10,0&5000|1&4000|2&1000,0.1&0.1&0.1&0.1&0.1
11,200001,11,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6
12,200001,12,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8
13,200001,13,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8
14,200001,14,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8
15,200001,15,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8
16,200001,16,0&5000|1&4000|2&1000,0.1&0.1&0.1&0.1&0.1&0.1
17,200001,17,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8&5
18,200001,18,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8
19,200001,19,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8&5
20,200001,20,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8
21,200001,21,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8&5
22,200001,22,0&5000|1&4000|2&1000,0.1&0.8&1.7&2.6&3.8
23,200001,23,0&5000|1&4000|2&1000,0.1&0.1&0.1&0.1&0.1&0.1&0.1
