序号,关卡ID,怪物ID,次数,ai文件
id,levelid,enemyid,index,aifile
int,int,int,int,string
1,220001,10301002,1,fightData/AI/EDay01_01/220001_01_02_1
2,220001,10301002,2,fightData/AI/EDay01_01/220001_01_02_2
3,220001,10301002,3,fightData/AI/EDay01_01/220001_01_02_3
4,220001,10301002,4,fightData/AI/EDay01_01/220001_01_02_4
5,220001,10301002,5,fightData/AI/EDay01_01/220001_01_02_5
6,220001,10301002,6,fightData/AI/EDay01_01/220001_01_02_6
7,220001,10301002,7,fightData/AI/EDay01_01/220001_01_02_7
8,220001,10301002,8,fightData/AI/EDay01_01/220001_01_02_8
9,220001,10301002,9,fightData/AI/EDay01_01/220001_01_02_9
10,220001,10301002,10,fightData/AI/EDay01_01/220001_01_02_10
11,220001,10301002,11,fightData/AI/EDay01_01/220001_01_02_11
12,220001,10301002,12,fightData/AI/EDay01_01/220001_01_02_12
13,220001,10301002,13,fightData/AI/EDay01_01/220001_01_02_13
14,220001,10301002,14,fightData/AI/EDay01_01/220001_01_02_14
15,220001,20304008,1,fightData/AI/EDay01_01/220001_01_03_01
16,220001,20304008,2,fightData/AI/EDay01_01/220001_01_03_02
17,220001,20304008,3,fightData/AI/EDay01_01/220001_01_03_03
18,220001,20304008,4,fightData/AI/EDay01_01/220001_01_03_04
19,220001,20304008,5,fightData/AI/EDay01_01/220001_01_03_05
20,220002,10301002,1,fightData/AI/EDay01_01/220001_01_02_1
21,220002,10301002,2,fightData/AI/EDay01_01/220001_01_02_2
22,220002,10301002,3,fightData/AI/EDay01_01/220001_01_02_3
23,220002,10301002,4,fightData/AI/EDay01_01/220001_01_02_4
24,220002,10301002,5,fightData/AI/EDay01_01/220001_01_02_5
25,220002,10301002,6,fightData/AI/EDay01_01/220001_01_02_6
26,220002,10301002,7,fightData/AI/EDay01_01/220001_01_02_7
27,220002,10301002,8,fightData/AI/EDay01_01/220001_01_02_8
28,220002,10301002,9,fightData/AI/EDay01_01/220001_01_02_9
29,220002,10301002,10,fightData/AI/EDay01_01/220001_01_02_10
30,220002,10301002,11,fightData/AI/EDay01_01/220001_01_02_11
31,220002,10301002,12,fightData/AI/EDay01_01/220001_01_02_12
32,220002,10301002,13,fightData/AI/EDay01_01/220001_01_02_13
33,220002,10301002,14,fightData/AI/EDay01_01/220001_01_02_14
34,220002,20304008,1,fightData/AI/EDay01_01/220001_01_03_01
35,220002,20304008,2,fightData/AI/EDay01_01/220001_01_03_02
36,220002,20304008,3,fightData/AI/EDay01_01/220001_01_03_03
37,220002,20304008,4,fightData/AI/EDay01_01/220001_01_03_04
38,220002,20304008,5,fightData/AI/EDay01_01/220001_01_03_05
39,220003,10301002,1,fightData/AI/EDay01_01/220001_01_02_1
40,220003,10301002,2,fightData/AI/EDay01_01/220001_01_02_2
41,220003,10301002,3,fightData/AI/EDay01_01/220001_01_02_3
42,220003,10301002,4,fightData/AI/EDay01_01/220001_01_02_4
43,220003,10301002,5,fightData/AI/EDay01_01/220001_01_02_5
44,220003,10301002,6,fightData/AI/EDay01_01/220001_01_02_6
45,220003,10301002,7,fightData/AI/EDay01_01/220001_01_02_7
46,220003,10301002,8,fightData/AI/EDay01_01/220001_01_02_8
47,220003,10301002,9,fightData/AI/EDay01_01/220001_01_02_9
48,220003,10301002,10,fightData/AI/EDay01_01/220001_01_02_10
49,220003,10301002,11,fightData/AI/EDay01_01/220001_01_02_11
50,220003,10301002,12,fightData/AI/EDay01_01/220001_01_02_12
51,220003,10301002,13,fightData/AI/EDay01_01/220001_01_02_13
52,220003,10301002,14,fightData/AI/EDay01_01/220001_01_02_14
53,220003,20304008,1,fightData/AI/EDay01_01/220001_01_03_01
54,220003,20304008,2,fightData/AI/EDay01_01/220001_01_03_02
55,220003,20304008,3,fightData/AI/EDay01_01/220001_01_03_03
56,220003,20304008,4,fightData/AI/EDay01_01/220001_01_03_04
57,220003,20304008,5,fightData/AI/EDay01_01/220001_01_03_05
58,220004,10301002,1,fightData/AI/EDay01_01/220001_01_02_1
59,220004,10301002,2,fightData/AI/EDay01_01/220001_01_02_2
60,220004,10301002,3,fightData/AI/EDay01_01/220001_01_02_3
61,220004,10301002,4,fightData/AI/EDay01_01/220001_01_02_4
62,220004,10301002,5,fightData/AI/EDay01_01/220001_01_02_5
63,220004,10301002,6,fightData/AI/EDay01_01/220001_01_02_6
64,220004,10301002,7,fightData/AI/EDay01_01/220001_01_02_7
65,220004,10301002,8,fightData/AI/EDay01_01/220001_01_02_8
66,220004,10301002,9,fightData/AI/EDay01_01/220001_01_02_9
67,220004,10301002,10,fightData/AI/EDay01_01/220001_01_02_10
68,220004,10301002,11,fightData/AI/EDay01_01/220001_01_02_11
69,220004,10301002,12,fightData/AI/EDay01_01/220001_01_02_12
70,220004,10301002,13,fightData/AI/EDay01_01/220001_01_02_13
71,220004,10301002,14,fightData/AI/EDay01_01/220001_01_02_14
72,220004,20304008,1,fightData/AI/EDay01_01/220001_01_03_01
73,220004,20304008,2,fightData/AI/EDay01_01/220001_01_03_02
74,220004,20304008,3,fightData/AI/EDay01_01/220001_01_03_03
75,220004,20304008,4,fightData/AI/EDay01_01/220001_01_03_04
76,220004,20304008,5,fightData/AI/EDay01_01/220001_01_03_05
77,220005,10301002,1,fightData/AI/EDay01_01/220001_01_02_1
78,220005,10301002,2,fightData/AI/EDay01_01/220001_01_02_2
79,220005,10301002,3,fightData/AI/EDay01_01/220001_01_02_3
80,220005,10301002,4,fightData/AI/EDay01_01/220001_01_02_4
81,220005,10301002,5,fightData/AI/EDay01_01/220001_01_02_5
82,220005,10301002,6,fightData/AI/EDay01_01/220001_01_02_6
83,220005,10301002,7,fightData/AI/EDay01_01/220001_01_02_7
84,220005,10301002,8,fightData/AI/EDay01_01/220001_01_02_8
85,220005,10301002,9,fightData/AI/EDay01_01/220001_01_02_9
86,220005,10301002,10,fightData/AI/EDay01_01/220001_01_02_10
87,220005,10301002,11,fightData/AI/EDay01_01/220001_01_02_11
88,220005,10301002,12,fightData/AI/EDay01_01/220001_01_02_12
89,220005,10301002,13,fightData/AI/EDay01_01/220001_01_02_13
90,220005,10301002,14,fightData/AI/EDay01_01/220001_01_02_14
91,220005,20304008,1,fightData/AI/EDay01_01/220001_01_03_01
92,220005,20304008,2,fightData/AI/EDay01_01/220001_01_03_02
93,220005,20304008,3,fightData/AI/EDay01_01/220001_01_03_03
94,220005,20304008,4,fightData/AI/EDay01_01/220001_01_03_04
95,220005,20304008,5,fightData/AI/EDay01_01/220001_01_03_05
96,220006,10301002,1,fightData/AI/EDay01_01/220001_01_02_1
97,220006,10301002,2,fightData/AI/EDay01_01/220001_01_02_2
98,220006,10301002,3,fightData/AI/EDay01_01/220001_01_02_3
99,220006,10301002,4,fightData/AI/EDay01_01/220001_01_02_4
100,220006,10301002,5,fightData/AI/EDay01_01/220001_01_02_5
101,220006,10301002,6,fightData/AI/EDay01_01/220001_01_02_6
102,220006,10301002,7,fightData/AI/EDay01_01/220001_01_02_7
103,220006,10301002,8,fightData/AI/EDay01_01/220001_01_02_8
104,220006,10301002,9,fightData/AI/EDay01_01/220001_01_02_9
105,220006,10301002,10,fightData/AI/EDay01_01/220001_01_02_10
106,220006,10301002,11,fightData/AI/EDay01_01/220001_01_02_11
107,220006,10301002,12,fightData/AI/EDay01_01/220001_01_02_12
108,220006,10301002,13,fightData/AI/EDay01_01/220001_01_02_13
109,220006,10301002,14,fightData/AI/EDay01_01/220001_01_02_14
110,220006,20304008,1,fightData/AI/EDay01_01/220001_01_03_01
