ID,敌人震动,地形震动,魔女震动,弹幕震动,屏幕滤镜,屏幕震动强度,屏幕震动时间
id,Enemey_Shake,Land_Shake,Witch_Shake,Barrage_Shake,ShadowInfo,shakeLevel,shakeTime
number,array_|,array_|,array_|,array_|,array_|,number,number
100101,0.04|0.1,-1,-1,-1,-1,-1,-1
100102,0.05|0.1,-1,-1,-1,-1,-1,-1
100103,0.13|0.12,4.4|0.1,0.04|0.1,0.4|0.1,-1,-1,-1
100104,0.1|0.15,4|0.1,0.08|0.1,0.08|01,-1,-1,-1
100105,0.2|0.2,6.4|0.13,0.12|0.2,0.2|0.15,-1,-1,-1
100106,0.2|0.4,4|0.3,0.4|0.2,0.2|0.15,-1,-1,-1
100107,0.20|0.2,-1,-1,-1,-1,-1,-1
100108,0.14|0.05,4.8|0.05,-1,-1,-1,-1,-1
100109,0.2|0.2,4|0.13,0.12|0.2,0.4|0.15,-1,-1,-1
1001,1|1,-1,-1,-1,1,-1,-1
1002,2|1,-1,-1,-1,1,-1,-1
1005,5|0.5,-1,-1,-1,-1,-1,-1
1006,3|2,-1,-1,-2,2|2|0.98|0.74|0.1|0.7,-1,-1
1012,5|2.5,-1,-1,-1,-1,-1,-1
2001,4|0.2,1.8|1.15,0.04|0.1,0.4|0.1,1,-1,-1
2002,4|0.3,-1,-1,-1,1,-1,-1
2003,5|1,-1,-1,-1,1,-1,-1
2004,6|0.35,-1,-1,-1,1,-1,-1
2005,5|0.1,-1,-1,-1,1,-1,-1
2006,7|0.35,-1,-1,-1,1,-1,-1
101603,-1,1.2|0.2,-1,0.8|0.2,-1,-1,-1
101303,0.15|2.9,1.6|2.9,-1,0.8|2.9,2|4|0.7|0.1|0.9|0.6,-1,-1
101003,-2,2.2|2.9,0.4|2.9,0.4|2.9,2|3|1|0.3|0.3|0.5,-1,-1
100503,3|3,-1,-1,-1,-1,-1,-1
200503,4|4,-1,-1,-1,-1,-1,-1
300503,4|5,-1,-1,-1,-1,-1,-1
400503,5|6,-1,-1,-1,-1,-1,-1
100110,0.2|0.4,-1,-1,-1,-1,-1,-1
100111,0.2|0.2,3.2|0.03,0.4|0.2,0.4|0.15,-1,-1,-1
100112,0.18|0.3,1.6|0.5,0.4|0.5,0.2|0.15,-1,-1,-1
100113,0.2|0.3,4|0.3,0.4|0.3,0.8|0.3,-1,-1,-1
100114,0.3|0.4,3.2|0.65,0.8|0.1,0.4|0.2,-1,-1,-1
100115,0.3|0.4,3.2|0.55,0.8|0.1,0.4|0.2,-1,-1,-1
100116,0.3|0.75,2.6|0.75,0.4|0.2,0.4|0.75,-1,-1,-1
100117,0.3|0.6,1.6|0.65,0.4|0.2,0.4|0.2,-1,-1,-1
100118,0.2|0.3,2.4|0.3,0.04|0.1,0.4|0.2,-1,-1,-1
100119,0.2|0.4,5.6|0.55,0.4|0.1,0.4|0.2,-1,-1,-1
100120,0.3|0.4,8|0.3,0.8|0.1,0.4|0.2,-1,-1,-1
100121,0.3|0.25,2.6|0.25,0.4|0.2,0.4|0.25,-1,-1,-1
100122,0.18|0.15,1.6|2,0.4|0.55,0.2|2,-1,-1,-1
100441,0.1|0.4,-1,-1,-1,-1,-1,-1
100442,-1,-1,0.04|4.3,0.2|4.3,2|4.3|0.23|0.45|0.81|0.5,-1,-1
100443,0.3|0.5,-1,0.4|0.5,1.2|0.5,-1,-1,-1
100444,-1,-1,0.04||4.3,0.2|4.3,2|4.3|1|0.54|0.54|0.5,-1,-1
100445,0.2|0.3,4|0.3,0.4|0.3,0.8|0.3,-1,-1,-1
8000001,-1,3|0.4,-1,0.2|0.4,-1,-1,-1
8000002,-1,4|0.4,-1,0.4|0.4,2|1.5|0.7|0|1|1,-1,-1
9000001,0.2|0.3,1|0.3,0.1|0.3,0.2|0.3,-1,-1,-1
9000002,-1,-1,-1,-1,2|1|1|0.3|0.3|0.5,-1,-1
100123,0.13|0.12,0.05|0.05,0.04|0.05,0.15|0.07,-1,-1,-1
100124,0.13|0.12,0.5|0.07,0.04|0.1,0.3|0.07,-1,-1,-1
1001001,-1,-1,-1,-1,-1,0.2,0.15
1002001,-1,-1,-1,-1,-1,0.2,0.15
1003001,-1,-1,-1,-1,1,-1,-1
1004001,-1,-1,-1,-1,-1,0.3,0.15
1005001,-1,-1,-1,-1,-1,0.15,0.15
1006001,-1,-1,-1,-1,-1,-1,-1
1008001,-1,-1,-1,-1,-1,0.4,0.15
1009001,-1,-1,-1,-1,-1,0.1,0.15
1010001,-1,-1,-1,-1,2|0.5|2|0.5|0.5|1.8,0.125,0.15
1010002,-1,-1,-1,-1,2|0.5|2|0.5|0.5|0.5,-1,-1
1011001,-1,-1,-1,-1,-1,0.2,0.2
1011002,-1,-1,-1,-1,-1,-1,-1
1012001,-1,-1,-1,-1,-1,0.3,0.4
1013001,-1,-1,-1,-1,-1,0.4,0.15
1014001,-1,-1,-1,-1,-1,0.2,0.15
1015001,-1,-1,-1,-1,-1,0.4,0.15
1016001,-1,-1,-1,-1,-1,0.4,0.1
1017001,-1,-1,-1,-1,-1,0.2,0.15
1018001,-1,-1,-1,-1,-1,0.2,0.15
1019001,-1,-1,-1,-1,-1,0.2,0.15
1020001,-1,-1,-1,-1,-1,0.15,0.1
1021001,-1,-1,-1,-1,-1,-1,-1
1022001,-1,-1,-1,-1,-1,0.2,0.1
1023001,-1,-1,-1,-1,-1,0.15,0.2
1024001,-1,-1,-1,-1,-1,0.2,0.15
1025001,-1,-1,-1,-1,-1,0.15,0.15
1028001,-1,-1,-1,-1,-1,0.15,0.15
1030001,-1,-1,-1,-1,-1,0.2,0.15
1030002,-1,-1,-1,-1,-1,0.1,0.15
