ID,被动类型,属性BUFF（类型1生效）,额外伤害（类型12生效）,免伤护盾BUFF（类型11生效）,最终伤害提升（类型10生效）,属性转换（类型8生效）,免死BUFF（类型2生效）,无敌BUFF（类型3生效）,回血（类型4生效）,回血（类型9生效）,BOSS击杀时间增加（类型5有效）,刷新球（类型6有效）,神火减少消耗（类型7有效）,被动技能描述,星级,品质,Debuff（类型13）,魔女技能增强（类型14）,防御特殊增幅（类型15）,暴击特殊增幅（类型16）,是否效果唯一
id,pass_type,buff_infos,other_damage_up,nohurt_infos2,fast_damage_up,attrib_change,nodead_infos,nohurt_infos,recorver_hp_infos,recorver_hp_other,kill_boss_time,refresh_skill,sub_gf_skill,desc,desc1,desc2,debuff_infos,skill_buffer,def_buffer,cirt_buffer,only
number,array_|,array_&_|,array_&,array_&,array_&,array_&,array_&,array_&,array_&,array_&,number,array_&,number,number,string,string,array_|,array_|,array_|,array_|,number
1,1,2&1&10&10&1&3&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360001,-1,-1,-1,-1,-1,-1,-1
2,1,5&1&5&999999999&1&3&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360002,-1,-1,-1,-1,-1,-1,-1
3,1,4&1&20&999999999&1&3&3#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360003,-1,-1,-1,-1,-1,-1,-1
4,1,5&1&20&10&1&3&4#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360004,-1,-1,-1,-1,-1,-1,-1
5,1,20&1&5&999999999&1&3&1#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360005,-1,-1,-1,-1,-1,-1,-1
6,1,20&1&10&10&1&3&6#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360006,-1,-1,-1,-1,-1,-1,-1
7,1,21&1&10&10&1&3&7#1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360007,-1,-1,-1,-1,-1,-1,-1
8,1,5&1&5&999999999&1&4&1#7&1&2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360008,-1,-1,-1,-1,-1,-1,-1
9,1,2&1&5&999999999&1&4&1#7&3&2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10360009,-1,-1,-1,-1,-1,-1,-1
