ID,属性增加（类型2生效）,宠物加成字段,描述
id,attrib_add,attrib_pet_add,desc
number,array_&_|,array_&_|,number
4050201,2&39&2&200,-1,10370001
4060201,2&40&2&150,-1,10370002
4070201,2&41&2&300,-1,10370003
4080201,2&42&2&250,-1,10370004
4090201,2&40&2&150,-1,10370005
4100201,2&42&2&250,-1,10370006
4110201,2&40&2&150,-1,10370007
4120201,2&43&2&250,-1,10370008
4130201,2&41&2&300,-1,10370009
4140201,2&39&2&200,-1,10370010
4150201,2&40&2&150,-1,10370011
4160201,2&43&2&250,-1,10370012
4170201,2&42&2&250,-1,10370013
4180201,2&39&2&200,-1,10370014
4190201,2&41&2&300,-1,10370015
663001,2&40&1&150,-1,663001
663002,2&40&1&150,-1,663002
663003,2&40&1&150,-1,663003
663004,2&40&1&150,-1,663004
663005,2&25&1&150,-1,663005
663006,2&25&1&150,-1,663006
663007,2&25&1&150,-1,663007
663008,2&25&1&150,-1,663008
663009,2&26&1&250,-1,663009
663010,2&26&1&250,-1,663010
663011,2&26&1&250,-1,663011
663012,2&26&1&250,-1,663012
663013,2&41&1&150,-1,663013
663014,2&41&1&150,-1,663014
663015,2&41&1&150,-1,663015
663016,2&41&1&150,-1,663016
663017,2&39&1&150,-1,663017
663018,2&39&1&150,-1,663018
663019,2&39&1&150,-1,663019
663020,2&39&1&150,-1,663020
666001,2&40&1&101,-1,666001
666002,2&40&1&101,-1,666002
666003,2&40&1&101,-1,666003
666004,2&40&1&101,-1,666004
666005,2&40&1&101,-1,666005
666006,2&40&1&101,-1,666006
666007,2&40&1&101,-1,666007
666008,2&40&1&101,-1,666008
666009,2&40&1&101,-1,666009
666010,2&40&1&101,-1,666010
666011,2&40&1&101,-1,666011
666012,2&40&1&101,-1,666012
666013,2&40&1&101,-1,666013
666014,2&40&1&101,-1,666014
666015,2&40&1&101,-1,666015
666016,2&40&1&101,-1,666016
666017,2&40&1&101,-1,666017
666018,2&40&1&101,-1,666018
666019,2&40&1&101,-1,666019
666020,2&40&1&101,-1,666020
666021,2&40&1&101,-1,666021
666022,2&40&1&101,-1,666022
666023,2&40&1&101,-1,666023
666024,2&40&1&101,-1,666024
666025,2&40&1&101,-1,666025
666026,2&40&1&101,-1,666026
100100401,2&2&2&10,-1,10370016
100100402,2&2&2&20,-1,10370017
100100403,2&2&2&30,-1,10370018
100100404,2&2&2&40,-1,10370019
100100405,2&2&2&50,-1,10370020
100100501,-1,-1,10370021
100100502,-1,-1,10370022
100100503,-1,-1,10370023
100100504,-1,-1,10370024
100100505,-1,-1,10370025
100100601,2&2&2&20|2&20&2&20,-1,10370026
100100602,2&2&2&30|2&20&2&30,-1,10370027
100100603,2&2&2&40|2&20&2&40,-1,10370028
100100604,2&2&2&50|2&20&2&50,-1,10370029
100100605,2&2&2&60|2&20&2&60,-1,10370030
100100701,2&2&2&20|2&5&2&20,-1,10370031
100100702,2&2&2&30|2&5&2&30,-1,10370032
100100703,2&2&2&40|2&5&2&40,-1,10370033
100100704,2&2&2&50|2&5&2&50,-1,10370034
100100705,2&2&2&60|2&5&2&60,-1,10370035
100100801,-1,-1,10370036
100100802,-1,-1,10370037
100100803,-1,-1,10370038
100100804,-1,-1,10370039
100100805,-1,-1,10370040
100100901,-1,-1,10370041
100100902,-1,-1,10370042
100100903,-1,-1,10370043
100100904,-1,-1,10370044
100100905,-1,-1,10370045
100300401,2&21&2&10,-1,10370046
100300402,2&21&2&20,-1,10370047
100300403,2&21&2&30,-1,10370048
100300404,2&21&2&40,-1,10370049
100300405,2&21&2&50,-1,10370050
100300501,-1,-1,10370051
100300502,-1,-1,10370052
100300503,-1,-1,10370053
100300504,-1,-1,10370054
100300505,-1,-1,10370055
100300601,2&2&2&20|2&20&2&20,-1,10370056
100300602,2&2&2&30|2&20&2&30,-1,10370057
100300603,2&2&2&40|2&20&2&40,-1,10370058
100300604,2&2&2&50|2&20&2&50,-1,10370059
100300605,2&2&2&60|2&20&2&60,-1,10370060
100300701,2&2&2&20|2&5&2&20,-1,10370061
100300702,2&2&2&30|2&5&2&30,-1,10370062
100300703,2&2&2&40|2&5&2&40,-1,10370063
100300704,2&2&2&50|2&5&2&50,-1,10370064
100300705,2&2&2&60|2&5&2&60,-1,10370065
100300801,-1,-1,10370066
100300802,-1,-1,10370067
100300803,-1,-1,10370068
100300804,-1,-1,10370069
100300805,-1,-1,10370070
100300901,-1,-1,10370071
100300902,-1,-1,10370072
100300903,-1,-1,10370073
100300904,-1,-1,10370074
100300905,-1,-1,10370075
100400401,2&5&2&10,-1,10370076
100400402,2&5&2&20,-1,10370077
100400403,2&5&2&30,-1,10370078
100400404,2&5&2&40,-1,10370079
100400405,2&5&2&50,-1,10370080
100400501,-1,-1,10370081
100400502,-1,-1,10370082
100400503,-1,-1,10370083
100400504,-1,-1,10370084
100400505,-1,-1,10370085
