ID,引导类型,引导名称,进入关卡自动触发,是否自动触发,魔女ID,移动数据,标题ID,描述ID,描述UI位置,箭头信息,下一条引导,辅助配置,是否屏蔽移动,是否显示箭头,是否显示移动,自动结束,屏蔽点击,语音
id,oper_type,oper_code,enter_trigger,is_auto,witch_id,move_pos,title_id,text_id,pos_info,arrow_info,nextid,helpId,nomove,show_arr,show_move,auto_end,mask_click,battlevoice_id
number,string,number,int,number,number,array_&,number,number,array_&,array_&,number,int,int,int,int,int,int,number
100001,1.0,0,1,1,-1,-1,0,0,-1,-1,10000101,-1,1,1,0,0,1,-1
10000101,2.0,1,0,1,-1,-1,880123,880124,0&50&350,-193&-64&0.8&0.5&0&0&-566,10000103,-1,0,0,1,0,1,10001
10000103,3.0,5,0,0,-1,-1,0,0,0&-442&-448,-1,10000104,10000201,0,1,0,5,1,-1
10000104,3.0,5,0,0,-1,-1,0,0,0&-442&-448,-1,10000105,10000201,0,1,0,5,1,-1
10000105,3.0,8,0,0,-1,-1,0,0,0&-442&-228,-1,10000106,10000202,0,1,0,5,1,-1
10000106,3.0,8,0,0,-1,-1,0,0,0&-442&-14,-1,-1,10000203,0,1,0,5,1,-1
10000201,2.0,0,0,0,-1,-1,880115,880116,0&-80&-90,-120&-100&0.8&1&0&0&-580,-1,-1,0,1,0,0,0,10002
10000202,2.0,0,0,0,-1,-1,880121,880122,0&0&160,-164&-96&0.8&1&0&0&-580,-1,-1,0,1,0,0,0,10003
10000203,2.0,0,0,0,-1,-1,880131,880132,0&0&360,-164&-96&0.8&1&0&0&-580,-1,-1,0,1,0,0,0,10004
10010101,2.0,3,0,1,-1,-1,880117,880118,0&50&350,-112&80&0.8&1&0&0&-32,-1,-1,0,1,0,0,1,10005
100106,2.0,4,0,1,-1,-1,880123,880124,0&50&350,-193&-64&0.8&0.5&0&0&-566,-1,-1,0,0,1,0,1,10006
100102,2.0,6,0,1,-1,-1,880133,880134,1&0&367,-60&-64&0.8&0.8&0&0&-566,10010201,-1,1,1,0,0,1,10007
10010201,2.0,7,0,1,-1,-1,880135,880136,1&93&317,-109&-59&0.8&0.8&0&0&-210,-1,-1,1,1,0,0,1,10008
100301,2.0,12,0,1,-1,-1,880139,880140,1&50&400,-192&-70&0.8&1&0&0&-158,-1,-1,1,1,0,0,1,10009
210001,2.0,2,0,1,-1,-1,880107,880108,1&50&-364,-150&73&0.8&1&0&0&-20,21000101,-1,1,1,0,0,1,10010
21000101,2.0,9,0,1,-1,-1,880141,880142,1&150&-364,0&73&0.8&1&0&0&28,-1,-1,1,1,0,0,1,10011
88888,3.0,10,0,0,-1,-1,0,0,0&-442&-228,-1,-1,8888801,0,1,0,5,1,-1
8888801,2.0,0,0,0,-1,-1,880143,880144,0&0&160,-164&-96&0.8&1&0&0&-580,-1,-1,0,1,0,0,0,10012
220001,2.0,11,0,1,-1,-1,880137,880138,1&50&400,-192&-70&0.8&1&0&0&-158,-1,-1,1,1,0,0,1,10013
