id,颜色,初始位置,目标位置,初始半径,目标半径,初始硬度,目标硬度,时间,下一个视野ID
id,color,center_from,center_to,radius_from,radius_to,smooth_from,smooth_to,duration,nextid
number,array_&,array_&,array_&,number,number,number,number,number,number
1,0.3&0&0&1,0.5&0.5,0.5&0.6,0.1,5,1,0.6,1,2
2,0.3&0&0&1,0.5&0.6,0.5&0.6,5,5,0.6,0.6,4,3
3,0.3&0&0&1,0.5&0.6,0.7&0.3,5,5,0.6,0.6,4,0
210001001,0&0&0&1,-1,-1,0.1,2,0.5,0.31,1,210001002
210001002,0&0&0&1,-1,-1,2,4.5,0.31,0.06,6,210001003
210001003,0&0&0&1,0.5&0.5,0.5&0.4,4.5,4.5,0.06,0.06,1.5,210001004
210001004,0&0&0&1,0.5&0.4,0.4&0.4,4.5,4.5,0.06,0.06,1.5,210001005
210001005,0&0&0&1,0.4&0.4,0.4&0.5,4.5,4.5,0.06,0.06,1.5,210001006
210001006,0&0&0&1,0.4&0.5,0.4&0.6,4.5,4.5,0.06,0.06,1.5,210001007
210001007,0&0&0&1,0.4&0.6,0.5&0.6,4.5,4.5,0.06,0.06,1.5,210001008
210001008,0&0&0&1,0.5&0.6,0.6&0.6,4.5,4.5,0.06,0.06,1.5,210001009
210001009,0&0&0&1,0.6&0.6,0.6&0.5,4.5,4.5,0.06,0.06,1.5,210001010
210001010,0&0&0&1,0.6&0.5,0.6&0.4,4.5,4.5,0.06,0.06,1.5,210001011
210001011,0&0&0&1,0.6&0.4,0.5&0.4,4.5,4.5,0.06,0.06,1.5,210001004
210001101,0&0&0&1,0.5&0.5,0.5&0.5,4,3,0.10999999999999999,0.20999999999999996,0.2,210001102
210001102,0&0&0&1,0.5&0.5,0.5&0.5,3,3,0.20999999999999996,0.20999999999999996,3.8,210001103
210001103,0&0&0&1,0.5&0.5,0.5&0.5,3,4.5,0.20999999999999996,0.06,2,210001003
100703001,0&0&0&1,0.5&0.5,0.5&0.5,0.1,2.5,0.5,0.26,2,100703002
100703002,0&0&0&1,0.5&0.5,0.5&0.5,2.5,2.5,0.26,0.26,240,100703001
100105001,0&0&0&1,0.5&0.5,0.5&0.5,0.1,1,0.5,0.41000000000000003,1,100105002
100105002,0&0&0&1,0.5&0.5,0.5&0.5,1,2.3,0.41000000000000003,0.28,3,100105003
100105003,0&0&0&1,0.5&0.5,0.6&0.5,2.3,2.4,0.28,0.27,1,100105004
100105004,0&0&0&1,0.6&0.5,0.6&0.5,2.4,2.6,0.27,0.25,2.5,100105005
100105005,0&0&0&1,0.6&0.5,0.4&0.5,2.6,2.6,0.25,0.25,1,100105006
100105006,0&0&0&1,0.4&0.5,0.4&0.5,2.6,2.6,0.25,0.25,1.5,100105007
100105007,0&0&0&1,0.4&0.5,0.5&0.5,2.6,2.4,0.25,0.27,1,100105008
100105008,0&0&0&1,0.5&0.5,0.5&0.5,2.4,2.3,0.27,0.28,2.5,100105009
100105009,0&0&0&1,0.5&0.5,0.6&0.5,2.3,2.3,0.28,0.28,0.5,100105010
100105010,0&0&0&1,0.6&0.5,0.4&0.5,2.3,2.3,0.28,0.28,1.5,100105011
100105011,0&0&0&1,0.4&0.5,0.4&0.5,2.3,2.5,0.28,0.26,2,100105012
100105012,0&0&0&1,0.4&0.5,0.6&0.5,2.5,2.7,0.26,0.24,1,100105013
100105013,0&0&0&1,0.6&0.5,0.5&0.5,2.7,2.5,0.24,0.26,1.5,100105014
100105014,0&0&0&1,0.5&0.5,0.4&0.5,2.5,2.4,0.26,0.27,1,100105015
100105015,0&0&0&1,0.4&0.5,0.6&0.5,2.4,2.2,0.27,0.29,1.5,100105016
100105016,0&0&0&1,0.6&0.5,0.6&0.5,2.2,2.1,0.29,0.3,1,100105017
100105017,0&0&0&1,0.6&0.5,0.5&0.5,2.1,2,0.3,0.31,0.5,100105018
100105018,0&0&0&1,0.5&0.5,0.5&0.5,2,2.2,0.31,0.29,5,100105019
100105019,0&0&0&1,0.5&0.5,0.5&0.5,2.2,2.2,0.29,0.29,1,100105020
100105020,0&0&0&1,0.5&0.5,0.5&0.5,2.2,2.2,0.29,0.29,30,100105021
100105021,0&0&0&1,0.5&0.5,0.4&0.5,2.2,2.3,0.29,0.28,0.5,100105022
100105022,0&0&0&1,0.4&0.5,0.5&0.5,2.3,2.3,0.28,0.28,1,100105023
100105023,0&0&0&1,0.5&0.5,0.6&0.5,2.3,2.3,0.28,0.28,0.5,100105024
100105024,0&0&0&1,0.6&0.5,0.4&0.5,2.3,2.2,0.28,0.29,1,100105025
100105025,0&0&0&1,0.4&0.5,0.6&0.5,2.2,2.1,0.29,0.3,1.5,100105026
100105026,0&0&0&1,0.6&0.5,0.6&0.5,2.1,2.2,0.3,0.29,3,100105027
100105027,0&0&0&1,0.6&0.5,0.4&0.5,2.2,2.2,0.29,0.29,1,100105028
100105028,0&0&0&1,0.4&0.5,0.6&0.5,2.2,2.2,0.29,0.29,1,100105029
100105029,0&0&0&1,0.6&0.5,0.5&0.5,2.2,2.2,0.29,0.29,1.5,100105030
100105030,0&0&0&1,0.5&0.5,0.5&0.5,2.2,2.2,0.29,0.29,1,100105031
100105031,0&0&0&1,0.5&0.5,0.6&0.5,2.2,2.1,0.29,0.3,1,100105032
100105032,0&0&0&1,0.6&0.5,0.6&0.5,2.1,2,0.3,0.31,4.5,100105033
100105033,0&0&0&1,0.6&0.5,0.4&0.5,2,2,0.31,0.31,1,100105034
100105034,0&0&0&1,0.4&0.5,0.4&0.5,2,2,0.31,0.31,5,100105035
100105035,0&0&0&1,0.4&0.5,0.5&0.5,2,2.1,0.31,0.3,0.5,100105036
100105036,0&0&0&1,0.5&0.5,0.5&0.5,2.1,2.3,0.3,0.28,5.5,100105037
100105037,0&0&0&1,0.5&0.5,0.6&0.5,2.3,2.5,0.28,0.26,1,100105038
100105038,0&0&0&1,0.6&0.5,0.6&0.5,2.5,2.5,0.26,0.26,2.5,100105039
100105039,0&0&0&1,0.6&0.5,0.4&0.5,2.5,2.5,0.26,0.26,1,100105040
100105040,0&0&0&1,0.4&0.5,0.4&0.5,2.5,2.5,0.26,0.26,3,100105041
100105041,0&0&0&1,0.4&0.5,0.5&0.5,2.5,2.4,0.26,0.27,0.5,100105042
100105042,0&0&0&1,0.5&0.5,0.5&0.5,2.4,0.1,0.27,0.5,8,100105001
100107001,0&0&0&1,0.5&0.5,0.5&0.5,0.1,1,0.5,0.41000000000000003,1,100107002
100107002,0&0&0&1,0.5&0.5,0.5&0.5,1,2.3,0.41000000000000003,0.28,3,100107003
100107003,0&0&0&1,0.5&0.5,0.5&0.5,2.3,2.3,0.28,0.28,1,100107004
