附加效果id,属性BUFF,回血,改变技能,分身相关信息,Debuff,Dot,特殊技能额外效果,弹幕替代式,范围性技能,电流,蜜糖领域,清弹后效果强化,力场
id,buff_infos,hp_infos,change_skill,SeparateInfo,debuff_infos,dot_infos,other_skill_infos,change_barrage_infos,cool_infos,flash_infos,sugar_infos,clear_barrage_infos,round_infos
number,array_&_|,array_|,array_|,array_|,array_|,array_|,array_&,array_|,array_|,array_|,array_|,array_|,array_|
100402,5&1&10&8&1&4&100402&100,-1,8|3&100404#200404#300404#400404#500404#600404#700404#800404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200402,5&1&15&8&1&4&100402&100,-1,8|3&100404#200404#300404#400404#500404#600404#700404#800404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300402,5&1&20&8&1&4&100402&100,-1,8|3&100404#200404#300404#400404#500404#600404#700404#800404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400402,5&1&25&8&1&4&100402&100,-1,8|3&100404#200404#300404#400404#500404#600404#700404#800404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
500402,5&1&30&8&1&4&100402&100,-1,8|3&100404#200404#300404#400404#500404#600404#700404#800404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
600402,5&1&35&8&1&4&100402&100,-1,8|3&100404#200404#300404#400404#500404#600404#700404#800404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
700402,5&1&40&8&1&4&100402&100,-1,8|3&100404#200404#300404#400404#500404#600404#700404#800404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
800402,5&1&45&8&1&4&100402&100,-1,8|3&100404#200404#300404#400404#500404#600404#700404#800404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100602,-1,2|3|1|1|1|1|1|100602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200602,-1,2.5|3|1|1|1|1|1|100602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300602,-1,3|3|1|1|1|1|1|100602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400602,-1,3.5|3|1|1|1|1|1|100602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
500602,-1,4|3|1|1|1|1|1|100602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
600602,-1,4.5|3|1|1|1|1|1|100602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
700602,-1,5|3|1|1|1|1|1|100602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
800602,-1,5.5|3|1|1|1|1|1|100602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100603,-1,-1,-1,-1,2&1&100&15&3&5&1&5&21,-1,-1,-1,-1,-1,-1,-1,-1
200603,-1,-1,-1,-1,2&1&100&15&3&5&1&7&21,-1,-1,-1,-1,-1,-1,-1,-1
300603,-1,-1,-1,-1,2&1&100&15&3&5&1&9&21,-1,-1,-1,-1,-1,-1,-1,-1
400603,-1,-1,-1,-1,2&1&100&15&3&5&1&12&21,-1,-1,-1,-1,-1,-1,-1,-1
500603,-1,-1,-1,-1,2&1&100&15&3&5&1&14&21,-1,-1,-1,-1,-1,-1,-1,-1
600603,-1,-1,-1,-1,2&1&100&15&3&5&1&16&21,-1,-1,-1,-1,-1,-1,-1,-1
700603,-1,-1,-1,-1,2&1&100&15&3&5&1&18&21,-1,-1,-1,-1,-1,-1,-1,-1
800603,-1,-1,-1,-1,2&1&100&15&3&5&1&20&21,-1,-1,-1,-1,-1,-1,-1,-1
10060301,-1,-1,-1,-1,2&1&100&15&3&5&1&5&15,-1,-1,-1,-1,-1,-1,-1,-1
20060301,-1,-1,-1,-1,2&1&100&15&3&5&1&7&15,-1,-1,-1,-1,-1,-1,-1,-1
30060301,-1,-1,-1,-1,2&1&100&15&3&5&1&9&15,-1,-1,-1,-1,-1,-1,-1,-1
40060301,-1,-1,-1,-1,2&1&100&15&3&5&1&12&15,-1,-1,-1,-1,-1,-1,-1,-1
50060301,-1,-1,-1,-1,2&1&100&15&3&5&1&14&15,-1,-1,-1,-1,-1,-1,-1,-1
60060301,-1,-1,-1,-1,2&1&100&15&3&5&1&16&15,-1,-1,-1,-1,-1,-1,-1,-1
70060301,-1,-1,-1,-1,2&1&100&15&3&5&1&18&15,-1,-1,-1,-1,-1,-1,-1,-1
