id,释放必杀音效,人物入场,人物受击,人物死亡,获得新英雄,释放必杀音效,人物入场,人物受击,人物死亡,获得新英雄
id,skill_play,fade_play,hit_play,dead_play,GetNewHero,skill_play_id,fade_play_id,hit_play_id,dead_play_id,GetNewHero_id
number,string,string,string,string,string,int,int,int,int,int
1001,event:/GameEffect/WitchSound/1001-skill_play,event:/GameEffect/WitchSound/1001-fade_play,event:/GameEffect/WitchSound/1001-hit_play,event:/GameEffect/WitchSound/1001-dead_play,event:/GameEffect/WitchSound/1001-GetNewHero,1000,1035,1070,1105,1140
1002,event:/GameEffect/WitchSound/1002-skill_play,event:/GameEffect/WitchSound/1002-fade_play,event:/GameEffect/WitchSound/1002-hit_play,event:/GameEffect/WitchSound/1002-dead_play,event:/GameEffect/WitchSound/1002-GetNewHero,1001,1036,1071,1106,1141
1003,event:/GameEffect/WitchSound/1003-skill_play,event:/GameEffect/WitchSound/1003-fade_play,event:/GameEffect/WitchSound/1003-hit_play,event:/GameEffect/WitchSound/1003-dead_play,event:/GameEffect/WitchSound/1003-GetNewHero,1002,1037,1072,1107,1142
1004,event:/GameEffect/WitchSound/1004-skill_play,event:/GameEffect/WitchSound/1004-fade_play,event:/GameEffect/WitchSound/1004-hit_play,event:/GameEffect/WitchSound/1004-dead_play,event:/GameEffect/WitchSound/1004-GetNewHero,1003,1038,1073,1108,1143
1005,event:/GameEffect/WitchSound/1005-skill_play,event:/GameEffect/WitchSound/1005-fade_play,event:/GameEffect/WitchSound/1005-hit_play,event:/GameEffect/WitchSound/1005-dead_play,event:/GameEffect/WitchSound/1005-GetNewHero,1004,1039,1074,1109,1144
1006,event:/GameEffect/WitchSound/1006-skill_play,event:/GameEffect/WitchSound/1006-fade_play,event:/GameEffect/WitchSound/1006-hit_play,event:/GameEffect/WitchSound/1006-dead_play,event:/GameEffect/WitchSound/1006-GetNewHero,1005,1040,1075,1110,1145
1007,event:/GameEffect/WitchSound/1007-skill_play,event:/GameEffect/WitchSound/1007-fade_play,event:/GameEffect/WitchSound/1007-hit_play,event:/GameEffect/WitchSound/1007-dead_play,event:/GameEffect/WitchSound/1007-GetNewHero,1006,1041,1076,1111,1146
1008,event:/GameEffect/WitchSound/1008-skill_play,event:/GameEffect/WitchSound/1008-fade_play,event:/GameEffect/WitchSound/1008-hit_play,event:/GameEffect/WitchSound/1008-dead_play,event:/GameEffect/WitchSound/1008-GetNewHero,1007,1042,1077,1112,1147
