ID,技能id,所属魔女ID,最大等级,释放类型,所属星级,弹幕文件,爆炸,技能CD,神火消耗类型,神火消耗,弹幕根数,单根弹幕伤害,真实伤害,攻击间隔,成长系数,技能效果,击中效果显示位置,技能展示用系数,dot展示用系数2,技能是否展示预览,出屏是否裁剪
ID,id,witch_id,maxlevel,playType,Skill_star,Barrage,Explosion,skillCD,skill_cost_type,skill_cost,barrage_num,HurtRate,RealHurt,SkillInterval,UpRaate,SkillEffect,HitEffectPosition,showRate,DotshowRate,Show,IsClip
int,int,int,int,int,int,sarray_|,int_array_|,number,int,int,number,number,number,int_array_|,number,int_array_|,int,number,number,number,int
1,100101,1001,20,1,1,witch/barrage/1001011,-1,0,1,0,2,0.5,0,0|1,3,-1,0,0.5,-1,1,1
2,100102,1001,20,13,1,witch/skill_xuli/1001,-1,7,1,0,7,0.92,0,6|0,15,-1,1,6.44,-1,1,1
3,100103,1001,20,10,1,witch/must/1001010300,-1,15,1,250000,6,3.018,0,2|6,15,100101|101102,1,18.11,-1,1,1
4,100103,1001,20,10,2,witch/must/1001010300,-1,15,1,250000,6,3.622,0,2|6,15,100101|101102,1,21.732,-1,1,1
5,100103,1001,20,10,3,witch/must/1001010300,-1,15,1,250000,6,3.622,0,2|6,15,100103|101102,1,21.732,-1,1,1
6,100103,1001,20,10,4,witch/must/1001010300,-1,15,1,250000,6,3.622,0,2|6,15,100103|101102,1,21.732,-1,1,1
7,100103,1001,20,10,5,witch/must/1001010600,-1,15,1,250000,12,2.354,0,2|6,15,100103|101102,1,28.2516,-1,1,1
8,100103,1001,20,10,6,witch/must/1001010600,-1,15,1,250000,12,2.354,0,2|6,15,100103|101102,1,28.2516,-1,1,1
9,100201,1002,20,1,1,witch/barrage/1002011,-1,0,1,0,2,0.5,0,0|1,3,-1,0,0.5,-1,1,1
10,100202,1002,20,13,1,witch/skill_xuli/1002,-1,7,1,0,12,0.583,0,0|1,15,-1,1,7,-1,1,1
11,100203,1002,20,10,1,witch/must/1002010300,-1,15,1,230000,6,2.258,0,2|6,15,-1,1,13.545,-1,1,1
12,100203,1002,20,10,2,witch/must/1002010300,-1,15,1,230000,6,2.258,0,2|6,15,-1,1,13.545,-1,1,1
13,100203,1002,20,10,3,witch/must/1002010300,-1,15,1,230000,6,2.258,0,2|6,15,100203.0,1,13.545,-1,1,1
14,100203,1002,20,10,4,witch/must/1002010400,-1,15,1,230000,12,1.693,0,2|6,15,100203.0,1,20.3175,-1,1,1
15,100203,1002,20,10,5,witch/must/1002010400,-1,15,1,230000,12,1.693,0,2|6,15,100203.0,1,20.3175,-1,1,1
16,100203,1002,20,10,6,witch/must/1002010400,-1,15,1,230000,12,1.693,0,2|6,15,100203|100206,1,20.3175,-1,1,1
17,100253,1002,20,11,6,witch/must/1002010400,-1,0,1,0,12,1.693,0,2|6,15,100203.0,1,20.3175,-1,1,1
18,100301,1003,20,1,1,witch/barrage/1003011,-1,0,1,0,3,0.45,0,0|1,3,-1,0,0.45,-1,1,1
19,100302,1003,20,13,1,witch/skill_xuli/1003,-1,8,1,0,24,0.333,0,15|11,15,-1,1,8,-1,1,0
20,100303,1003,20,10,1,witch/must/1003010300,-1,15,1,230000,168,0.069,0,0|1,15,100301.0,1,11.610000000000001,-1,1,0
21,100303,1003,20,10,2,witch/must/1003010300,-1,15,1,230000,168,0.069,0,0|1,15,100301.0,1,11.610000000000001,-1,1,0
22,100303,1003,20,10,3,witch/must/1003010400,-1,15,1,230000,336,0.055,0,0|1,15,100301.0,1,18.576000000000004,-1,1,0
23,100303,1003,20,10,4,witch/must/1003010600,-1,15,1,230000,448,0.054,0,0|1,15,100301.0,1,24.148800000000005,-1,1,0
24,100303,1003,20,10,5,witch/must/1003010600,-1,15,1,230000,448,0.054,0,0|1,15,100301.0,1,24.148800000000005,-1,1,0
25,100303,1003,20,10,6,witch/must/1003010600,-1,15,1,230000,448,0.054,0,0|1,15,100306.0,1,24.148800000000005,-1,1,0
26,100401,1004,20,1,1,witch/barrage/1004011,-1,0,1,0,4,0.6,0,0|1,3,-1,0,0.6,-1,1,0
27,100402,1004,20,13,1,witch/skill_xuli/1004,-1,7,1,0,6,2.147,0,0|1,15,-1,1,12.88,-1,1,0
28,100403,1004,20,10,1,witch/must/1004010300,-1,12,1,180000,1,14.31,0,0|1,15,-1,1,14.31,-1,1,0
29,100403,1004,20,10,2,witch/must/1004010300,-1,12,1,180000,1,14.31,0,0|1,15,100402.0,1,14.31,-1,1,0
30,100403,1004,20,10,3,witch/must/1004010400,-1,12,1,180000,1,17.888,0,0|1,15,100402.0,1,17.8875,-1,1,0
31,100403,1004,20,10,4,witch/must/1004010400,-1,12,1,180000,1,17.888,0,0|1,15,100402.0,1,17.8875,-1,1,0
32,100403,1004,20,10,5,witch/must/1004010600,-1,12,1,180000,3,6.44,0,0|1,15,100402.0,1,19.3185,-1,1,0
33,100403,1004,20,10,6,witch/must/1004010600,-1,12,1,180000,3,6.44,0,0|1,15,100402.0,1,19.3185,-1,1,0
34,100404,1004,20,10,1,witch/must/100403,-1,12,1,180000,15,0.954,0,2|15,15,-1,1,14.31,-1,1,0
35,100501,1005,20,1,1,witch/barrage/1005011,-1,0,1,0,3,0.45,0,0|1,3,-1,0,0.45,-1,1,1
36,100502,1005,20,13,1,witch/skill_xuli/1005,-1,7,1,0,5,1.288,0,0|1,15,-1,1,6.44,-1,1,0
37,100503,1005,20,10,1,witch/must/1005010300,-1,12,1,180000,32,0.471,0,6|0,15,-1,1,15.06,-1,1,0
38,100503,1005,20,10,2,witch/must/1005010400,-1,12,1,180000,32,0.541,0,6|0,15,-1,1,17.319,-1,1,0
39,100503,1005,20,10,3,witch/must/1005010400,-1,12,1,180000,32,0.541,0,6|0,15,100504.0,1,17.319,-1,1,0
40,100503,1005,20,10,4,witch/must/1005010400,-1,12,1,180000,32,0.541,0,6|0,15,100504.0,1,17.319,-1,1,0
41,100503,1005,20,10,5,witch/must/1005010400,-1,12,1,180000,32,0.541,0,6|0,15,100504.0,1,17.319,-1,1,0
42,100503,1005,20,10,6,witch/must/1005010600,-1,12,1,180000,47,0.465,0,4|0,15,100504.0,1,21.837,-1,1,0
43,100601,1006,20,1,1,witch/barrage/1006011,-1,0,1,0,2,0.5,0,0|1,3,100001.0,0,0.5,-1,1,1
44,100602,1006,20,13,1,witch/skill_xuli/1006,-1,10,1,0,10,0.92,0,0|1,15,-1,1,9.2,-1,1,0
45,100603,1006,20,10,1,witch/must/1006010300,-1,20,1,200000,6,2.92,0,12|0,15,100601.0,1,17.52,-1,1,0
46,100603,1006,20,10,2,witch/must/1006010300,-1,20,1,200000,6,2.92,0,12|0,15,100601.0,1,17.52,-1,1,0
47,100603,1006,20,10,3,witch/must/1006010300,-1,20,1,200000,6,2.92,0,12|0,15,100603|100601,1,17.52,-1,1,0
48,100603,1006,20,10,4,witch/must/1006010300,-1,17,1,200000,6,2.92,0,12|0,15,100603|100601,1,17.52,-1,1,0
49,100603,1006,20,10,5,witch/must/1006010300,-1,17,1,200000,6,2.92,0,12|0,15,100603|100601,1,17.52,-1,1,0
50,100603,1006,20,10,6,witch/must/1006010600,-1,17,1,200000,6,2.92,0,12|0,15,100603|100601|100606,1,17.52,-1,1,0
51,100701,1007,20,1,1,witch/barrage/1007011,-1,0,1,0,4,0.6,0,0|1,3,-1,0,0.6,-1,1,0
52,100702,1007,20,13,1,witch/skill_xuli/1007,-1,10,1,0,6,3.067,0,0|1,15,-1,1,18.4,-1,1,0
53,100703,1007,20,10,1,-1,-1,20,1,300000,-1,0.6,0,0|1,15,100701.0,1,0.6,-1,1,0
54,100703,1007,20,10,2,-1,-1,20,1,300000,-1,0.6,0,0|1,15,100701|100702,1,0.6,-1,1,0
55,100703,1007,20,10,3,-1,-1,20,1,300000,-1,0.6,0,0|1,15,100702|100703|100713,1,0.6,-1,1,0
56,100703,1007,20,10,4,-1,-1,20,1,300000,-1,0.6,0,0|1,15,100702|100703|100713,1,0.6,-1,1,0
57,100703,1007,20,10,5,witch/must/1007010600,-1,20,1,300000,-1,0.6,0,0|1,15,100702|100703|100713,1,0.6,-1,1,0
58,100703,1007,20,10,6,witch/must/1007010600,-1,20,1,300000,-1,0.6,0,0|1,15,100702|100703|100713,1,0.6,-1,1,0
59,100753,1007,20,11,1,witch/must/1007010301,-1,0,1,0,40,0.6,0,0|1,15,-1,1,0.6,-1,1,0
60,100753,1007,20,11,3,witch/must/1007010301,-1,0,1,0,80,0.78,0,0|1,15,-1,1,0.78,-1,1,0
61,100801,1008,20,1,1,witch/barrage/1008011,-1,0,1,0,1,0.7,0,8|0,3,-1,1,0.7,-1,1,0
