索引,爆炸特效,特效Scale,特效时间,爆炸半径,连炸次数,连炸间隔,主体dps占比,小炸范围Min,小炸范围Max,主体命中效果id,主体命中效果star,小炸命中效果id,小炸命中效果star
id,ResID,ResScale,ResTime,Range,Count,Interval,MainDpsRate,SubRadiusMin,SubRadiusMax,MainHitEffectId,MainHitEffectStar,SubHitEffectId,SubHitEffectStar
int,int,number,number,number,int,number,number,number,number,int,int,int,int
104206,304200,0.7,0.5,5,6,0.2,0.7,2,4,104254,6,104255,6
100802,300800,0.7,1.25,7,1,0,1,0,0,100853,1,100853,1
100803,300800,0.7,1.25,10,1,0,1,0,0,100853,3,100853,3
101501,301500,0.7,0.5,10,1,0,1,0,0,101503,1,101503,1
101502,301500,0.7,0.5,10,1,0,1,0,0,101503,5,101503,1
10190100,301900,0.7,0.5,3,1,0,1,0,0,101901,1,101901,1
10190101,301900,0.7,0.5,4,6,0.1,0.7,1,3,101901,1,101901,1
10190102,301900,0.7,0.5,5,6,0.1,0.7,1,3,101901,1,101901,1
10190103,301900,0.7,0.5,5,6,0.1,0.7,1,3,101901,1,101901,1
10190104,301900,0.7,0.5,6,6,0.1,0.7,1,3,101901,1,101901,1
10190110,301900,0.7,0.5,2,1,0,1,0,0,101901,1,101901,1
10190111,301900,0.7,0.5,3,2,0.1,0.7,1,2,101901,1,101901,1
10190112,301900,0.7,0.5,3,2,0.1,0.7,1,2,101901,1,101901,1
10190113,301900,0.7,0.5,3,2,0.1,0.7,1,2,101901,1,101901,1
10190114,301900,0.7,0.5,3,2,0.1,0.7,1,2,101901,1,101901,1
10190120,301900,0.7,0.5,1,1,0,1,0,0,101901,1,101901,1
10190121,301900,0.7,0.5,1,1,0,1,1,1,101901,1,101901,1
10190122,301900,0.7,0.5,1,1,0,1,1,1,101901,1,101901,1
10190123,301900,0.7,0.5,1,1,0,1,1,1,101901,1,101901,1
10190124,301900,0.7,0.5,1,1,0,1,1,1,101901,1,101901,1
10200100,302000,0.7,0.5,3,1,0,1,0,0,102001,1,102001,1
10200101,302000,0.7,0.5,4,6,0.1,0.7,1,3,102001,1,102001,1
10200102,302000,0.7,0.5,5,6,0.1,0.7,1,3,102001,1,102001,1
10200103,302000,0.7,0.5,5,6,0.1,0.7,1,3,102001,1,102001,1
10200104,302000,0.7,0.5,6,6,0.1,0.7,1,3,102001,1,102001,1
