ID,技能id,技能名称,技能ICON,所属星级,普通击中效果,施法音效(废弃，读最后一列),受击音效,施法屏幕效果,技能描述,施法音效
ID,id,skill_name,skill_icon,Skill_star,HitEffect,PlaySound,HitSound,screenEffect_Play,SkillInfo,PlaySound_id
int,int,int,int,int,int,string,string,int,number,int
1,100101,10470001,100101,1,4001,event:/FightEffect/witch_skill_barrage-100101-PlaySound,event:/FightEffect/witch_skill_barrage-100101-HitSound,-1,20470001,1175
2,100102,10470002,100102,1,665005,event:/FightEffect/witch_skill_barrage-100101-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470002,1176
3,100103,10470017,100103,1,80100101,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470017,1177
4,100103,10470017,100103,2,80100101,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470017,1178
5,100103,10470017,100103,3,80100101,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470018,1179
6,100103,10470017,100103,4,80100101,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470018,1180
7,100103,10470017,100103,5,80100101,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470020,1181
8,100103,10470017,100103,6,80100101,event:/FightEffect/witch_skill_mustXlsx-100103-10-6-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-10-6-HitSound,-1,20470020,1182
9,10010101,10470001,100101,1,4004,event:/FightEffect/witch_skill_barrage-100101-PlaySound,event:/FightEffect/witch_skill_barrage-100101-HitSound,-1,20470001,1183
10,10010201,10470002,100102,1,665002,event:/FightEffect/witch_skill_barrage-100101-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100503-HitSound,-1,20470002,1184
11,10010301,10470017,100103,1,80100102,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470017,1185
12,10010301,10470017,100103,2,80100102,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470017,1186
13,10010301,10470017,100103,3,80100102,event:/FightEffect/witch_skill_mustXlsx-100103-PlaySound,event:/FightEffect/witch_skill_mustXlsx-100103-HitSound,-1,20470018,1187
