升阶id,当前阶数,玩家等级,等级限制,材料消耗_光,材料消耗_暗,材料消耗_混沌
id,StepNum,Level,LevelMax,StepUpCosts_1,StepUpCosts_2,StepUpCosts_3
number,number,number,number,array_&_|,array_&_|,array_&_|
1000,0,1,10,-1,-1,-1
1001,1,15,20,9000101&20|1000001&20000,9000201&20|1000001&20000,9000301&20|1000001&20000
1002,2,25,30,9000101&25|9000102&20|1000001&40000,9000201&25|9000202&20|1000001&40000,9000301&25|9000302&20|1000001&40000
1003,3,35,40,9000102&30|9000103&25|1000001&60000,9000202&30|9000203&25|1000001&60000,9000302&30|9000303&25|1000001&60000
1004,4,45,50,9000103&40|9000104&30|1000001&80000,9000203&40|9000204&30|1000001&80000,9000303&40|9000304&30|1000001&80000
1005,5,60,60,9000104&80|9000105&40|1000001&100000,9000204&80|9000205&40|1000001&100000,9000304&80|9000305&40|1000001&100000
1006,6,65,70,9000104&200|9000105&180|1000001&150000,9000204&200|9000205&180|1000001&150000,9000304&200|9000305&180|1000001&150000
1007,7,70,75,9000104&400|9000105&320|1000001&200000,9000204&400|9000205&320|1000001&200000,9000304&400|9000305&320|1000001&200000
