ID,中文
880001,没有找到适合的材料
880002,该魔女正在进行演奏，无法更换乐器
880003,活动已过期
880004,<size=20>◆</size>   B   U   R   S   T       W   I   T   C   H   <size=20>◆</size>
880005,突|破|成|功
880006,进|阶|成|功
880007,升|级|成|功
880008,强|化|成|功
880009,首|通|奖|励
880010,额|外|奖|励
880011,好|感|升|级
880012,召唤成功
880013,%s不足
880014,突破成功
880015,<size=14>◆</size>      M  A  R  N  E       D  I  F  O  B  E     <size=14>◆</size>
880016,第章
880017,无法添加更多素材
880018,背包中符石数量已达上限，出战后将无法获得新符石，是否继续?
880019,符石数量已达上限，请清理背包后再试!
880020,请输入激活码
880021,激活码
880022,Fezemi
880023,兑换礼包
880024,Fesim hartai
880025,更换昵称
880026,Fin keni
880027,请输入兑换码
880028,点击输入昵称(上限9个字)
880029,奖励
880030,Harci
880031,导师等级%d开启
880032,活动已结束
880033,检测到新的资源版本(%s)，请更新
880034,远程站点链接异常(%s)，请检查您的网络
880035,检测到您的战斗数据出现异常，将关闭游戏。
880036,光辉
880037,暗影
880038,混沌
880039,与服务器断开链接，请重新登录。
880040,SDK校验失败，请重新登录
880041,网络已中断，是否重新链接？
880042,提示:\n违规游戏行为，账号已被封停\n解封时间为:%s
880043,档案精灵
880044,RECOVERY
880045,使用
880048,取消
880049,Marliem
880057,Rotim Sineze
880058,获取途径
880059,Fodifobe
880060,下点体力恢复：          <color=#FFFFFFFF>%s</color>\n恢复全部体力：          <color=#FFFFFFFF>%s</color>
880061,体力购买次数已达上限
880062,%s不足,无法兑换
880063,拥有道具:
880064,今日限购:
880065,%s次
880066,%s不足,无法购买
880067,购买魔力结晶
880068,消耗
880069,购买
880070,确认
880071,Heisen
880072,使用万能印记
880073,Tionchaebine
880074,兑换体力
880075,Fesim Buche
880076,请先选择购买数量
880078,战力
880079,导师总战力
880080,导师战力=战力前5名魔女的战力总和
880081,提醒
880082,Doi tia
880083,暂无未处理信息
880084,功能未开启
880085,首次购买免费
880086,活|动|奖|励
880077,%Y年%m月%d日%H时%M分%S秒
883004,服务器人数已满
889999,未知的错误
88101101,非法昵称
88101102,类型不是头像框，frameid
88101103,未拥有的头像
88101104,签名过长
88101105,重复的名字
88101106,非法的随机码
880046,亲爱的被选定者，您因不当言论已被系统禁言\n<color=#F74B66FF>%s解封</color>\n请您规范游戏行为，与大家一起维护健康游戏生态。
880047,亲爱的被选定者，您因不当言论已被系统禁言\n<color=#F74B66FF>永久禁言</color>\n请您规范游戏行为，与大家一起维护健康游戏生态。
880101,天空中没有翅膀的痕迹，但是我已飞过。
880102,——泰戈尔
880103,带上耳机来获取最佳效果
880104,众神行走于世间，但他们的微光也即将熄灭。
880105,一切走向终结的时刻，人们终于回想起那个古老的预言。
880106,神子终究会灭亡深渊，并取代其父的位置……
880107,击中判定
880108,敌方子弹<color=#87F5FFFF>击中判定点</color>后会受到伤害。
880109,蓄力技能
880110,每间隔<color=#87F5FFFF>一段时间</color>魔女会自动释放<color=#FF8787FF>蓄力技能</color>。
880111,魔女生命值
880112,当生命值为<color=#FF8787FF>0</color>时，魔女阵亡
880113,神火
880114,释放技能需要消耗神火，时间积蓄或者受到伤害都可获得神火
880115,<color=#e7efff>释放技能</color>
880116,<color=#e7efff>大批敌人来袭，消耗神火释放技能来消灭他们</color>
880117,能量体
880118,战斗中会随机掉落一些能量体，触碰后能强化魔女
880119,擦弹分
880120,这里显示本次战斗的<color=#87F5FFFF>擦弹总分</color>
880121,更换魔女
880122,点击对应魔女头像，可切换指定魔女上阵。
880123,移动
880124,划动屏幕可以让魔女进行移动
880125,提示
880126,幻棘系·妮蔻拉丝不仅属性克制boss，其拥有的穿透能力也非常适合这场战斗
880127,更换魔女
880128,这里就交给<color=#87F5FFFF>妮蔻拉丝</color>吧！
880129,自动必杀
880130,点击勾选可自动释放魔女技能！
880131,光炙魔女
880132,光炙系的魔女攻击目标伤害越来越高，适合应对单体目标！
880133,精力值
880134,精力值为0时，魔女的弹幕射速将变得极慢，下阵后可快速恢复精力。
880135,蓄力条
880136,蓄力条回满后，魔女将发动自身蓄力技能。
880137,爆鸣系
880138,爆鸣系会造成范围爆炸，适合清理大量敌人
880139,聚魂系
880140,聚魂系距离敌人越近伤害越高，但是要注意走位
880141,擦弹圈
880142,子弹第一次进入擦弹圈内算作一次擦弹
880143,精力值耗尽
880144,魔女精力值已耗尽，尽快切换下场，魔女下场后会持续恢复精力值和血量
880050,刻|印|成|功
880051,批准文号:国新出审[2019]3176号 版号:ISBN 978-7-498-06951-1 出版单位:上海科学技术文献出版社有限公司 著作登记号:2018SR584992 著作权人:上海辉幻网络科技有限公司 运营单位：上海幻电信息科技有限公司
880053,功
880054,能
880055,开
880056,启
888001,系统错误
888021,非法的账号名
888022,非法的密码
888023,密码错误
888025,账号未激活
888026,未开放非渠道登录
888027,未开放的渠道
888029,系统繁忙
888030,<size=65>规则</size>说明
888031,Chaebine ron ska
888032,克制关系
888033,首次奖励
888034,本周首次
888100,%d天
888101,%d小时
888102,%d分钟
888103,<1分钟
881001,光辉
881002,暗影
881003,混沌
881004,拥有
881005,本次登录不再提示
881006,%s不足\n消耗<color=#8AC261FF>%d%s</color>可以购买<color=#8AC261FF>%d张%s</color>\n是否购买？
881007,免费
881008,未解锁
881009,已解锁
881010,已完成
881011,暴击率：%s%%，
881012,暴击伤害：%s%%，
881013,无
881014,%s级开启
881015,活动已结束
881016,额外奖励
881017,挑战次数
881018,提示
881019,Zine
881020,您对本游戏的了解程度?
881021,我是大神
881022,HÄR
881023,我是新人
881024,CECARI
8810251,光辉
8810252,暗影
8810253,混沌
881025,点击空白处返回
881026,无属性
10001,《爆裂魔女》许可及服务协议和隐私保护指引
10002,账号切换
10003,我已详细阅读并同意
10004,CONFIRM
10005,同意
10006,USER AGREEMENT
10007,<size=76>用户</size>协议
10008,我已详细阅读并同意用户协议和隐私协议
10009,加载中 
10010,抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。
10011,适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。
10012,游戏版本号 %s
10013,请输入测试账号
10014,Loading ...
10015,当前：
10016,最近登录
10017,LOGON RECORD
10018,维护
10019,即将开启
10020,流畅
10021,繁忙
10022,火爆
10023,当前服务器不可用
10024,服务器当前维护中
10025,服务器未到开放时间\n开放时间：
10026,你当前排在%d位
10027,%d秒后刷新
10028,账号不能为空
10029,含有非法字符
10030,请同意使用许可及服务条款
10031,服务器链接失败，请重新登录游戏！
10032,您已离线
10033,您的账号在其他设备登录
10034,服务器已维护
10035,未知原因
10036,未知类型
10037,服务器列表下载失败，请检查网络并重试
10038,检测到网络未链接，请确保网络链接正常，是否重新链接？
10039,网络请求失败，错误类型：%s
10040,<size=76>适龄</size>提示
10041,Fonizemi doi tia
10042,1、本游戏是一款难度适中的弹幕射击类游戏，适用于年龄16周岁及以上的用户，建议未成年人在家长监护下使用游戏产品。\n\n2、本游戏故事内容基于架空的西幻世界观予以原创，虽部分角色名与西方历史角色重名但不会与现实混淆。剧情积极向上，和谐友善，以互爱自爱团结为主题，以独立自强为驱动力，进行故事演说。玩家将以导师的身份带领游戏中的魔女进行对未知世界的探索和探知，鼓励玩家对求知欲的提升。游戏玩法主要通过STG游戏——即躲避弹幕及射击的玩法进行。游戏中有基于文字的陌生人社交系统，社交系统的管理遵循相关法律法规。\n\n3、本游戏中有用户实名认证系统，认证为未成年的用户将接受以下管理：\n游戏中部分玩法和道具需要付费，未满8周岁的用户不能付费；8周岁以上未满16周岁的未成年人用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。未成年用户每周五、周六、周日和法定节假日的20时至21时可使用1小时，其他时间不得使用。\n\n4、本游戏以弹幕射击为核心玩法，有助于锻炼玩家的手眼配合能力以及反应能力，能够给玩家带来成就感和愉悦感。同时本游戏美术风格独特，音乐原创性强，有助于提高玩家审美以及音乐鉴赏能力。
10043,用户协议
10044,Zemicrechae
10045,隐私政策
10046,Umichae
20001,最终BOSS剩余生命会影响敌人的虚弱度
20002,剧情
20003,Chatui
20004,挑战
20005,Tumei
20006,日常
20007,Nik
20008,挑战目标
20009,Oshe tumesik
20010,Harci
20011,魔女选择
20012,Liem haroche
20013,出战中
20014,Ronir vodi
20015,无法出战
20016,Marne Vod
20017,第%s节
20018,第%s章
20019,CHAPTER
20020,序章
20021,Suforme Oiz
20022,该关卡暂未解锁
20023,首通奖励
20024,掉落物品
20025,通关%s后开启
20026,已通过所有关卡
20027,通关上一关后开启
20028,关卡剩余次数：
20030,导师达到%s级后解锁
20031,Lv.%s解锁
20032,暂未开启该关卡
20033,暂未开启该章节
20034,未满足领取条件
20035,本章获得总星数
20036,该关卡获得三星后可使用
20037,该关卡通关后可使用
20038,无法上阵相同魔女
20039,<size=80>剧</size>情
20040,<size=80>日</size>常
20041,<size=80>挑</size>战
20042,Fo ron chiz
20043,挑战奖励
20044,Cochusi
20045,一键领取
20046,回忆
20047,基本设置
20048,Cubinodde
20049,挂机设置
20050,Marbonodde
20051,必杀设置
20052,手动操作3秒后继续自动挂机
20053,优先击杀精英怪
20054,无条件使用必杀技
20055,满能量使用必杀技
20056,精英怪以上使用必杀技
20057,妖歌幻海
20060,切换设置
20061,血量低于50%时自动切换魔女
20062,精力值为0时自动切换魔女
20063,自动切换属性克制的魔女
20064,魔女养成
20065,克制<size=33><color=#91b6fa>Lv.%s</color></size>
20066,所需战力：%s
20067,条件：
20068,加成：
20069,增伤%s%%
20070,当前战力：
20071,魔女养成
20072,伤害统计
20073,战力评分
20074,关卡加成
20075,推荐等级
20076,推荐魔女等级：%s级
20077,当前魔女等级：%s
20078,<color=#91b6fa>（精英怪）</color>
20079,<color=#e1503c>（BOSS）</color>
20080,流派技设置
20081,无条件使用流派技
20082,自动切换单体或群攻魔女
20083,你的魔女等级严重不足，建议先进行魔女养成，是否继续出战？
20084,你的魔女战力严重不足，建议先进行魔女养成，是否继续出战？
20085,恢复中
20086,必须使用该剧情魔女出战
20087,导师等级达到%s级开启
20088,锁定
20089,最高评级
20090,历史最高成绩
20091,额外掉落：%s/%s
20092,生命值不足，无法释放必杀技
20093,无条件使用流派技（需先开启法典）
20094,秒
20095,个
20096,评级
20097,<size=38>%s</size>秒内击败塞壬
20098,<size=38>%s</size>个
20099,坚持<size=38>%s</size>秒
2100101,通关耗时不超过<color=#54A0FFFF>%s</color>秒
2100102,无伤通关
2100103,击杀数达<color=#54A0FFFF>%s</color>
2100104,擦弹分数达<color=#54A0FFFF>%s</color>
2100105,必杀使用小于<color=#54A0FFFF>%s</color>次
2100106,释放必杀<color=#54A0FFFF>%s</color>次
2100107,<color=#54A0FFFF>%s</color>秒内伤害达<color=#54A0FFFF>%s</color>
2100108,关卡通关
2100109,魔女满血通关
2100110,使用 <color=#54A0FFFF>%s</color> 通关
2100111,上阵<color=#54A0FFFF>%s</color>个<color=#54A0FFFF>%s</color>星魔女
2100112,不使用必杀技通关
2100113,上阵不超过<color=#54A0FFFF>%s</color>个魔女
2100114,上阵<color=#54A0FFFF>%s</color>个%s品质魔女
2100115,阵亡不超过<color=#54A0FFFF>%s</color>个
2100116,上阵魔女无阵亡
2100117,上阵<color=#54A0FFFF>%s</color>个<color=#54A0FFFF>%s</color>属性的魔女
2100118,上阵<color=#54A0FFFF>%s</color>个<color=#54A0FFFF>%s</color>的魔女
2100119,擦弹<color=#54A0FFFF>%s</color>次
2100120,被击中次数低于<color=#54A0FFFF>%s</color>次
21002,合成所需印记不足
21003,未选择出战魔女
21004,导师等级不足
21005,本关卡今日次数已用完
21006,施法中无法切换角色
21007,战斗用时
21008,关卡得分
21009,擦弹得分
21010,总得分
21011,本次击杀：
2200101,能量值
2200103,擦弹信息
2200104,瞳距圈
2200201,<color=#87F5FFFF>能量积蓄满</color>时会自动释放<color=#FF8787FF>蓄力技</color>。
2200203,记录战斗时的<color=#87F5FFFF>擦弹分</color>，每次擦弹则会增加分数。
2200204,进入敌人瞳距圈<color=#87F5FFFF>伤害提升20%</color>。
22003,<color=#87F5FFFF>某些敌人</color>也拥有瞳距圈，魔女可以应用<color=#87F5FFFF>瞳距重叠增幅</color>的特性，快速击杀敌人。
22004,敌人瞳距圈
22005,释放必杀技<color=#87F5FFFF>消耗神火</color>。
22006,神火值
22007,点击释放<color=#87F5FFFF>必杀技</color>。
22008,必杀技
22009,敌方子弹<color=#87F5FFFF>击中判定点</color>后会受到伤害。
22010,击中判定
22011,敌方子弹<color=#87F5FFFF>进入判定区域</color>时算作擦弹，会获得<color=#FF8787FF>擦弹分</color>。
22012,擦弹判定
22013,每个魔女都拥有一只忠诚的爪牙，在实际战斗中不同的爪牙会发挥其不同的作用。
22014,爪牙
22015,当爪牙存活时，魔女受到敌人攻击时会<color=#87F5FFFF>优先扣除</color>爪牙的生命值，爪牙最多可以为魔女<color=#87F5FFFF>抵挡1次</color>致命伤害。
22016,爪牙生命值
22017,爪牙在战斗中会积蓄能量，当爪牙能量<color=#87F5FFFF>积蓄满</color>时会自动释放<color=87F5FFFF>蓄力技</color>。
22018,爪牙能量值
22019,敌人与魔女一样拥有不同的属性，属性之间互相存在<color=#87F5FFFF>克制关系</color>。魔女克制敌人时造成的伤害<color=#F5E777FF>更高</color>，被克制时造成的伤害<color=#FF4040FF>降低</color>。
22020,敌人属性
22021,光 辉
22022,暗 影
22023,混 沌
22024,不同的克制关系造成的<color=#87F5FFFF>伤害</color>和<color=#87F5FFFF>颜色</color>不同
22025,克制伤害+33%
22026,同属性无变化
22027,被克伤害-80%
22028,切换<color=#87F5FFFF>希贝尔</color>可以克制敌人！
22029,<color=#FFFFFF>任务目标:</color>%s擦弹达到1000分
22030,角色阵亡
22031,爪牙阵亡
22032,防御力增加
22033,暴击增加
2203401,击杀敌数:
2203402,使用必杀:
22035,跳 过
22036,三星条件
22037,暂停
22038,音乐
22039,音效
22040,停止托管
22041,自动必杀
22042,自动战斗
22043,继续游戏
22044,擦弹
22045,点击任意位置继续
22046,回 顾
22047,剧情回顾
22048,剧情简述
22049,Chatui
22050,跳过
22051,Marka
22052,你的选择对这个世界产生了影响
22053,你已经做过这个选择
