ID,繁体
880001,沒有找到適合的材料
880002,該魔女正在進行演奏，無法更換樂器
880003,活動已過期
880004,<size=20>◆</size>   B   U   R   S   T       W   I   T   C   H   <size=20>◆</size>
880005,突|破|成|功
880006,進|階|成|功
880007,升|級|成|功
880008,強|化|成|功
880009,首|通|獎|勵
880010,額|外|獎|勵
880011,好|感|升|級
880012,召喚成功
880013,%s不足
880014,突破成功
880015,<size=14>◆</size>      M  A  R  N  E       D  I  F  O  B  E     <size=14>◆</size>
880016,第章
880017,無法增加更多素材
880018,背包中符石数量已达上限，出战后将无法获得新符石，是否继续?
880019,符石数量已达上限，请清理背包后再试!
880020,請輸入啟動碼
880021,啟動碼
880022,Fezemi
880023,兌換禮包
880024,Fesim hartai
880025,更換昵稱
880026,Fin keni
880027,請輸入兌換碼
880028,點擊輸入昵稱(上限9個字)
880029,獎勵
880030,Harci
880031,导师等級%d開啟
880032,活動已結束
880033,檢測到新的資源版本(%s)，請更新
880034,遠端網站鏈接異常(%s)，請檢查您的網路
880035,檢測到您的戰鬥數據出現異常，將關閉遊戲。
880036,光輝
880037,暗影
880038,混沌
880039,與伺服器斷開鏈接，請重新登錄。
880040,SDK校驗失敗，請重新登錄
880041,網路已中斷，是否重新鏈接？
880042,提示:\n违规游戏行为，账号已被封停\n解封时间为:%s
880043,檔案精靈
880044,RECOVERY
880045,使用
880048,取消
880049,Marliem
880057,Rotim Sineze
880058,获取途径
880059,Fodifobe
880060,下点体力恢复：          <color=#FFFFFFFF>%s</color>\n恢复全部体力：          <color=#FFFFFFFF>%s</color>
880061,体力购买次数已达上限
880062,%s不足,无法兑换
880063,拥有道具:
880064,今日限购:
880065,%s次
880066,%s不足,无法购买
880067,购买魔力结晶
880068,消耗
880069,购买
880070,确认
880071,Heisen
880072,使用万能印记
880073,Tionchaebine
880074,兑换体力
880075,Fesim Buche
880076,请先选择购买数量
880078,战力
880079,导师总战力
880080,导师战力=战力前5名魔女的战力总和
880081,提醒
880082,Doi tia
880083,暂无未处理信息
880084,功能未开启
880085,首次购买免费
880077,%Y年%m月%d日%H时%M分%S秒
883004,服务器人数已满
889999,未知的錯誤
88101101,非法昵稱
88101102,類型不是頭像框，frameid
88101103,未擁有的頭像
88101104,簽名過長
88101105,重複的名字
88101106,非法的隨機碼
880046,親愛的被選定者，您因不當言論已被系統禁言\n<color=#F74B66FF>%s解封</color>\n請您規範遊戲行為，與大家一起維護健康遊戲生態。
880047,親愛的被選定者，您因不當言論已被系統禁言\n<color=#F74B66FF>永久禁言</color>\n請您規範遊戲行為，與大家一起維護健康遊戲生態。
880101,天空中没有翅膀的痕迹，但是我已飞过。
880102,——泰戈尔
880103,带上耳机来获取最佳效果
880104,眾神行走於世間，但他們的微光也即將熄滅。
880105,一切走向終結的時刻，人們終於回想起那個古老的預言。
880106,神子終究會滅亡深淵，並取代其父的位置……
880107,击中判定
880108,敌方子弹<color=#87F5FFFF>击中判定点</color>后会受到伤害。
880109,蓄力技能
880110,每间隔<color=#87F5FFFF>一段时间</color>魔女会自动释放<color=#FF8787FF>蓄力技能</color>。
880111,魔女生命值
880112,当生命值为<color=#FF8787FF>0</color>。时，魔女阵亡
880113,神火
880114,释放技能需要消耗神火，时间积蓄或者受到伤害都可获得神火
