-- 
-- brief: This file is generated by the tool, please do not modify it.
-- 

local _configs = {
    [1] = {1, 100001, 10100002, 60, 122, 203, {0.07, 2}, 1, 30, 1000, 1000, 1000},
    [2] = {2, 100001, 10100014, 2193, 122, 203, {0.07, 2}, 1, 1096, 1000, 1052, 952},
    [3] = {3, 100001, 10100022, 60, 122, 203, {0.07, 2}, 1, 30, 1000, 1052, 952},
    [4] = {4, 100001, 10100005, 60, 122, 203, {0.07, 2}, 1, 30, 1000, 1000, 1000},
    [5] = {5, 100001, 10100006, 60, 122, 203, {0.07, 2}, 1, 30, 1000, 1000, 1000},
    [6] = {6, 100001, 10100003, 1579, 122, 203, {0.07, 2}, 1, 789, 1000, 1052, 952},
    [7] = {7, 100001, 10100016, 13158, 183, 203, {0.2, 2}, 1, 6579, 1000, 1052, 952},
    [8] = {8, 100001, 10100020, 60, 122, 203, {0.07, 2}, 1, 30, 1000, 1000, 1000},
    [9] = {9, 100001, 10100015, 219, 122, 203, {0.07, 2}, 1, 109, 1000, 1000, 1000},
    [10] = {10, 100001, 10100013, 32895, 183, 203, {0.2, 5}, 1, 16447, 1000, 1052, 952},
    [11] = {11, 100001, 10100009, 19737, 183, 203, {0.2, 2}, 1, 9868, 1000, 1052, 952},
    [12] = {12, 100001, 10100010, 256581, 1710, 203, {0.2, 1}, 2, 128290, 1000, 1052, 952},
    [13] = {13, 100001, 10100012, 219, 122, 203, {0.07, 2}, 1, 109, 1000, 1000, 1000},
    [14] = {14, 100101, 10101007, 40, 312, 206, {0.07, 2}, 1, 20, 1000, 1000, 1000},
    [15] = {15, 100101, 10101006, 1008, 312, 206, {0.07, 2}, 1, 504, 1000, 1000, 1000},
    [16] = {16, 100101, 10101016, 40, 312, 206, {0.07, 2}, 1, 20, 1000, 1000, 1000},
    [17] = {17, 100101, 10101005, 7562, 312, 206, {0.07, 2}, 3, 3781, 1000, 1000, 1000},
    [18] = {18, 100101, 10104002, 3149, 312, 206, {0.07, 2}, 1, 1574, 1000, 1000, 1000},
    [19] = {19, 100102, 10101016, 96, 312, 206, {0.07, 2}, 1, 48, 1000, 1000, 1000},
    [20] = {20, 100102, 10101006, 315, 312, 206, {0.07, 2}, 1, 157, 1000, 1000, 1000},
    [21] = {21, 100102, 10101007, 96, 312, 206, {0.07, 2}, 1, 48, 1000, 1000, 1000},
    [22] = {22, 100102, 10104002, 5743, 312, 206, {0.07, 2}, 2, 2871, 1000, 1000, 1000},
    [23] = {23, 100102, 10101009, 13603, 468, 206, {0.07, 2}, 1, 6801, 1000, 1000, 1000},
    [24] = {24, 100103, 10101016, 90, 353, 233, {0.07, 2}, 1, 45, 1000, 1000, 1000},
    [25] = {25, 100103, 10101006, 1032, 353, 233, {0.07, 2}, 1, 516, 1000, 1000, 1000},
    [26] = {26, 100103, 10101007, 90, 353, 233, {0.07, 2}, 1, 45, 1000, 1000, 1000},
    [27] = {27, 100103, 10101004, 775, 353, 233, {0.07, 2}, 1, 387, 1000, 1000, 1000},
    [28] = {28, 100103, 10101005, 13515, 353, 233, {0.07, 2}, 6, 6757, 1000, 1000, 1000},
    [29] = {29, 100104, 10101016, 96, 353, 233, {0.07, 2}, 1, 48, 1000, 1000, 1000},
    [30] = {30, 100104, 10101006, 344, 353, 233, {0.07, 2}, 1, 172, 1000, 1000, 1000},
    [31] = {31, 100104, 10101007, 96, 353, 233, {0.07, 2}, 1, 48, 1000, 1000, 1000},
    [32] = {32, 100104, 10104002, 5970, 353, 233, {0.07, 2}, 2, 2985, 1000, 1000, 1000},
    [33] = {33, 100104, 10101009, 20634, 529, 233, {0.07, 2}, 1, 10317, 1000, 1000, 1000},
    [34] = {34, 100105, 10101016, 86, 353, 233, {0.07, 2}, 1, 43, 1000, 1000, 1000},
    [35] = {35, 100105, 10101007, 86, 353, 233, {0.07, 2}, 1, 43, 1000, 1000, 1000},
    [36] = {36, 100105, 10101003, 344, 353, 233, {0.07, 2}, 1, 172, 1000, 1052, 952},
    [37] = {37, 100105, 10100004, 2751, 353, 233, {0.07, 2}, 1, 1375, 1000, 1052, 952},
    [38] = {38, 100105, 10101002, 2545, 353, 233, {0.07, 2}, 1, 1272, 1000, 1052, 952},
    [39] = {39, 100105, 10100023, 13240, 353, 233, {0.07, 2}, 6, 6620, 1000, 1052, 952},
    [40] = {40, 100106, 10101007, 86, 441, 233, {0.07, 2}, 1, 43, 1000, 1000, 1000},
    [41] = {41, 100106, 10101016, 86, 441, 233, {0.07, 2}, 1, 43, 1000, 1000, 1000},
    [42] = {42, 100106, 10101003, 1616, 441, 233, {0.07, 2}, 1, 808, 1000, 1052, 952},
    [43] = {43, 100106, 10100004, 4815, 441, 233, {0.07, 2}, 2, 2407, 1000, 1052, 952},
    [44] = {44, 100106, 20304015, 80, 441, 233, nil, 1, 40, 1000, 1000, 1000},
    [45] = {45, 100106, 10100003, 2407, 441, 233, {0.07, 2}, 1, 1203, 1000, 1052, 952},
    [46] = {46, 100106, 10014010, 34390, 588, 245, {0.07, 2}, 17, 17195, 1000, 1052, 952},
    [47] = {47, 100107, 10101017, 2235, 500, 233, {0.07, 2}, 1, 1117, 1000, 1000, 1000},
    [48] = {48, 100107, 10100004, 2958, 500, 233, {0.07, 2}, 1, 1479, 1000, 1052, 952},
    [49] = {49, 100107, 10101002, 2820, 500, 233, {0.07, 2}, 1, 1410, 1000, 1052, 952},
    [50] = {50, 100107, 10101003, 481, 500, 233, {0.07, 2}, 1, 240, 1000, 1052, 952},
    [51] = {51, 100107, 10101016, 86, 500, 233, {0.07, 2}, 1, 43, 1000, 1000, 1000},
    [52] = {52, 100107, 10101007, 86, 500, 233, {0.07, 2}, 1, 43, 1000, 1000, 1000},
    [53] = {53, 100107, 10100023, 20634, 500, 233, {0.07, 2}, 10, 10317, 1000, 1052, 952},
    [54] = {54, 100108, 10100022, 309, 570, 265, {0.07, 2}, 1, 154, 1000, 1052, 952},
    [55] = {55, 100108, 10100021, 5570, 570, 265, {0.07, 2}, 2, 2785, 1000, 1052, 952},
    [56] = {56, 100108, 10100004, 8311, 570, 265, {0.07, 2}, 4, 4155, 1000, 1052, 952},
    [57] = {57, 100108, 10100023, 6543, 570, 265, {0.07, 2}, 3, 3271, 1000, 1052, 952},
    [58] = {58, 100108, 10101011, 258629, 938, 265, {0.2, 1}, 2, 129314, 952, 1000, 1052},
    [59] = {59, 100201, 10101006, 133, 1005, 251, {0.07, 2}, 1, 66, 1000, 1000, 1000},
    [60] = {60, 100201, 10101004, 8179, 1005, 251, {0.07, 2}, 4, 4089, 1000, 1000, 1000},
    [61] = {61, 100201, 10101007, 133, 1005, 251, {0.07, 2}, 1, 66, 1000, 1000, 1000},
    [62] = {62, 100201, 10101005, 88420, 1005, 251, {0.07, 2}, 44, 44210, 1000, 1000, 1000},
    [63] = {63, 100202, 10023010, 17684, 1005, 251, {0.07, 2}, 8, 8842, 1000, 1052, 952},
    [64] = {64, 100202, 10023020, 17684, 1005, 251, {0.07, 2}, 8, 8842, 1000, 1052, 952},
    [65] = {65, 100202, 10021020, 133, 1005, 251, {0.07, 2}, 1, 66, 1000, 1052, 952},
    [66] = {66, 100202, 10022010, 2653, 1005, 251, {0.07, 2}, 1, 1326, 1000, 1052, 952},
    [67] = {67, 100202, 10022020, 2564, 1005, 251, {0.07, 2}, 1, 1282, 1000, 1052, 952},
    [68] = {68, 100202, 10021010, 133, 1005, 251, {0.07, 2}, 1, 66, 1000, 1052, 952},
    [69] = {69, 100202, 10101014, 251997, 1509, 251, {0.2, 5}, 12, 125998, 1000, 1052, 952},
    [70] = {70, 100203, 10021030, 133, 1005, 251, {0.07, 2}, 1, 66, 1000, 1052, 952},
    [71] = {71, 100203, 10022010, 2653, 1005, 251, {0.07, 2}, 1, 1326, 1000, 1052, 952},
    [72] = {72, 100203, 10021020, 133, 1005, 251, {0.07, 2}, 1, 66, 1000, 1052, 952},
    [73] = {73, 100203, 10023010, 18568, 1005, 251, {0.07, 2}, 9, 9284, 1000, 1052, 952},
    [74] = {74, 100203, 10021010, 133, 1005, 251, {0.07, 2}, 1, 66, 1000, 1052, 952},
    [75] = {75, 100203, 10022020, 2653, 1005, 251, {0.07, 2}, 1, 1326, 1000, 1052, 952},
    [76] = {76, 100203, 10024010, 92841, 1005, 251, {0.07, 2}, 46, 46420, 1000, 1052, 952},
    [77] = {77, 100204, 10021020, 133, 1005, 251, {0.07, 2}, 1, 66, 1000, 1052, 952},
    [78] = {78, 100204, 10022010, 2653, 1005, 251, {0.07, 2}, 1, 1326, 1000, 1052, 952},
    [79] = {79, 100204, 10022020, 2653, 1005, 251, {0.07, 2}, 1, 1326, 1000, 1052, 952},
    [80] = {80, 100204, 10023020, 18568, 1005, 251, {0.07, 2}, 9, 9284, 1000, 1052, 952},
    [81] = {81, 100204, 10101008, 373392, 1584, 264, {0.2, 5}, 18, 186696, 1000, 1052, 952},
    [82] = {82, 100205, 10021010, 156, 1056, 264, {0.07, 2}, 1, 78, 1000, 1052, 952},
    [83] = {83, 100205, 10022010, 3112, 1056, 264, {0.07, 2}, 1, 1556, 1000, 1052, 952},
    [84] = {84, 100205, 10021020, 156, 1056, 264, {0.07, 2}, 1, 78, 1000, 1052, 952},
    [85] = {85, 100205, 10023010, 22818, 1056, 264, {0.07, 2}, 11, 11409, 1000, 1052, 952},
    [86] = {86, 100205, 10024010, 108906, 1056, 264, {0.07, 2}, 54, 54453, 1000, 1052, 952},
    [87] = {87, 100206, 10023020, 21781, 1056, 264, {0.07, 2}, 10, 10890, 1000, 1052, 952},
    [88] = {88, 100206, 10022010, 3112, 1056, 264, {0.07, 2}, 1, 1556, 1000, 1052, 952},
    [89] = {89, 100206, 10022020, 3112, 1056, 264, {0.07, 2}, 1, 1556, 1000, 1052, 952},
    [90] = {90, 100206, 10021010, 156, 1056, 264, {0.07, 2}, 1, 78, 1000, 1052, 952},
    [91] = {91, 100206, 10021030, 156, 1056, 264, {0.07, 2}, 1, 78, 1000, 1052, 952},
    [92] = {92, 100206, 10101010, 233370, 1690, 264, {0.2, 5}, 11, 116685, 1000, 1052, 952},
    [93] = {93, 100207, 10021030, 241, 1602, 401, {0.07, 2}, 1, 120, 1000, 1052, 952},
    [94] = {94, 100207, 10022010, 4822, 1602, 401, {0.07, 2}, 2, 2411, 1000, 1052, 952},
    [95] = {95, 100207, 10021020, 241, 1602, 401, {0.07, 2}, 1, 120, 1000, 1052, 952},
    [96] = {96, 100207, 10023010, 33751, 1602, 401, {0.07, 2}, 16, 16875, 1000, 1052, 952},
    [97] = {97, 100207, 10024020, 168756, 1602, 401, {0.07, 2}, 84, 84378, 1000, 1052, 952},
    [98] = {98, 100208, 10100011, 1157184, 2136, 449, {0.2, 1}, 11, 578592, 1000, 1052, 952},
    [99] = {99, 100301, 10104001, 868, 1905, 476, {0.07, 2}, 1, 434, 1052, 952, 1000},
    [100] = {100, 100301, 10102001, 868, 1905, 476, {0.07, 2}, 1, 434, 1052, 952, 1000},
    [101] = {101, 100301, 10032020, 5787, 1905, 476, {0.07, 2}, 2, 2893, 1000, 1000, 1000},
    [102] = {102, 100301, 10031010, 868, 1905, 476, {0.07, 2}, 1, 434, 1000, 1000, 1000},
    [103] = {103, 100301, 10033010, 72340, 1905, 476, {0.07, 2}, 36, 36170, 1052, 952, 1000},
    [104] = {104, 100301, 10034020, 217020, 1905, 476, {0.07, 2}, 108, 108510, 1052, 952, 1000},
    [105] = {105, 100302, 10032020, 5787, 1905, 476, {0.07, 2}, 2, 2893, 1000, 1000, 1000},
    [106] = {106, 100302, 10102001, 868, 1905, 476, {0.07, 2}, 1, 434, 1052, 952, 1000},
    [107] = {107, 100302, 10104001, 868, 1905, 476, {0.07, 2}, 1, 434, 1052, 952, 1000},
    [108] = {108, 100302, 10033010, 72340, 1905, 476, {0.07, 2}, 36, 36170, 1052, 952, 1000},
    [109] = {109, 100302, 10102011, 217020, 2478, 476, {0.2, 5}, 10, 108510, 1052, 952, 1000},
