--
-- author: haosun
-- date  : 2021-03-29 16:04:11
-- brief : 
--
FightModule = FightModule or {}
FightModule.LanguageTextMsg = {
   [11] = "天罚的毁灭之刑眼见便要降下，耳边的镇魂曲仍在回响，突然一切戛然而止。\n\n睁开眼似乎什么都没有发生过。究竟是梦境还是预言？\n\n醒来的我正在茫然，又莫名砸来一个魔法导师的身份，再次掉入记忆的混乱。\n\n还未弄清楚究竟是怎么回事，紧接着便发现夜莺之主玛丽失去踪迹，仅留下一封线索不全的书信。\n\n梦中的灾难究竟是真是假？作为导师的记忆究竟出了什么问题？玛丽的信又想说明什么？\n\n被动成为夜莺森林导师的我只能临危受命，带着魔女安娜和黑猫安利丝前往永夜之桥，寻找镜之魔女·希贝尔，希望借助她的魔镜之力来联络玛丽。",
   [12] = "离开夜莺城堡不久便遇到巡查回来的希贝尔，谈话间得知玛丽早已联络不上，并且夜莺森林的结界正在消退。\n\n众人分析之后，决定按照眼下仅有的线索，前往夜莺森林的西边——禁林进行调查。\n\n行进途中遇到了本该处于封印状态的温迪戈幼体，为了保护夜莺森林和自己，魔女与这种特殊的魔物展开了战斗。",
   [14] = "庞然巨物挡住了众人行进的路线，赫然发现是之前遇到的魔物温迪戈的成年体。\n\n这种来自北境海尔拉姆之森的生物竟然与玛丽有着一段十分奇异的过往。\n\n在温迪戈和魔女的谈话中，得知玛丽当年行走诺塞司大陆时曾帮助北境的人类躲过一场灭顶之灾。\n\n随后又了解到温迪戈一族嗜血成性，并有着独特的习俗——恩将仇报。也就是吃掉自己的恩人，以此让恩人与自己融合获得永生。\n\n温迪戈奇怪的言行打破了魔女的认知，战斗就此展开。",
   [16] = "与夜莺森林的其他地方截然不同的是，禁林范围内的行路两侧遍布着七彩的神源水晶。\n\n希贝尔介绍禁林里住着一位曾游历大陆的神秘占卜师，她与玛丽达成了互不侵犯的协议，从未离开过禁林，众人对其产生了强烈的好奇。\n\n随后在行进途中遇到了奇妙的元素精灵。",
   [18] = "神秘占卜师丽莎登场。\n\n与魔女战斗的只是她的宠物眼魔，而当魔女正面对上丽莎的时候，实力悬殊不言而喻，几如天凡之别。\n\n所幸导师出面与丽莎交谈，避免了一场不必要的战斗。\n\n占卜师丽莎似乎藏着很深的秘密，并不愿与魔女过多交流。\n\n她知晓世间万物，甚至还知道玛丽失踪的缘由，但她不愿告知，只提供了雅努西娅被神使带走的消息。",
   [21] = "从丽莎处得知雅努西娅被带走，众人决定立刻前往西面营救雅努西娅。\n\n刚走没多久，一阵阵的热浪迎面而来，为了可以继续顺利前进，导师对魔女们进行了魔法保护。\n\n并且从安娜的只言片语中得知，她想要变强大并不是为了攀比，而是为了可以保护其他人。",
   [22] = "虽然有了抵御酷热的魔法防护，却无法阻挡气味，不知从何而来的一股臭鸡蛋味引得众人连连作呕。\n\n停下脚步观察四周，还发现了夜莺森林的结界在此处被生生斩断。\n\n且结界外的魔物消失得比夜莺森林里面还要干净——似乎有更强大的东西来到了这里。\n\n第一次与神庭的战斗，就此展开。",
   [24] = "于西北面的空地感知到一股奇特的力量，魔女一行决定先就近探查空地上不同寻常的力量。\n\n原来力量的来源是一只来自神庭的神狮雷欧尼斯·基露卜。\n\n雷欧尼斯逢问必答的独特性格是最好的情报探听机会，于是魔女一行向基露卜询问了关于雅努西娅的去向和神使聚集的缘由。\n\n从只会说实话的狮子基露卜口中得知神使聚集是为了勘探地形，阻隔圣摩拉与其他地方——为净化圣摩拉做好准备。\n\n得到足够信息的魔女与基露卜战斗后便向雅努西娅的关押地——神使营地行去。",
   [26] = "神罚的天火碎片——硫磺火结晶挡住了去路。\n\n为了替魔女抵御烈火的灼烧感，导师使用了转嫁魔法，将炙热转移到自己身上，为魔女战斗提供了更好的环境。\n\n导师与魔女齐心协力打碎了聚集成形的硫磺火结晶，安全越过阻碍，向目的地进发。",
   [28] = "在救援雅努西娅的时候遇到了神使大军，先遣部队首领——执行者·利卫出场与魔女进行对话。\n\n依利卫所言，雅努西娅不属人间，理应与他们同行。\n\n可在魔女眼中从小就在夜莺森林长大的雅努西娅就是夜莺森林的魔女，所以众人与利卫产生了言语的不合，搭救势在必行。\n\n一来二去的争论中，魔女得知利卫是利用了什么特殊的手段晋升成为四翼神使的。\n\n为了杀人灭口，利卫主动向魔女开战，决定斩草除根。",
   [31] = "一日的奔波，从夜晚到清晨，终于结束战斗的魔女陷入了疲惫。\n\n从夜莺森林向圣摩拉前进的路上，安娜兴奋地指着天空说第一次见到湛蓝的天空和明媚的阳光。\n\n闲聊中才得知这是安娜失忆后第一次走出夜莺森林。\n\n随着脚步的行进，众人离圣摩拉越来越近，突然一阵风沙扬起，被三个人拦住了去路。\n\n细看之下，众人展开了愉快的笑容，这三人正是玛丽的直属女仆骑士——蔷薇骑士团。\n\n有了三名正式魔女的加入，这场拯救和自救的旅行看来会更加顺利。",
   [32] = "蔷薇骑士团因玛丽的命令无法进入圣摩拉。在导师的准许下，暂时解除了玛丽下达给三名女仆骑士的契令，三人得以进入圣摩拉。\n\n可就在刚刚踏入圣摩拉的时候，就遇到了怪物的阻拦。仔细探查才发现眼前的怪物是被腐化的人类。\n\n圣摩拉堕落看来也并非空穴来风。",
   [34] = "探查的路上莎莉丝特向众人介绍了圣摩拉的过去和历史，繁荣辉煌的曾经令众人唏嘘。\n\n不料，没走多久就发生了一些奇怪的事。\n\n嘉萝琳和塞布丽娜先后出现了不同寻常的行为，在魔法导师的帮助下，嘉萝琳适时的恢复了神志，可塞布丽娜却离开了导师所制造的安全结界，冲入了暗巷烟雾之中。\n\n众人为了寻回塞布丽娜与阻挡在面前的腐化战马进行了战斗。战后细查之下才发现，这是圣城骑士团的战马……\n\n似乎一切都朝着不可控制的方向在发展……",
   [36] = "经过莎莉丝特的指引，众人决定向圣城骑士团进发。\n\n一路的腐化传递着令人不快的预感。而蔷薇骑士团却似乎还对圣城骑士团有着一丝希冀。\n\n一边前进，一边清理圣摩拉的腐化之物。",
   [38] = "女孩的呼救引起了众人的注意，魔女们前往声音的来源寻找呼救者。\n\n第一次遇到恶魔的安娜，似乎对恶魔的习性并不了解。善于以谎言欺骗的恶魔差一些就把安娜也欺骗了。幸好众人及时赶到阻止了邪术师·提比略的阴谋。\n\n在提比略战败之后，导师企图与其进行公平交易，却被极度厌恶恶魔的嘉萝琳打断了。\n\n小女孩殒命当场，安娜极度后悔，众人陷入了无尽的悲伤之中。\n\n就在这个过程中，导师赫然发现小女孩和之前梦中闯入夜莺森林的小女孩是同一个人，阴谋的种子究竟是如何埋下的？\n\n存疑之间，圣女黛西从天而降，为女孩的亡灵祈福祝祷。",
   [41] = "小女孩的死引发安娜的自责，于是她和希贝尔决定亲手埋葬小女孩。\n\n蔷薇骑士团安慰导师，面对和见证死亡其实也是魔女成长的契机。安娜似乎自此有了轻微的转变。\n\n进入城市区之后，见到一路破败的景象，嘉萝琳有些无法接受腐化是从城市区开始的事实，蔷薇骑士团和众魔女决定一同继续探索前进。",
   [42] = "希贝尔提问为什么嘉萝琳对这个团长大人这么信任。\n\n于是莎莉丝特便悄悄地将蔷薇骑士团和圣城骑士团的渊源说了出来。再将海因里希当年如何建立小小的骑士团，与他国进行拼杀，防御并赶走恶魔等英雄事迹一一告诉魔女。\n\n并且提及海因里希虽然为人冷酷但十分强大，还是众魔女的偶像——\n\n只是后来耀皇登位，他就不再将重心放在骑士团的培养上，而转移到耀会的权力巩固、保护耀皇及城市安全上。",
   [44] = "随着深入，魔女一行进入了核心区。\n\n众人发现核心区的建筑与外界只是稍有不同，而且更为拥挤，细问之下才了解到圣摩拉当年划分城区的始末，并得知了星辰之环的建立原因。\n\n行进的路上又遭遇了已腐化的骑士·谢雅努斯。从蔷薇骑士团的口中得知了与他有趣的相遇，以及后来他被提升为海因里希的副骑，最后成为星辰之环第二任团长的经历。\n\n众人唏嘘缅怀这位英勇的骑士，而圣摩拉之行也变得越发沉重了。",
   [46] = "眼看即将到达圣城骑士团的大门，却被一匹腐化的黑马挡住了去路，蔷薇骑士团赫然发现这正是海因里希的坐骑杰西卡。\n\n无奈一战之后，嘉萝琳道出了当年猎巫战争之末她与海因里希之间的秘密。\n\n也正因为如此，解答了海因里希被嘉萝琳如此信任的原因——或许他真的有什么难言之隐吧。",
   [48] = "终于抵达谈论已久的圣摩拉骑士团，由内而外所散发的邪恶气息已经预示了并不令人愉悦的现实。\n\n可执着的嘉萝琳还是希望能够得到一个确切的答案。\n\n终于魔女一行站到了圣城骑士团团长·海因里希的面前——谈话间可以感觉到他的无力和失落，却对城民并无任何的恶意。\n\n而就在我们想要前往产生异动的耀堂之时，被他挡住了去路。他直截了当地承认了圣摩拉的堕落由他而起，并与魔女展开了殊死一战。",
   [1011] = "领受玛丽命令的蔷薇骑士团准备在圣摩拉展开魔女营救行动，救出被关入伊迪斯地牢的魔女。\n\n塞布丽娜先行潜入地牢查探情况，莎莉丝特与嘉萝琳则假借骑士团与海因里希之名顺利混入地牢。\n\n可惜刚进入之时就遇上了地牢戒备的紧急情况，不得已与守卫阿道夫展开战斗。",
   [1012] = "进入地牢的三人汇合后发现地牢中空荡得不可思议。\n\n正当她们对此进行讨论之时，骑士威尔匆匆赶来，试图向还在前线的海因里希传递这边的信息，蔷薇骑士团三人必须拦下他。",
   [1013] = "继续往深处探索之时，蔷薇骑士团遭遇偷袭。\n\n从用以袭击的匕首来看是星辰之环的人，双方不由分说地展开了战斗。\n\n塞布丽娜认出了来人，是她以前认识的莎娜，双方停手，发现目标一致，决心联手一起解救无辜的魔女。",
   [1014] = "看守威尔玛的是一个暗影骑士，莎莉丝特将其引走让另外三人救出威尔玛。\n\n威尔玛受伤较重，需要一段时间才能恢复，嘉萝琳担忧莎莉丝特的安全，三人商议过后由莎娜留下照看被治愈法阵治疗中的威尔玛，嘉萝琳与塞布丽娜前去寻找莎莉丝特。",
   [1015] = "正要悄悄返回的莎莉丝特遇上了一个神秘的轻佻男子，他还向她打听名为斯露德的人的牢房信息。\n\n莎莉丝特找准时机逃离了他的劫持，并与后来的嘉萝琳与塞布丽娜共同对阵，然而还是落在了下风。\n\n此时莎娜赶到，说明男子——约翰亚斯也是友军。\n\n顺利找到了斯露德，约翰亚斯与莎娜带着她先行离开了地牢。",
   [1016] = "暗影骑士发现斯露德被救走，对蔷薇骑士团产生怀疑，要将她们交给海因里希定夺，蔷薇骑士团与其开战。",
   [1017] = "昔日友人谢雅努斯揭穿了蔷薇骑士团的谎言，他虽对魔女没有恶意，但他坚定自己的圣摩拉立场，对三位魔女宣战。\n\n最终在她们的请求以及昔日旧情的份上，他刺伤自己为她们制造机会，但从此他们也是彻底的敌人，从前的情谊已经荡然无存。",
   [1018] = "三人成功救出提莉雅，嘉萝琳决意留下断后，让莎莉丝特与嘉萝琳带着提莉雅先行离开，莎莉丝特十分担忧却也无可奈何。\n\n嘉萝琳抵挡大量增援将近力竭之时，她最害怕碰上的海因里希出现，并与她单独展开对决。\n\n嘉萝琳并不是海因里希的对手，但海因里希没有杀她，与她进行最后一番谈话之后，海因里希放走了她。",
   [51] = "海因里希身死，嘉萝琳难以抑制悲伤，莎莉丝特考虑到嘉萝琳的状态，本想让她退出接下来的战斗，但嘉萝琳表示秉承海因里希大人的意志也要坚持继续战斗。\n\n遭遇曾是厨师的锁怨亡灵，唱着诡异难听的歌，因生前做菜不被人喜欢产生怨念。",
   [52] = "遇到一个迷失的小男孩灵魂，生前是个孤儿，却始终不相信妈妈已经离开的事实，一直在等妈妈回来。\n\n从小由耀堂诵诗班的教师奥德莉夫人照顾，似乎是在前往耀堂的马车上遇害身亡。",
   [54] = "在耀堂遇到一个正在掘墓的黑袍神秘人，交谈之后发现他竟然是失踪已久的温和耀会司辉。\n\n因与耀皇政见不合叛逃圣摩拉，耀皇派人找了很久都没有找到她，没想到他为了得到力量早已信仰了恶魔。\n\n昔日的司辉艾伦变成了面容可怖的掘墓人，如今更是为了吞噬灵魂增强力量而盗取尸体。\n\n对于司辉的遭遇，众人不禁感慨万分。",
   [56] = "进入冷清的耀堂，往日繁华景象不再，感叹短短三年便发生了如此大的变化。\n\n聊起几年前的猎巫行动，那是一切仇恨的根源。\n\n后来不知从何时起，耀皇再也无法从信奉的神使那里获得力量，这也是海因里希选择信仰恶魔使耀皇重获力量的起因。\n\n黛西听说圣摩拉最伟大的骑士海因里希已经逝去，十分难过，为他进行了简短的祷告。",
   [58] = "遭遇执誓打扮的魔女赫莎阻拦。\n\n原来赫莎曾是夜莺森林的魔女，后来因有危险时呼唤玛丽却没有得到承诺好的回应而失去信仰，背叛夜莺森林转而信仰了圣摩拉耀会。\n\n赫莎警告魔女们不要继续前进，魔女们坚持，只好开战。\n\n击败了赫莎却发现她的魔力消耗很大，疑惑之下为昏迷的她设下一个守护结界，继续深入耀堂。",
   [61] = "黛西叙述圣摩拉三大耀会的纷争。\n\n并由此纷争为始引出了耀皇罗德里戈当年是如何创立属于自己的耀会，并得到海因里希和众多移民的支持，最后登上耀皇之位的过程。\n\n谈话间遇到了一群被深渊之力腐化的孩子，无奈之下与其展开了战斗。",
   [62] = "不忍让这些孩子曝尸于此，魔女将孩子们安葬在了耀堂的院落里，继续前行。",
   [63] = "黛西讲述耀会被攻击的根本原因。\n\n途中碰到掘墓人盗取刚才埋葬的孩童的棺椁，魔女愤然与其开战。",
   [64] = "诡异的掘墓人虽然被魔女一行解决，但突然传来的诡异音乐充斥着整个大堂，谨慎起见魔女减缓了前进的脚步。\n\n众人陷入了无尽的走道和无限的循环。\n\n在导师的冷静观察和分析下，终于发现困住魔女的并非结界而是一种空间折叠魔法，找到其中的「钥匙」便可击破无限循环的窘境。\n\n机智的魔女最终找到了关键性钥匙，但遭遇了掘墓人曾经提过的那个斯皮瓦科伯爵，并与其展开战斗。",
   [66] = "随着脚步的深入，终于听清了那诡异的歌声所唱的内容。\n\n似乎揭示着什么人的悲惨身世，毛骨悚然的歌声中执誓卡琳娜首次登场，告诉了魔女关于诵诗班的来历。\n\n可是没说几句卡琳娜便头也不回地离开了，诡异的歌声再次响起，而这一次并不是来自前方——\n\n而是四面八方。",
   [68] = "得知了卡琳娜和罗德里戈的关系，众魔女对卡琳娜的身世也产生了一丝怜悯。\n\n虽然唏嘘但如此诡异而偏执的爱并无法令人称颂。再次登场的卡琳娜陷入了癫狂，听闻海因里希的死她疯笑着，并道出了多年的秘密。\n\n魔女心生怜悯还试图唤醒她的人性，却发现她对父亲罗德里戈的爱已经深入骨髓，陷入无尽的疯狂。\n\n黑暗的深渊之力趁虚而入，卡琳娜突然暴走与魔女发生了对抗。",
   [71] = "刚刚将疯癫的卡琳娜安置在前殿，诡异的诵诗班又出现了。\n\n这一次深邃而无尽的黑暗中，那恐怖的歌声令人更加毛骨悚然。\n\n一阵混乱之后恶魔之眼出现在众人面前。",
   [72] = "近在耳畔的童谣似乎刺激到了希贝尔，她向着那声音的来源飞奔而去。\n\n众人拼命追赶，看到了被诵诗班围绕着的希贝尔，似乎她正饱受着煎熬。\n\n为了截断那恐怖的童谣，众人决定先解决腐化的诵诗班。",
   [73] = "歌谣终于停了，可希贝尔依然没有苏醒，众人决定按照导师大人的指示进入希贝尔的梦境，将其唤醒。\n\n可梦境中的希贝尔具有极强的攻击性，究竟发生了什么，我们不得而知，唯一能做的就是将她击败，打碎她的梦境——",
   [74] = "一切还算顺利，魔女唤醒了陷入梦魇中的希贝尔，好在她并没有受到伤害，于是魔女决定继续前行。\n\n遥远的乐章似乎开始变奏，原来的恐怖气息变得竟然有些神圣。\n\n自称为耀皇嘉波的恶魔拦住了魔女的去路，原来他才是诵诗班的噩梦之源，诵诗班的死亡完全因他而起。\n\n嫉妒和愤怒占据了嘉波的全部，在与他的对话中得知了他与罗德里戈的过往，或许原本的他也并没有这么恶毒，只因那一次次积累的误会导致了他最后沦为地狱恶魔的结局。\n\n为了诵诗班和卡琳娜，魔女与嘉波必有一战。",
   [76] = "诵诗班的故事结束了，没有了诡异的歌声，前进的路途也顺畅了许多。\n\n拦路的灰袍恶魔似乎是为了一位「公爵」的使命而来，告知了魔女最后的信息，他欣然接受了死亡——",
   [78] = "终于来到了听闻已久的圣摩拉至高耀皇罗德里戈的所在地——位于圣座上的他对一切并没有太多惊讶，甚至对于硫磺火的降落也早已了然于心。\n\n与耀皇对峙之下，魔女终于知道了海因里希为何会拦住自己的去路，也知道了真相，原来一切都由罗德里戈而起。\n\n虽然满心疑虑的魔女一行不认为耀皇会轻易地与恶魔做交易，但他要隐藏的秘密，他愿意背负的罪恶，已然无解。\n\n既然事已至此，无论是非真相，罪源必除，这样才能阻止天罚降临。\n\n魔女和罗德里戈展开了最后的战斗——",
   [1021] = "耀皇罗德里戈为了获得神使的回应而前往了巴贝塔，却只在残破的塔上遇到了恶魔和魔物。\n\n连身上唯一保护了他一路的圣物，都在这里耗尽了最后的信仰之力。\n\n别无选择的罗德里戈被迫与但他林所化的安迪进行了对话，却也因为这个决定，最终被但他林一步步拨开了受绝望侵蚀而碎裂的信仰，内心的动摇被一语道破。\n\n最终，两人达成了协议。",
